Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Alba, 1213 MUNICIPIUL AIUD, Anul 2024, Numar, 2
Spitale, Proprietate publica, Alba, 1348 MUNICIPIUL BLAJ, Anul 2024, Numar, 1
Spitale, Proprietate publica, Alba, 1874 MUNICIPIUL SEBES, Anul 2024, Numar, 1
Spitale, Proprietate publica, Alba, 1151 ORAS ABRUD, Anul 2024, Numar, 1
Spitale, Proprietate publica, Alba, 1455 ORAS CAMPENI, Anul 2024, Numar, 2
Spitale, Proprietate publica, Alba, 1696 ORAS CUGIR, Anul 2024, Numar, 1
Spitale, Proprietate privata, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Alba, 1874 MUNICIPIUL SEBES, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate privata, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate privata, Alba, 1213 MUNICIPIUL AIUD, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Alba, 1874 MUNICIPIUL SEBES, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1213 MUNICIPIUL AIUD, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1348 MUNICIPIUL BLAJ, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1874 MUNICIPIUL SEBES, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1151 ORAS ABRUD, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1455 ORAS CAMPENI, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Alba, 1696 ORAS CUGIR, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Alba, 1213 MUNICIPIUL AIUD, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Alba, 1348 MUNICIPIUL BLAJ, Anul 2024, Numar, 1
