Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 3
Spitale, Proprietate publica, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bihor, 26699 ORAS ALESD, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bihor, 26920 ORAS NUCET, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bihor, 26840 ORAS STEI, Anul 2024, Numar, 2
Spitale, Proprietate publica, Bihor, 26582 SANMARTIN, Anul 2024, Numar, 1
Spitale, Proprietate privata, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 4
Spitale, Proprietate privata, Bihor, 26582 SANMARTIN, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 4
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Bihor, 27686 BRATCA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 3
Ambulatorii de specialitate, Proprietate privata, Bihor, 26582 SANMARTIN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26699 ORAS ALESD, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26920 ORAS NUCET, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26840 ORAS STEI, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Bihor, 26582 SANMARTIN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 2
Policlinici, Proprietate privata, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 6
Dispensare medicale, Proprietate publica, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Bihor, 26699 ORAS ALESD, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2024, Numar, 2
Centre de sanatate multifunctionale, Proprietate publica, Bihor, 27686 BRATCA, Anul 2024, Numar, 1
