Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bistrita-Nasaud, 32483 ORAS BECLEAN, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bistrita-Nasaud, 32544 ORAS NASAUD, Anul 2024, Numar, 1
Spitale, Proprietate privata, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bistrita-Nasaud, 32483 ORAS BECLEAN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Bistrita-Nasaud, 32544 ORAS NASAUD, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Bistrita-Nasaud, 33621 MAIERU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Bistrita-Nasaud, 32544 ORAS NASAUD, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 1
Preventorii, Proprietate publica, Bistrita-Nasaud, 35269 URIU, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Bistrita-Nasaud, 34235 PRUNDU BARGAULUI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Bistrita-Nasaud, 34985 TEACA, Anul 2024, Numar, 1
Centre de diagnostic si tratament, Proprietate privata, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2024, Numar, 2
Centre de diagnostic si tratament, Proprietate privata, Bistrita-Nasaud, 32544 ORAS NASAUD, Anul 2024, Numar, 1
Centre de diagnostic si tratament, Proprietate privata, Bistrita-Nasaud, 33382 JOSENII BARGAULUI, Anul 2024, Numar, 1
Centre de diagnostic si tratament, Proprietate privata, Bistrita-Nasaud, 34985 TEACA, Anul 2024, Numar, 1
