Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 3
Spitale, Proprietate publica, Braila, 42753 ORAS FAUREI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Braila, 42753 ORAS FAUREI, Anul 2024, Numar, 1
Policlinici, Proprietate publica, Braila, 42708 CHISCANI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 2
Centre de sanatate mintala, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Braila, 43331 ORAS IANCA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 64
Cabinete medicale de familie, Proprietate publica, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate publica, Braila, 44177 TICHILESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 42682 MUNICIPIUL BRAILA, Anul 2024, Numar, 85
Cabinete medicale de familie, Proprietate privata, Braila, 42753 ORAS FAUREI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43331 ORAS IANCA, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Braila, 43411 ORAS INSURATEI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Braila, 42824 BARAGANUL, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 42842 BERTESTII DE JOS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 42913 BORDEI VERDE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 44560 CAZASU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Braila, 42708 CHISCANI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 42968 CIOCILE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43019 CIRESU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43073 DUDESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Braila, 43117 FRECATEI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43180 GALBENU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43242 GEMENELE, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43279 GRADISTEA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43313 GROPENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43466 JIRLAU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43493 MARASU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43563 MAXINENI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43625 MIRCEA VODA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43652 MOVILA MIRESII, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Braila, 43698 RACOVITA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43732 RAMNICELU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43787 ROMANU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43867 SALCIA TUDOR, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43929 SCORTARU NOU, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 43992 SILISTEA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 44060 STANCUTA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 44113 SURDILA-GAISEANCA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 42771 SURDILA-GRECI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Braila, 44140 SUTESTI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Braila, 44177 TICHILESTI, Anul 2024, Numar, 2
