Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 7
Spitale, Proprietate publica, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Brasov, 40438 MUNICIPIUL SACELE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Brasov, 40394 ORAS RUPEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Brasov, 40465 ORAS VICTORIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Brasov, 40492 ORAS ZARNESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 7
Spitale, Proprietate privata, Brasov, 41925 SANPETRU, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 3
Ambulatorii de specialitate, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Brasov, 40438 MUNICIPIUL SACELE, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 8
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 6
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40438 MUNICIPIUL SACELE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40394 ORAS RUPEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40465 ORAS VICTORIA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Brasov, 40492 ORAS ZARNESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 3
Policlinici, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 13
Policlinici, Proprietate privata, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 2
Policlinici, Proprietate privata, Brasov, 40394 ORAS RUPEA, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 1
Centre de sanatate, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 2
Centre de sanatate mintala, Proprietate publica, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 1
Sanatorii balneare, Proprietate publica, Brasov, 40303 ORAS PREDEAL, Anul 2024, Numar, 1
Centre de dializa, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 5
Cabinete medicale scolare, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 83
Cabinete medicale scolare, Proprietate publica, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 13
Cabinete medicale scolare, Proprietate publica, Brasov, 40438 MUNICIPIUL SACELE, Anul 2024, Numar, 3
Cabinete medicale scolare, Proprietate publica, Brasov, 40303 ORAS PREDEAL, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Brasov, 40465 ORAS VICTORIA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Brasov, 40492 ORAS ZARNESTI, Anul 2024, Numar, 1
Cabinete medicale studentesti, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate publica, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2024, Numar, 152
Cabinete medicale de familie, Proprietate privata, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2024, Numar, 22
Cabinete medicale de familie, Proprietate privata, Brasov, 40438 MUNICIPIUL SACELE, Anul 2024, Numar, 16
Cabinete medicale de familie, Proprietate privata, Brasov, 40214 ORAS GHIMBAV, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Brasov, 40303 ORAS PREDEAL, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 40367 ORAS RASNOV, Anul 2024, Numar, 7
Cabinete medicale de familie, Proprietate privata, Brasov, 40394 ORAS RUPEA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Brasov, 40465 ORAS VICTORIA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 40492 ORAS ZARNESTI, Anul 2024, Numar, 8
Cabinete medicale de familie, Proprietate privata, Brasov, 40526 APATA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 40606 BOD, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 40633 BRAN, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Brasov, 40688 BUDILA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 40704 BUNESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 40857 COMANA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 40900 CRISTIAN, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 42480 DRAGUS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 40928 DUMBRAVITA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 40955 FELDIOARA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Brasov, 40991 FUNDATA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 41033 HALCHIU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 41088 HARMAN, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 41113 HARSENI, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 41177 HOGHIZ, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 41248 HOMOROD, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 41346 LISA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 41382 MAIERUS, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Brasov, 41417 MANDRA, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 41471 MOIECIU, Anul 2024, Numar, 2
Cabinete medicale de familie, Proprietate privata, Brasov, 41541 ORMENIS, Anul 2024, Numar, 1
