Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2024, Numar, 1
Spitale, Proprietate publica, Buzau, 47916 ORAS NEHOIU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Buzau, 49206 SAPOCA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Buzau, 49545 SMEENI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 3
Spitale, Proprietate privata, Buzau, 50228 VINTILA VODA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 5
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Buzau, 47453 MEREI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 3
Ambulatorii de specialitate, Proprietate privata, Buzau, 48325 ORAS PATARLAGELE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Buzau, 47916 ORAS NEHOIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Buzau, 49206 SAPOCA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Buzau, 49545 SMEENI, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 4
Dispensare medicale, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Buzau, 47916 ORAS NEHOIU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Buzau, 48744 ORAS POGOANELE, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 2
Centre de sanatate multifunctionale, Proprietate publica, Buzau, 48557 PARSCOV, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Buzau, 48744 ORAS POGOANELE, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Buzau, 45101 BERCA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Buzau, 47373 MARACINENI, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2024, Numar, 18
Cabinete medicale scolare, Proprietate publica, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2024, Numar, 12
