Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 12
Spitale, Proprietate publica, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2024, Numar, 1
Spitale, Proprietate publica, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 2
Spitale, Proprietate publica, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Cluj, 55446 ORAS HUEDIN, Anul 2024, Numar, 1
Spitale, Proprietate publica, Cluj, 56265 BORSA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Cluj, 58008 IARA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 16
Spitale, Proprietate privata, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Cluj, 55838 BACIU, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 7
Ambulatorii de specialitate, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 3
Ambulatorii de specialitate, Proprietate publica, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 12
Ambulatorii de specialitate, Proprietate privata, Cluj, 57706 FLORESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 11
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 55446 ORAS HUEDIN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Cluj, 56265 BORSA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Cluj, 55838 BACIU, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 8
Policlinici, Proprietate privata, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Cluj, 55446 ORAS HUEDIN, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 2
Centre medicale de specialitate, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 27
Centre medicale de specialitate, Proprietate privata, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2024, Numar, 2
Centre medicale de specialitate, Proprietate privata, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 7
Centre medicale de specialitate, Proprietate privata, Cluj, 55687 APAHIDA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Cluj, 57706 FLORESTI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Cluj, 57902 GILAU, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 2
Puncte de lucru ale centrelor de dializa, Proprietate privata, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 30
Cabinete medicale de medicina generala, Proprietate privata, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 3
Cabinete medicale de medicina generala, Proprietate privata, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Cluj, 57706 FLORESTI, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate privata, Cluj, 58259 JUCU, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 39
Cabinete medicale scolare, Proprietate publica, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 3
Cabinete medicale scolare, Proprietate publica, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 3
Cabinete medicale scolare, Proprietate publica, Cluj, 55446 ORAS HUEDIN, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Cluj, 55687 APAHIDA, Anul 2024, Numar, 1
Cabinete medicale studentesti, Proprietate publica, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2024, Numar, 160
Cabinete medicale de familie, Proprietate privata, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Cluj, 55008 MUNICIPIUL DEJ, Anul 2024, Numar, 15
Cabinete medicale de familie, Proprietate privata, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2024, Numar, 11
Cabinete medicale de familie, Proprietate privata, Cluj, 55259 MUNICIPIUL TURDA, Anul 2024, Numar, 23
Cabinete medicale de familie, Proprietate privata, Cluj, 55446 ORAS HUEDIN, Anul 2024, Numar, 5
