Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Constanta, TOTAL, Anul 2024, Numar, 11
Spitale, Proprietate publica, Constanta, 60419 MUNICIPIUL CONSTANTA, Anul 2024, Numar, 5
Spitale, Proprietate publica, Constanta, 60482 MUNICIPIUL MANGALIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Constanta, 60847 MUNICIPIUL MEDGIDIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Constanta, 60776 ORAS CERNAVODA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Constanta, 60455 ORAS EFORIE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Constanta, 60801 ORAS HARSOVA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Constanta, 62761 POARTA ALBA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Constanta, TOTAL, Anul 2024, Numar, 9
Spitale, Proprietate privata, Constanta, 60419 MUNICIPIUL CONSTANTA, Anul 2024, Numar, 6
Spitale, Proprietate privata, Constanta, 60455 ORAS EFORIE, Anul 2024, Numar, 1
Spitale, Proprietate privata, Constanta, 60687 ORAS OVIDIU, Anul 2024, Numar, 1
Spitale, Proprietate privata, Constanta, 61620 CUMPANA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Constanta, TOTAL, Anul 2024, Numar, 15
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Constanta, 60419 MUNICIPIUL CONSTANTA, Anul 2024, Numar, 11
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Constanta, 60482 MUNICIPIUL MANGALIA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Constanta, 62360 ORAS MURFATLAR, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Constanta, 60687 ORAS OVIDIU, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Constanta, 61372 COGEALAC, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Constanta, TOTAL, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Constanta, 60482 MUNICIPIUL MANGALIA, Anul 2024, Numar, 1
