Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Covasna, 63394 MUNICIPIUL SFANTU GHEORGHE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Covasna, 63740 MUNICIPIUL TARGU SECUIESC, Anul 2024, Numar, 1
Spitale, Proprietate publica, Covasna, 63447 ORAS BARAOLT, Anul 2024, Numar, 1
Spitale, Proprietate publica, Covasna, 63526 ORAS COVASNA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Covasna, 63394 MUNICIPIUL SFANTU GHEORGHE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Covasna, 63740 MUNICIPIUL TARGU SECUIESC, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Covasna, 63447 ORAS BARAOLT, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Covasna, 63526 ORAS COVASNA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Covasna, 63580 ORAS INTORSURA BUZAULUI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Covasna, 63394 MUNICIPIUL SFANTU GHEORGHE, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Covasna, 63740 MUNICIPIUL TARGU SECUIESC, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Covasna, 63447 ORAS BARAOLT, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Covasna, 63526 ORAS COVASNA, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Covasna, 63580 ORAS INTORSURA BUZAULUI, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Covasna, 63394 MUNICIPIUL SFANTU GHEORGHE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Covasna, 63740 MUNICIPIUL TARGU SECUIESC, Anul 2024, Numar, 1
