Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 8
Spitale, Proprietate publica, Galati, 75203 MUNICIPIUL TECUCI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Galati, 75472 ORAS TARGU BUJOR, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 7
Ambulatorii integrate spitalului, Proprietate publica, Galati, 75203 MUNICIPIUL TECUCI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Galati, 75472 ORAS TARGU BUJOR, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 4
Centre de sanatate, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 2
Unitati medico-sociale, Proprietate publica, Galati, 75864 CAVADINESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Galati, 76969 PECHEA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 5
Puncte de lucru ale centrelor de dializa, Proprietate privata, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Galati, 75098 MUNICIPIUL GALATI, Anul 2024, Numar, 59
Cabinete medicale de medicina generala, Proprietate privata, Galati, 75203 MUNICIPIUL TECUCI, Anul 2024, Numar, 10
Cabinete medicale de medicina generala, Proprietate privata, Galati, 76255 FARTANESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Galati, 76497 GOHOR, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Galati, 76601 IVESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Galati, 75150 VANATORI, Anul 2024, Numar, 1
