Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 78141 MUNICIPIUL MOTRU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 79308 ORAS BUMBESTI-JIU, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 78258 ORAS NOVACI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 82895 ORAS ROVINARI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 82617 ORAS TURCENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 79497 CAPRENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 80766 LOGRESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Gorj, 81576 RUNCU, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 78141 MUNICIPIUL MOTRU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 79308 ORAS BUMBESTI-JIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 78258 ORAS NOVACI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 82895 ORAS ROVINARI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 82617 ORAS TURCENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Gorj, 81576 RUNCU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Gorj, 82895 ORAS ROVINARI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Gorj, 82617 ORAS TURCENI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Gorj, 81576 RUNCU, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Gorj, 78141 MUNICIPIUL MOTRU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Gorj, 78258 ORAS NOVACI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2024, Numar, 2
Cabinete medicale de medicina generala, Proprietate publica, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2024, Numar, 0
