Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2024, Numar, 1
Spitale, Proprietate publica, Harghita, 83561 MUNICIPIUL GHEORGHENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2024, Numar, 1
Spitale, Proprietate publica, Harghita, 83632 MUNICIPIUL TOPLITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Harghita, 83525 ORAS CRISTURU SECUIESC, Anul 2024, Numar, 1
Spitale, Proprietate publica, Harghita, 83749 ORAS VLAHITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Harghita, 86133 TULGHES, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Harghita, 83561 MUNICIPIUL GHEORGHENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Harghita, 83632 MUNICIPIUL TOPLITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Harghita, 86133 TULGHES, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Harghita, 83561 MUNICIPIUL GHEORGHENI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Harghita, 83632 MUNICIPIUL TOPLITA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Harghita, 83525 ORAS CRISTURU SECUIESC, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2024, Numar, 2
