Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 87291 MUNICIPIUL BRAD, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 86810 MUNICIPIUL HUNEDOARA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 87059 MUNICIPIUL LUPENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 87638 MUNICIPIUL ORASTIE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 86990 MUNICIPIUL PETROSANI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 87175 MUNICIPIUL VULCAN, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 87576 ORAS HATEG, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 87665 ORAS SIMERIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Hunedoara, 92177 ZAM, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Hunedoara, 89561 ORAS GEOAGIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 87291 MUNICIPIUL BRAD, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 86810 MUNICIPIUL HUNEDOARA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 87059 MUNICIPIUL LUPENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 87638 MUNICIPIUL ORASTIE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 86990 MUNICIPIUL PETROSANI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 87175 MUNICIPIUL VULCAN, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 89561 ORAS GEOAGIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 87576 ORAS HATEG, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Hunedoara, 87665 ORAS SIMERIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Hunedoara, 87291 MUNICIPIUL BRAD, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Hunedoara, 86810 MUNICIPIUL HUNEDOARA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Hunedoara, 87059 MUNICIPIUL LUPENI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Hunedoara, 87638 MUNICIPIUL ORASTIE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Hunedoara, 86990 MUNICIPIUL PETROSANI, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Hunedoara, 87175 MUNICIPIUL VULCAN, Anul 2024, Numar, 2
