Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Ilfov, 100576 ORAS BUFTEA, Anul 2024, Numar, 2
Spitale, Proprietate publica, Ilfov, 101742 CERNICA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Ilfov, 179383 JILAVA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Ilfov, 179481 ORAS OTOPENI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Ilfov, 179515 ORAS PANTELIMON, Anul 2024, Numar, 1
Spitale, Proprietate privata, Ilfov, 179551 ORAS VOLUNTARI, Anul 2024, Numar, 2
Spitale, Proprietate privata, Ilfov, 102160 CORBEANCA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Ilfov, 179481 ORAS OTOPENI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Ilfov, 179515 ORAS PANTELIMON, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate privata, Ilfov, 179481 ORAS OTOPENI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Ilfov, 179551 ORAS VOLUNTARI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Ilfov, 102160 CORBEANCA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Ilfov, 100576 ORAS BUFTEA, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Ilfov, 101742 CERNICA, Anul 2024, Numar, 1
Policlinici, Proprietate privata, Ilfov, 179463 MOGOSOAIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Ilfov, 100576 ORAS BUFTEA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Ilfov, 100969 BALOTESTI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Ilfov, 179515 ORAS PANTELIMON, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Ilfov, 102570 DOMNESTI, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate privata, Ilfov, 100576 ORAS BUFTEA, Anul 2024, Numar, 2
