Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 2
Spitale, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 2
Dispensare medicale, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 0
Centre de sanatate mintala, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 2
Centre de sanatate multifunctionale, Proprietate publica, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 1
Centre de sanatate multifunctionale, Proprietate publica, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Puncte de lucru ale centrelor de dializa, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 1
Cabinete medicale de medicina generala, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate publica, Mehedinti, 111275 CORCOVA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 0
Cabinete medicale de medicina generala, Proprietate privata, Mehedinti, 111275 CORCOVA, Anul 2024, Numar, 0
Cabinete medicale scolare, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 11
Cabinete medicale scolare, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 7
Cabinete medicale scolare, Proprietate publica, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Mehedinti, 109826 SIMIAN, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate publica, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110571 BACLES, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110296 BALA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110535 BALACITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110688 BALVANESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110740 BREZNITA-MOTRU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110820 BREZNITA-OCOL, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110875 BROSTENI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 110946 BURILA MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111006 BUTOIESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111097 CAZANESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111275 CORCOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111417 CORLATEL, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111444 CUJMIR, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111550 DARVARI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111480 DEVESEL, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112904 DUBOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111587 DUMBRAVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112245 ESELNITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111783 GARLA MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111863 GOGOSU, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111916 GRECI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 111989 GROZESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112030 GRUIA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112076 HINOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112129 HUSNICIOARA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112263 ILOVAT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112370 ISVERNA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112469 IZVORU BARZII, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112548 JIANA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112600 LIVEZILE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112664 MALOVAT, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112744 OBARSIA DE CAMP, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112771 OPRISOR, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112879 PATULELE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 112995 PONOARELE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113153 POROINA MARE, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113206 PRISTOL, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113233 PRUNISOR, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113395 PUNGHINA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113466 ROGOVA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113493 SALCIA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 109826 SIMIAN, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113625 SISESTI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113698 SOVARNA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113518 STANGACEAUA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113607 SVINITA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113732 TAMNA, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113849 VANATORI, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113894 VANJULET, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate publica, Mehedinti, 113974 VOLOIAC, Anul 2024, Numar, 0
Cabinete medicale de familie, Proprietate privata, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2024, Numar, 56
Cabinete medicale de familie, Proprietate privata, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2024, Numar, 9
Cabinete medicale de familie, Proprietate privata, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Mehedinti, 110116 ORAS STREHAIA, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Mehedinti, 110232 ORAS VANJU MARE, Anul 2024, Numar, 4
Cabinete medicale de familie, Proprietate privata, Mehedinti, 110571 BACLES, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 110296 BALA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Mehedinti, 110535 BALACITA, Anul 2024, Numar, 1
