Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2024, Numar, 4
Spitale, Proprietate publica, Prahova, 131256 MUNICIPIUL CAMPINA, Anul 2024, Numar, 2
Spitale, Proprietate publica, Prahova, 130954 ORAS AZUGA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 130981 ORAS BAICOI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 131103 ORAS BREAZA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 131407 ORAS MIZIL, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 131540 ORAS SINAIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 131620 ORAS URLATI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 131817 ORAS VALENII DE MUNTE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 132896 DRAJNA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Prahova, 133330 FLORESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 130981 ORAS BAICOI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 131069 ORAS BOLDESTI-SCAENI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 131443 ORAS PLOPENI, Anul 2024, Numar, 2
Spitale, Proprietate privata, Prahova, 131577 ORAS SLANIC, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 130785 BUCOV, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 134014 MAGURELE, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 130847 PAULESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Prahova, 131274 POIANA CAMPINA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2024, Numar, 3
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Prahova, 130847 PAULESTI, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Prahova, 131443 ORAS PLOPENI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Prahova, 130785 BUCOV, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Prahova, 130847 PAULESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate privata, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate privata, Prahova, 131443 ORAS PLOPENI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Prahova, 130785 BUCOV, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Prahova, 130847 PAULESTI, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2024, Numar, 4
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131256 MUNICIPIUL CAMPINA, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 130954 ORAS AZUGA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 130981 ORAS BAICOI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131103 ORAS BREAZA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131210 ORAS BUSTENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131407 ORAS MIZIL, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131540 ORAS SINAIA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131620 ORAS URLATI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Prahova, 131817 ORAS VALENII DE MUNTE, Anul 2024, Numar, 1
