Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 6
Spitale, Proprietate publica, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Sibiu, 143682 ORAS AGNITA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Sibiu, 143735 ORAS CISNADIE, Anul 2024, Numar, 1
Spitale, Proprietate privata, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 3
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 4
Ambulatorii de specialitate, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate privata, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 6
Ambulatorii integrate spitalului, Proprietate publica, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Sibiu, 143682 ORAS AGNITA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Sibiu, 143735 ORAS CISNADIE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 2
Unitati medico-sociale, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Sibiu, 143682 ORAS AGNITA, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Sibiu, 145499 ORAS SALISTE, Anul 2024, Numar, 1
Centre de diagnostic si tratament, Proprietate publica, Sibiu, 144152 BAZNA, Anul 2024, Numar, 1
Centre de diagnostic si tratament, Proprietate privata, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2024, Numar, 1
