Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Teleorman, 151870 MUNICIPIUL ROSIORI DE VEDE, Anul 2024, Numar, 2
Spitale, Proprietate publica, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Teleorman, 151905 ORAS VIDELE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Teleorman, 151978 ORAS ZIMNICEA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Teleorman, 151834 POROSCHIA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Teleorman, 151870 MUNICIPIUL ROSIORI DE VEDE, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Teleorman, 151905 ORAS VIDELE, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Teleorman, 151978 ORAS ZIMNICEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Teleorman, 151834 POROSCHIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Teleorman, 151870 MUNICIPIUL ROSIORI DE VEDE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Teleorman, 151905 ORAS VIDELE, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Teleorman, 151978 ORAS ZIMNICEA, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 0
Centre de dializa, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Centre de dializa, Proprietate privata, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Teleorman, 151870 MUNICIPIUL ROSIORI DE VEDE, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2024, Numar, 4
Cabinete medicale scolare, Proprietate publica, Teleorman, 151905 ORAS VIDELE, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Teleorman, 151978 ORAS ZIMNICEA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2024, Numar, 27
Cabinete medicale de familie, Proprietate privata, Teleorman, 151870 MUNICIPIUL ROSIORI DE VEDE, Anul 2024, Numar, 16
Cabinete medicale de familie, Proprietate privata, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2024, Numar, 14
Cabinete medicale de familie, Proprietate privata, Teleorman, 151905 ORAS VIDELE, Anul 2024, Numar, 6
Cabinete medicale de familie, Proprietate privata, Teleorman, 151978 ORAS ZIMNICEA, Anul 2024, Numar, 5
Cabinete medicale de familie, Proprietate privata, Teleorman, 152038 BABAITA, Anul 2024, Numar, 3
Cabinete medicale de familie, Proprietate privata, Teleorman, 151996 BALACI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Teleorman, 155092 BEUCA, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Teleorman, 152083 BLEJESTI, Anul 2024, Numar, 1
Cabinete medicale de familie, Proprietate privata, Teleorman, 152127 BOGDANA, Anul 2024, Numar, 1
