Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2024, Numar, 7
Spitale, Proprietate publica, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 155403 ORAS BUZIAS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 155458 ORAS DETA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 156801 ORAS FAGET, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 157086 ORAS GATAIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 155494 ORAS JIMBOLIA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2024, Numar, 1
Spitale, Proprietate publica, Timis, 157424 JEBEL, Anul 2024, Numar, 1
Spitale, Proprietate privata, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2024, Numar, 9
Spitale, Proprietate privata, Timis, 156357 ORAS CIACOVA, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2024, Numar, 7
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Timis, 158653 SANANDREI, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2024, Numar, 2
Ambulatorii de specialitate, Proprietate publica, Timis, 155403 ORAS BUZIAS, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2024, Numar, 6
Ambulatorii de specialitate, Proprietate privata, Timis, 158653 SANANDREI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2024, Numar, 10
Ambulatorii integrate spitalului, Proprietate publica, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Timis, 155458 ORAS DETA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Timis, 156801 ORAS FAGET, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Timis, 157086 ORAS GATAIA, Anul 2024, Numar, 1
