Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 1
Spitale, Proprietate publica, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Vaslui, 164981 ORAS MURGENI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Vaslui, 161856 ORAS NEGRESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 0
Ambulatorii integrate spitalului, Proprietate privata, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2024, Numar, 0
Policlinici, Proprietate publica, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 0
Policlinici, Proprietate publica, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 0
Policlinici, Proprietate privata, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 0
Policlinici, Proprietate privata, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 0
Dispensare medicale, Proprietate publica, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 2
Dispensare medicale, Proprietate publica, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate privata, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2024, Numar, 0
Dispensare medicale, Proprietate privata, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2024, Numar, 0
