Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Bistrita-Nasaud, 32394 MUNICIPIUL BISTRITA, Anul 2026, Numar persoane, 94646
Total, Total, Bistrita-Nasaud, 32483 ORAS BECLEAN, Anul 2026, Numar persoane, 12119
Total, Total, Bistrita-Nasaud, 32544 ORAS NASAUD, Anul 2026, Numar persoane, 10999
Total, Total, Bistrita-Nasaud, 32599 ORAS SANGEORZ-BAI, Anul 2026, Numar persoane, 12375
Total, Total, Bistrita-Nasaud, 32633 BISTRITA BARGAULUI, Anul 2026, Numar persoane, 4391
Total, Total, Bistrita-Nasaud, 32660 BRANISTEA, Anul 2026, Numar persoane, 2817
Total, Total, Bistrita-Nasaud, 32704 BUDACU DE JOS, Anul 2026, Numar persoane, 3481
Total, Total, Bistrita-Nasaud, 32768 BUDESTI, Anul 2026, Numar persoane, 1692
Total, Total, Bistrita-Nasaud, 32811 CAIANU MIC, Anul 2026, Numar persoane, 4127
Total, Total, Bistrita-Nasaud, 32884 CETATE, Anul 2026, Numar persoane, 3124
Total, Total, Bistrita-Nasaud, 33015 CHIOCHIS, Anul 2026, Numar persoane, 2540
Total, Total, Bistrita-Nasaud, 33122 CHIUZA, Anul 2026, Numar persoane, 2229
Total, Total, Bistrita-Nasaud, 32955 CICEU-GIURGESTI, Anul 2026, Numar persoane, 1321
Total, Total, Bistrita-Nasaud, 179953 CICEU-MIHAIESTI, Anul 2026, Numar persoane, 1199
Total, Total, Bistrita-Nasaud, 33177 COSBUC, Anul 2026, Numar persoane, 1870
Total, Total, Bistrita-Nasaud, 33202 DUMITRA, Anul 2026, Numar persoane, 5910
Total, Total, Bistrita-Nasaud, 179686 DUMITRITA, Anul 2026, Numar persoane, 3407
Total, Total, Bistrita-Nasaud, 33248 FELDRU, Anul 2026, Numar persoane, 7649
Total, Total, Bistrita-Nasaud, 33275 GALATII BISTRITEI, Anul 2026, Numar persoane, 2433
Total, Total, Bistrita-Nasaud, 33337 ILVA MARE, Anul 2026, Numar persoane, 2357
Total, Total, Bistrita-Nasaud, 33364 ILVA MICA, Anul 2026, Numar persoane, 3264
Total, Total, Bistrita-Nasaud, 33382 JOSENII BARGAULUI, Anul 2026, Numar persoane, 5300
Total, Total, Bistrita-Nasaud, 33435 LECHINTA, Anul 2026, Numar persoane, 6038
Total, Total, Bistrita-Nasaud, 33514 LESU, Anul 2026, Numar persoane, 2791
Total, Total, Bistrita-Nasaud, 33541 LIVEZILE, Anul 2026, Numar persoane, 5166
Total, Total, Bistrita-Nasaud, 33603 LUNCA ILVEI, Anul 2026, Numar persoane, 3237
Total, Total, Bistrita-Nasaud, 33729 MAGURA ILVEI, Anul 2026, Numar persoane, 2025
Total, Total, Bistrita-Nasaud, 33621 MAIERU, Anul 2026, Numar persoane, 8189
Total, Total, Bistrita-Nasaud, 33765 MARISELU, Anul 2026, Numar persoane, 2495
Total, Total, Bistrita-Nasaud, 33658 MATEI, Anul 2026, Numar persoane, 2287
Total, Total, Bistrita-Nasaud, 33845 MICESTII DE CAMPIE, Anul 2026, Numar persoane, 939
Total, Total, Bistrita-Nasaud, 33881 MILAS, Anul 2026, Numar persoane, 1127
Total, Total, Bistrita-Nasaud, 33952 MONOR, Anul 2026, Numar persoane, 1227
Total, Total, Bistrita-Nasaud, 179659 NEGRILESTI, Anul 2026, Numar persoane, 2266
Total, Total, Bistrita-Nasaud, 33989 NIMIGEA, Anul 2026, Numar persoane, 5289
Total, Total, Bistrita-Nasaud, 34075 NUSENI, Anul 2026, Numar persoane, 2628
Total, Total, Bistrita-Nasaud, 34155 PARVA, Anul 2026, Numar persoane, 2537
Total, Total, Bistrita-Nasaud, 34173 PETRU RARES, Anul 2026, Numar persoane, 3615
Total, Total, Bistrita-Nasaud, 179720 POIANA ILVEI, Anul 2026, Numar persoane, 1412
Total, Total, Bistrita-Nasaud, 34235 PRUNDU BARGAULUI, Anul 2026, Numar persoane, 6344
Total, Total, Bistrita-Nasaud, 34262 REBRA, Anul 2026, Numar persoane, 2678
