Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Braila, 42682 MUNICIPIUL BRAILA, Anul 2026, Numar persoane, 180124
Total, Total, Braila, 42753 ORAS FAUREI, Anul 2026, Numar persoane, 3553
Total, Total, Braila, 43331 ORAS IANCA, Anul 2026, Numar persoane, 10053
Total, Total, Braila, 43411 ORAS INSURATEI, Anul 2026, Numar persoane, 6580
Total, Total, Braila, 42824 BARAGANUL, Anul 2026, Numar persoane, 2794
Total, Total, Braila, 42842 BERTESTII DE JOS, Anul 2026, Numar persoane, 2891
Total, Total, Braila, 42913 BORDEI VERDE, Anul 2026, Numar persoane, 2335
Total, Total, Braila, 44560 CAZASU, Anul 2026, Numar persoane, 4393
Total, Total, Braila, 42708 CHISCANI, Anul 2026, Numar persoane, 6694
Total, Total, Braila, 42968 CIOCILE, Anul 2026, Numar persoane, 2123
Total, Total, Braila, 43019 CIRESU, Anul 2026, Numar persoane, 2543
Total, Total, Braila, 43073 DUDESTI, Anul 2026, Numar persoane, 3313
Total, Total, Braila, 43117 FRECATEI, Anul 2026, Numar persoane, 1258
Total, Total, Braila, 43180 GALBENU, Anul 2026, Numar persoane, 2871
Total, Total, Braila, 43242 GEMENELE, Anul 2026, Numar persoane, 1618
Total, Total, Braila, 43279 GRADISTEA, Anul 2026, Numar persoane, 1984
Total, Total, Braila, 43313 GROPENI, Anul 2026, Numar persoane, 3194
Total, Total, Braila, 43466 JIRLAU, Anul 2026, Numar persoane, 2888
Total, Total, Braila, 43493 MARASU, Anul 2026, Numar persoane, 2345
Total, Total, Braila, 43563 MAXINENI, Anul 2026, Numar persoane, 3067
Total, Total, Braila, 43625 MIRCEA VODA, Anul 2026, Numar persoane, 2926
Total, Total, Braila, 43652 MOVILA MIRESII, Anul 2026, Numar persoane, 3961
Total, Total, Braila, 43698 RACOVITA, Anul 2026, Numar persoane, 923
Total, Total, Braila, 43732 RAMNICELU, Anul 2026, Numar persoane, 1807
Total, Total, Braila, 43787 ROMANU, Anul 2026, Numar persoane, 1714
Total, Total, Braila, 43812 ROSIORI, Anul 2026, Numar persoane, 2362
Total, Total, Braila, 43867 SALCIA TUDOR, Anul 2026, Numar persoane, 2173
Total, Total, Braila, 43929 SCORTARU NOU, Anul 2026, Numar persoane, 1222
Total, Total, Braila, 43992 SILISTEA, Anul 2026, Numar persoane, 1871
Total, Total, Braila, 44060 STANCUTA, Anul 2026, Numar persoane, 3099
Total, Total, Braila, 44113 SURDILA-GAISEANCA, Anul 2026, Numar persoane, 2187
Total, Total, Braila, 42771 SURDILA-GRECI, Anul 2026, Numar persoane, 1318
Total, Total, Braila, 44140 SUTESTI, Anul 2026, Numar persoane, 4268
Total, Total, Braila, 44177 TICHILESTI, Anul 2026, Numar persoane, 3474
Total, Total, Braila, 44202 TRAIAN, Anul 2026, Numar persoane, 3124
Total, Total, Braila, 44257 TUDOR VLADIMIRESCU, Anul 2026, Numar persoane, 1951
Total, Total, Braila, 44300 TUFESTI, Anul 2026, Numar persoane, 4626
Total, Total, Braila, 44328 ULMU, Anul 2026, Numar persoane, 3166
Total, Total, Braila, 44355 UNIREA, Anul 2026, Numar persoane, 2315
Total, Total, Braila, 44391 VADENI, Anul 2026, Numar persoane, 3915
Total, Total, Braila, 44435 VICTORIA, Anul 2026, Numar persoane, 3395
Total, Total, Braila, 44462 VISANI, Anul 2026, Numar persoane, 2182
Total, Total, Braila, 44505 VIZIRU, Anul 2026, Numar persoane, 6247
Total, Total, Braila, 44532 ZAVOAIA, Anul 2026, Numar persoane, 2882
65-69 ani, Total, Braila, 42682 MUNICIPIUL BRAILA, Anul 2026, Numar persoane, 13575
