Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2026, Numar persoane, 282707
Total, Total, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2026, Numar persoane, 25087
Total, Total, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2026, Numar persoane, 35229
Total, Total, Brasov, 40438 MUNICIPIUL SACELE, Anul 2026, Numar persoane, 36758
Total, Total, Brasov, 40214 ORAS GHIMBAV, Anul 2026, Numar persoane, 8846
Total, Total, Brasov, 40303 ORAS PREDEAL, Anul 2026, Numar persoane, 4416
Total, Total, Brasov, 40367 ORAS RASNOV, Anul 2026, Numar persoane, 18869
Total, Total, Brasov, 40394 ORAS RUPEA, Anul 2026, Numar persoane, 5721
Total, Total, Brasov, 40465 ORAS VICTORIA, Anul 2026, Numar persoane, 7785
Total, Total, Brasov, 40492 ORAS ZARNESTI, Anul 2026, Numar persoane, 25554
Total, Total, Brasov, 40526 APATA, Anul 2026, Numar persoane, 3793
Total, Total, Brasov, 42498 AUGUSTIN, Anul 2026, Numar persoane, 2422
Total, Total, Brasov, 40544 BECLEAN, Anul 2026, Numar persoane, 1972
Total, Total, Brasov, 40606 BOD, Anul 2026, Numar persoane, 5873
Total, Total, Brasov, 40633 BRAN, Anul 2026, Numar persoane, 5216
Total, Total, Brasov, 40688 BUDILA, Anul 2026, Numar persoane, 5511
Total, Total, Brasov, 40704 BUNESTI, Anul 2026, Numar persoane, 2980
Total, Total, Brasov, 40768 CATA, Anul 2026, Numar persoane, 2717
Total, Total, Brasov, 40820 CINCU, Anul 2026, Numar persoane, 1956
Total, Total, Brasov, 40857 COMANA, Anul 2026, Numar persoane, 3262
Total, Total, Brasov, 40900 CRISTIAN, Anul 2026, Numar persoane, 7932
Total, Total, Brasov, 42456 CRIZBAV, Anul 2026, Numar persoane, 3316
Total, Total, Brasov, 42480 DRAGUS, Anul 2026, Numar persoane, 1058
Total, Total, Brasov, 40928 DUMBRAVITA, Anul 2026, Numar persoane, 5255
Total, Total, Brasov, 40955 FELDIOARA, Anul 2026, Numar persoane, 7668
Total, Total, Brasov, 40991 FUNDATA, Anul 2026, Numar persoane, 656
Total, Total, Brasov, 41033 HALCHIU, Anul 2026, Numar persoane, 5434
Total, Total, Brasov, 41088 HARMAN, Anul 2026, Numar persoane, 8164
Total, Total, Brasov, 41113 HARSENI, Anul 2026, Numar persoane, 2348
