Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2026, Numar persoane, 68519
Total, Total, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2026, Numar persoane, 24565
Total, Total, Calarasi, 101458 ORAS BUDESTI, Anul 2026, Numar persoane, 7508
Total, Total, Calarasi, 103032 ORAS FUNDULEA, Anul 2026, Numar persoane, 6440
Total, Total, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2026, Numar persoane, 6190
Total, Total, Calarasi, 94125 ALEXANDRU ODOBESCU, Anul 2026, Numar persoane, 2606
Total, Total, Calarasi, 101083 BELCIUGATELE, Anul 2026, Numar persoane, 2000
Total, Total, Calarasi, 92961 BORCEA, Anul 2026, Numar persoane, 7449
Total, Total, Calarasi, 101724 CASCIOARELE, Anul 2026, Numar persoane, 1461
Total, Total, Calarasi, 101804 CHIRNOGI, Anul 2026, Numar persoane, 6754
Total, Total, Calarasi, 101822 CHISELET, Anul 2026, Numar persoane, 3037
Total, Total, Calarasi, 93085 CIOCANESTI, Anul 2026, Numar persoane, 3716
Total, Total, Calarasi, 180055 CRIVAT, Anul 2026, Numar persoane, 1758
Total, Total, Calarasi, 102419 CURCANI, Anul 2026, Numar persoane, 5099
Total, Total, Calarasi, 93281 CUZA VODA, Anul 2026, Numar persoane, 4162
Total, Total, Calarasi, 93325 DICHISENI, Anul 2026, Numar persoane, 1738
Total, Total, Calarasi, 93370 DOR MARUNT, Anul 2026, Numar persoane, 6510
Total, Total, Calarasi, 93441 DOROBANTU, Anul 2026, Numar persoane, 2532
Total, Total, Calarasi, 93487 DRAGALINA, Anul 2026, Numar persoane, 8207
Total, Total, Calarasi, 93539 DRAGOS VODA, Anul 2026, Numar persoane, 2775
Total, Total, Calarasi, 102838 FRASINET, Anul 2026, Numar persoane, 1502
Total, Total, Calarasi, 102945 FRUMUSANI, Anul 2026, Numar persoane, 5330
Total, Total, Calarasi, 103014 FUNDENI, Anul 2026, Numar persoane, 4572
Total, Total, Calarasi, 179962 GALBINASI, Anul 2026, Numar persoane, 3715
Total, Total, Calarasi, 93664 GRADISTEA, Anul 2026, Numar persoane, 4595
Total, Total, Calarasi, 103568 GURBANESTI, Anul 2026, Numar persoane, 901
Total, Total, Calarasi, 103764 ILEANA, Anul 2026, Numar persoane, 2909
Total, Total, Calarasi, 93771 INDEPENDENTA, Anul 2026, Numar persoane, 3303
Total, Total, Calarasi, 93815 JEGALIA, Anul 2026, Numar persoane, 3794
Total, Total, Calarasi, 93851 LEHLIU, Anul 2026, Numar persoane, 2343
Total, Total, Calarasi, 104083 LUICA, Anul 2026, Numar persoane, 1923
Total, Total, Calarasi, 93931 LUPSANU, Anul 2026, Numar persoane, 2779
Total, Total, Calarasi, 104181 MANASTIREA, Anul 2026, Numar persoane, 4889
Total, Total, Calarasi, 100638 MITRENI, Anul 2026, Numar persoane, 3753
Total, Total, Calarasi, 92587 MODELU, Anul 2026, Numar persoane, 10564
Total, Total, Calarasi, 104323 NANA, Anul 2026, Numar persoane, 2203
Total, Total, Calarasi, 104341 NICOLAE BALCESCU, Anul 2026, Numar persoane, 1562
Total, Total, Calarasi, 94223 PERISORU, Anul 2026, Numar persoane, 4971
Total, Total, Calarasi, 104635 PLATARESTI, Anul 2026, Numar persoane, 3133
Total, Total, Calarasi, 104751 RADOVANU, Anul 2026, Numar persoane, 3349
Total, Total, Calarasi, 94312 ROSETI, Anul 2026, Numar persoane, 6524
Total, Total, Calarasi, 104886 SARULESTI, Anul 2026, Numar persoane, 3003
Total, Total, Calarasi, 105222 SOHATU, Anul 2026, Numar persoane, 2157
Total, Total, Calarasi, 105384 SOLDANU, Anul 2026, Numar persoane, 3235
Total, Total, Calarasi, 105259 SPANTOV, Anul 2026, Numar persoane, 4621
Total, Total, Calarasi, 94562 STEFAN CEL MARE, Anul 2026, Numar persoane, 3235
Total, Total, Calarasi, 94580 STEFAN VODA, Anul 2026, Numar persoane, 2169
Total, Total, Calarasi, 105455 TAMADAU MARE, Anul 2026, Numar persoane, 2394
Total, Total, Calarasi, 105605 ULMENI, Anul 2026, Numar persoane, 4427
Total, Total, Calarasi, 94606 ULMU, Anul 2026, Numar persoane, 1092
Total, Total, Calarasi, 94651 UNIREA, Anul 2026, Numar persoane, 2608
Total, Total, Calarasi, 94731 VALCELELE, Anul 2026, Numar persoane, 1600
Total, Total, Calarasi, 105712 VALEA ARGOVEI, Anul 2026, Numar persoane, 2197
Total, Total, Calarasi, 105829 VASILATI, Anul 2026, Numar persoane, 4066
Total, Total, Calarasi, 94768 VLAD TEPES, Anul 2026, Numar persoane, 1824
65-69 ani, Total, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2026, Numar persoane, 4495
65-69 ani, Total, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2026, Numar persoane, 1728
65-69 ani, Total, Calarasi, 101458 ORAS BUDESTI, Anul 2026, Numar persoane, 306
65-69 ani, Total, Calarasi, 103032 ORAS FUNDULEA, Anul 2026, Numar persoane, 312
65-69 ani, Total, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2026, Numar persoane, 377
65-69 ani, Total, Calarasi, 94125 ALEXANDRU ODOBESCU, Anul 2026, Numar persoane, 125
65-69 ani, Total, Calarasi, 101083 BELCIUGATELE, Anul 2026, Numar persoane, 85
65-69 ani, Total, Calarasi, 92961 BORCEA, Anul 2026, Numar persoane, 432
65-69 ani, Total, Calarasi, 101724 CASCIOARELE, Anul 2026, Numar persoane, 102
65-69 ani, Total, Calarasi, 101804 CHIRNOGI, Anul 2026, Numar persoane, 397
65-69 ani, Total, Calarasi, 101822 CHISELET, Anul 2026, Numar persoane, 160
65-69 ani, Total, Calarasi, 93085 CIOCANESTI, Anul 2026, Numar persoane, 194
65-69 ani, Total, Calarasi, 180055 CRIVAT, Anul 2026, Numar persoane, 99
65-69 ani, Total, Calarasi, 102419 CURCANI, Anul 2026, Numar persoane, 211
65-69 ani, Total, Calarasi, 93281 CUZA VODA, Anul 2026, Numar persoane, 266
65-69 ani, Total, Calarasi, 93325 DICHISENI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Calarasi, 93370 DOR MARUNT, Anul 2026, Numar persoane, 308
65-69 ani, Total, Calarasi, 93441 DOROBANTU, Anul 2026, Numar persoane, 121
65-69 ani, Total, Calarasi, 93487 DRAGALINA, Anul 2026, Numar persoane, 425
65-69 ani, Total, Calarasi, 93539 DRAGOS VODA, Anul 2026, Numar persoane, 144
65-69 ani, Total, Calarasi, 102838 FRASINET, Anul 2026, Numar persoane, 84
65-69 ani, Total, Calarasi, 102945 FRUMUSANI, Anul 2026, Numar persoane, 246
65-69 ani, Total, Calarasi, 103014 FUNDENI, Anul 2026, Numar persoane, 224
65-69 ani, Total, Calarasi, 179962 GALBINASI, Anul 2026, Numar persoane, 131
65-69 ani, Total, Calarasi, 93664 GRADISTEA, Anul 2026, Numar persoane, 262
65-69 ani, Total, Calarasi, 103568 GURBANESTI, Anul 2026, Numar persoane, 47
65-69 ani, Total, Calarasi, 103764 ILEANA, Anul 2026, Numar persoane, 137
65-69 ani, Total, Calarasi, 93771 INDEPENDENTA, Anul 2026, Numar persoane, 170
65-69 ani, Total, Calarasi, 93815 JEGALIA, Anul 2026, Numar persoane, 175
65-69 ani, Total, Calarasi, 93851 LEHLIU, Anul 2026, Numar persoane, 101
65-69 ani, Total, Calarasi, 104083 LUICA, Anul 2026, Numar persoane, 91
65-69 ani, Total, Calarasi, 93931 LUPSANU, Anul 2026, Numar persoane, 160
65-69 ani, Total, Calarasi, 104181 MANASTIREA, Anul 2026, Numar persoane, 213
65-69 ani, Total, Calarasi, 100638 MITRENI, Anul 2026, Numar persoane, 216
65-69 ani, Total, Calarasi, 92587 MODELU, Anul 2026, Numar persoane, 480
65-69 ani, Total, Calarasi, 104323 NANA, Anul 2026, Numar persoane, 106
65-69 ani, Total, Calarasi, 104341 NICOLAE BALCESCU, Anul 2026, Numar persoane, 66
65-69 ani, Total, Calarasi, 94223 PERISORU, Anul 2026, Numar persoane, 236
65-69 ani, Total, Calarasi, 104635 PLATARESTI, Anul 2026, Numar persoane, 167
65-69 ani, Total, Calarasi, 104751 RADOVANU, Anul 2026, Numar persoane, 209
65-69 ani, Total, Calarasi, 94312 ROSETI, Anul 2026, Numar persoane, 286
65-69 ani, Total, Calarasi, 104886 SARULESTI, Anul 2026, Numar persoane, 114
65-69 ani, Total, Calarasi, 105222 SOHATU, Anul 2026, Numar persoane, 70
65-69 ani, Total, Calarasi, 105384 SOLDANU, Anul 2026, Numar persoane, 98
65-69 ani, Total, Calarasi, 105259 SPANTOV, Anul 2026, Numar persoane, 207
65-69 ani, Total, Calarasi, 94562 STEFAN CEL MARE, Anul 2026, Numar persoane, 175
65-69 ani, Total, Calarasi, 94580 STEFAN VODA, Anul 2026, Numar persoane, 98
65-69 ani, Total, Calarasi, 105455 TAMADAU MARE, Anul 2026, Numar persoane, 121
65-69 ani, Total, Calarasi, 105605 ULMENI, Anul 2026, Numar persoane, 230
65-69 ani, Total, Calarasi, 94606 ULMU, Anul 2026, Numar persoane, 53
65-69 ani, Total, Calarasi, 94651 UNIREA, Anul 2026, Numar persoane, 138
65-69 ani, Total, Calarasi, 94731 VALCELELE, Anul 2026, Numar persoane, 67
65-69 ani, Total, Calarasi, 105712 VALEA ARGOVEI, Anul 2026, Numar persoane, 115
65-69 ani, Total, Calarasi, 105829 VASILATI, Anul 2026, Numar persoane, 181
65-69 ani, Total, Calarasi, 94768 VLAD TEPES, Anul 2026, Numar persoane, 97
70-74 ani, Total, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2026, Numar persoane, 3829
70-74 ani, Total, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2026, Numar persoane, 1654
70-74 ani, Total, Calarasi, 101458 ORAS BUDESTI, Anul 2026, Numar persoane, 247
70-74 ani, Total, Calarasi, 103032 ORAS FUNDULEA, Anul 2026, Numar persoane, 256
70-74 ani, Total, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2026, Numar persoane, 308
70-74 ani, Total, Calarasi, 94125 ALEXANDRU ODOBESCU, Anul 2026, Numar persoane, 106
70-74 ani, Total, Calarasi, 101083 BELCIUGATELE, Anul 2026, Numar persoane, 81
70-74 ani, Total, Calarasi, 92961 BORCEA, Anul 2026, Numar persoane, 308
70-74 ani, Total, Calarasi, 101724 CASCIOARELE, Anul 2026, Numar persoane, 88
70-74 ani, Total, Calarasi, 101804 CHIRNOGI, Anul 2026, Numar persoane, 351
70-74 ani, Total, Calarasi, 101822 CHISELET, Anul 2026, Numar persoane, 126
70-74 ani, Total, Calarasi, 93085 CIOCANESTI, Anul 2026, Numar persoane, 192
70-74 ani, Total, Calarasi, 180055 CRIVAT, Anul 2026, Numar persoane, 97
70-74 ani, Total, Calarasi, 102419 CURCANI, Anul 2026, Numar persoane, 182
70-74 ani, Total, Calarasi, 93281 CUZA VODA, Anul 2026, Numar persoane, 184
70-74 ani, Total, Calarasi, 93325 DICHISENI, Anul 2026, Numar persoane, 56
70-74 ani, Total, Calarasi, 93370 DOR MARUNT, Anul 2026, Numar persoane, 284
70-74 ani, Total, Calarasi, 93441 DOROBANTU, Anul 2026, Numar persoane, 119
70-74 ani, Total, Calarasi, 93487 DRAGALINA, Anul 2026, Numar persoane, 331
70-74 ani, Total, Calarasi, 93539 DRAGOS VODA, Anul 2026, Numar persoane, 100
70-74 ani, Total, Calarasi, 102838 FRASINET, Anul 2026, Numar persoane, 73
70-74 ani, Total, Calarasi, 102945 FRUMUSANI, Anul 2026, Numar persoane, 191
70-74 ani, Total, Calarasi, 103014 FUNDENI, Anul 2026, Numar persoane, 201
70-74 ani, Total, Calarasi, 179962 GALBINASI, Anul 2026, Numar persoane, 141
70-74 ani, Total, Calarasi, 93664 GRADISTEA, Anul 2026, Numar persoane, 248
70-74 ani, Total, Calarasi, 103568 GURBANESTI, Anul 2026, Numar persoane, 43
70-74 ani, Total, Calarasi, 103764 ILEANA, Anul 2026, Numar persoane, 98
70-74 ani, Total, Calarasi, 93771 INDEPENDENTA, Anul 2026, Numar persoane, 164
70-74 ani, Total, Calarasi, 93815 JEGALIA, Anul 2026, Numar persoane, 202
70-74 ani, Total, Calarasi, 93851 LEHLIU, Anul 2026, Numar persoane, 96
70-74 ani, Total, Calarasi, 104083 LUICA, Anul 2026, Numar persoane, 97
70-74 ani, Total, Calarasi, 93931 LUPSANU, Anul 2026, Numar persoane, 110
70-74 ani, Total, Calarasi, 104181 MANASTIREA, Anul 2026, Numar persoane, 188
70-74 ani, Total, Calarasi, 100638 MITRENI, Anul 2026, Numar persoane, 209
70-74 ani, Total, Calarasi, 92587 MODELU, Anul 2026, Numar persoane, 446
70-74 ani, Total, Calarasi, 104323 NANA, Anul 2026, Numar persoane, 97
70-74 ani, Total, Calarasi, 104341 NICOLAE BALCESCU, Anul 2026, Numar persoane, 55
70-74 ani, Total, Calarasi, 94223 PERISORU, Anul 2026, Numar persoane, 221
70-74 ani, Total, Calarasi, 104635 PLATARESTI, Anul 2026, Numar persoane, 151
70-74 ani, Total, Calarasi, 104751 RADOVANU, Anul 2026, Numar persoane, 213
70-74 ani, Total, Calarasi, 94312 ROSETI, Anul 2026, Numar persoane, 185
70-74 ani, Total, Calarasi, 104886 SARULESTI, Anul 2026, Numar persoane, 84
70-74 ani, Total, Calarasi, 105222 SOHATU, Anul 2026, Numar persoane, 77
70-74 ani, Total, Calarasi, 105384 SOLDANU, Anul 2026, Numar persoane, 125
70-74 ani, Total, Calarasi, 105259 SPANTOV, Anul 2026, Numar persoane, 160
70-74 ani, Total, Calarasi, 94562 STEFAN CEL MARE, Anul 2026, Numar persoane, 164
70-74 ani, Total, Calarasi, 94580 STEFAN VODA, Anul 2026, Numar persoane, 92
70-74 ani, Total, Calarasi, 105455 TAMADAU MARE, Anul 2026, Numar persoane, 92
70-74 ani, Total, Calarasi, 105605 ULMENI, Anul 2026, Numar persoane, 223
70-74 ani, Total, Calarasi, 94606 ULMU, Anul 2026, Numar persoane, 53
70-74 ani, Total, Calarasi, 94651 UNIREA, Anul 2026, Numar persoane, 107
70-74 ani, Total, Calarasi, 94731 VALCELELE, Anul 2026, Numar persoane, 78
70-74 ani, Total, Calarasi, 105712 VALEA ARGOVEI, Anul 2026, Numar persoane, 86
70-74 ani, Total, Calarasi, 105829 VASILATI, Anul 2026, Numar persoane, 129
70-74 ani, Total, Calarasi, 94768 VLAD TEPES, Anul 2026, Numar persoane, 89
75-79 ani, Total, Calarasi, 92569 MUNICIPIUL CALARASI, Anul 2026, Numar persoane, 2529
75-79 ani, Total, Calarasi, 100610 MUNICIPIUL OLTENITA, Anul 2026, Numar persoane, 1099
75-79 ani, Total, Calarasi, 101458 ORAS BUDESTI, Anul 2026, Numar persoane, 218
75-79 ani, Total, Calarasi, 103032 ORAS FUNDULEA, Anul 2026, Numar persoane, 173
75-79 ani, Total, Calarasi, 93888 ORAS LEHLIU-GARA, Anul 2026, Numar persoane, 235
75-79 ani, Total, Calarasi, 94125 ALEXANDRU ODOBESCU, Anul 2026, Numar persoane, 89
75-79 ani, Total, Calarasi, 101083 BELCIUGATELE, Anul 2026, Numar persoane, 70
75-79 ani, Total, Calarasi, 92961 BORCEA, Anul 2026, Numar persoane, 275
75-79 ani, Total, Calarasi, 101724 CASCIOARELE, Anul 2026, Numar persoane, 101
75-79 ani, Total, Calarasi, 101804 CHIRNOGI, Anul 2026, Numar persoane, 312
75-79 ani, Total, Calarasi, 101822 CHISELET, Anul 2026, Numar persoane, 101
75-79 ani, Total, Calarasi, 93085 CIOCANESTI, Anul 2026, Numar persoane, 171
75-79 ani, Total, Calarasi, 180055 CRIVAT, Anul 2026, Numar persoane, 102
75-79 ani, Total, Calarasi, 102419 CURCANI, Anul 2026, Numar persoane, 146
75-79 ani, Total, Calarasi, 93281 CUZA VODA, Anul 2026, Numar persoane, 165
75-79 ani, Total, Calarasi, 93325 DICHISENI, Anul 2026, Numar persoane, 59
75-79 ani, Total, Calarasi, 93370 DOR MARUNT, Anul 2026, Numar persoane, 208
75-79 ani, Total, Calarasi, 93441 DOROBANTU, Anul 2026, Numar persoane, 120
75-79 ani, Total, Calarasi, 93487 DRAGALINA, Anul 2026, Numar persoane, 230
75-79 ani, Total, Calarasi, 93539 DRAGOS VODA, Anul 2026, Numar persoane, 89
75-79 ani, Total, Calarasi, 102838 FRASINET, Anul 2026, Numar persoane, 74
75-79 ani, Total, Calarasi, 102945 FRUMUSANI, Anul 2026, Numar persoane, 138
75-79 ani, Total, Calarasi, 103014 FUNDENI, Anul 2026, Numar persoane, 161
75-79 ani, Total, Calarasi, 179962 GALBINASI, Anul 2026, Numar persoane, 83
75-79 ani, Total, Calarasi, 93664 GRADISTEA, Anul 2026, Numar persoane, 194
75-79 ani, Total, Calarasi, 103568 GURBANESTI, Anul 2026, Numar persoane, 33
75-79 ani, Total, Calarasi, 103764 ILEANA, Anul 2026, Numar persoane, 90
75-79 ani, Total, Calarasi, 93771 INDEPENDENTA, Anul 2026, Numar persoane, 136
75-79 ani, Total, Calarasi, 93815 JEGALIA, Anul 2026, Numar persoane, 173
75-79 ani, Total, Calarasi, 93851 LEHLIU, Anul 2026, Numar persoane, 86
75-79 ani, Total, Calarasi, 104083 LUICA, Anul 2026, Numar persoane, 64
75-79 ani, Total, Calarasi, 93931 LUPSANU, Anul 2026, Numar persoane, 103
75-79 ani, Total, Calarasi, 104181 MANASTIREA, Anul 2026, Numar persoane, 217
75-79 ani, Total, Calarasi, 100638 MITRENI, Anul 2026, Numar persoane, 183
75-79 ani, Total, Calarasi, 92587 MODELU, Anul 2026, Numar persoane, 258
75-79 ani, Total, Calarasi, 104323 NANA, Anul 2026, Numar persoane, 88
75-79 ani, Total, Calarasi, 104341 NICOLAE BALCESCU, Anul 2026, Numar persoane, 52
75-79 ani, Total, Calarasi, 94223 PERISORU, Anul 2026, Numar persoane, 177
75-79 ani, Total, Calarasi, 104635 PLATARESTI, Anul 2026, Numar persoane, 106
75-79 ani, Total, Calarasi, 104751 RADOVANU, Anul 2026, Numar persoane, 188
75-79 ani, Total, Calarasi, 94312 ROSETI, Anul 2026, Numar persoane, 156
75-79 ani, Total, Calarasi, 104886 SARULESTI, Anul 2026, Numar persoane, 55
75-79 ani, Total, Calarasi, 105222 SOHATU, Anul 2026, Numar persoane, 97
75-79 ani, Total, Calarasi, 105384 SOLDANU, Anul 2026, Numar persoane, 100
