Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Constanta, 60419 MUNICIPIUL CONSTANTA, Anul 2026, Numar persoane, 291980
Total, Total, Constanta, 60482 MUNICIPIUL MANGALIA, Anul 2026, Numar persoane, 37486
Total, Total, Constanta, 60847 MUNICIPIUL MEDGIDIA, Anul 2026, Numar persoane, 41688
Total, Total, Constanta, 60776 ORAS CERNAVODA, Anul 2026, Numar persoane, 17372
Total, Total, Constanta, 60455 ORAS EFORIE, Anul 2026, Numar persoane, 10519
Total, Total, Constanta, 60801 ORAS HARSOVA, Anul 2026, Numar persoane, 10429
Total, Total, Constanta, 62360 ORAS MURFATLAR, Anul 2026, Numar persoane, 10310
Total, Total, Constanta, 60507 ORAS NAVODARI, Anul 2026, Numar persoane, 44076
Total, Total, Constanta, 62397 ORAS NEGRU VODA, Anul 2026, Numar persoane, 5315
Total, Total, Constanta, 60687 ORAS OVIDIU, Anul 2026, Numar persoane, 16474
Total, Total, Constanta, 60534 ORAS TECHIRGHIOL, Anul 2026, Numar persoane, 8812
Total, Total, Constanta, 60598 23 AUGUST, Anul 2026, Numar persoane, 5779
Total, Total, Constanta, 60883 ADAMCLISI, Anul 2026, Numar persoane, 2246
Total, Total, Constanta, 60570 AGIGEA, Anul 2026, Numar persoane, 10262
Total, Total, Constanta, 60945 ALBESTI, Anul 2026, Numar persoane, 3819
Total, Total, Constanta, 61005 ALIMAN, Anul 2026, Numar persoane, 2671
Total, Total, Constanta, 63198 AMZACEA, Anul 2026, Numar persoane, 2850
Total, Total, Constanta, 61069 BANEASA, Anul 2026, Numar persoane, 5765
Total, Total, Constanta, 63294 BARAGANU, Anul 2026, Numar persoane, 2141
Total, Total, Constanta, 61121 CASTELU, Anul 2026, Numar persoane, 5927
Total, Total, Constanta, 61167 CERCHEZU, Anul 2026, Numar persoane, 1242
Total, Total, Constanta, 61210 CHIRNOGENI, Anul 2026, Numar persoane, 3061
Total, Total, Constanta, 61256 CIOBANU, Anul 2026, Numar persoane, 3437
Total, Total, Constanta, 61283 CIOCARLIA, Anul 2026, Numar persoane, 3190
Total, Total, Constanta, 61318 COBADIN, Anul 2026, Numar persoane, 9505
Total, Total, Constanta, 61372 COGEALAC, Anul 2026, Numar persoane, 5076
Total, Total, Constanta, 61452 COMANA, Anul 2026, Numar persoane, 1934
Total, Total, Constanta, 61513 CORBU, Anul 2026, Numar persoane, 6641
