Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Covasna, 63394 MUNICIPIUL SFANTU GHEORGHE, Anul 2026, Numar persoane, 59845
Total, Total, Covasna, 63740 MUNICIPIUL TARGU SECUIESC, Anul 2026, Numar persoane, 18394
Total, Total, Covasna, 63447 ORAS BARAOLT, Anul 2026, Numar persoane, 8693
Total, Total, Covasna, 63526 ORAS COVASNA, Anul 2026, Numar persoane, 10484
Total, Total, Covasna, 63580 ORAS INTORSURA BUZAULUI, Anul 2026, Numar persoane, 9255
Total, Total, Covasna, 63777 AITA MARE, Anul 2026, Numar persoane, 1561
Total, Total, Covasna, 65113 ARCUS, Anul 2026, Numar persoane, 1821
Total, Total, Covasna, 63633 BARCANI, Anul 2026, Numar persoane, 4016
Total, Total, Covasna, 63802 BATANI, Anul 2026, Numar persoane, 4813
Total, Total, Covasna, 63866 BELIN, Anul 2026, Numar persoane, 3435
Total, Total, Covasna, 65121 BIXAD, Anul 2026, Numar persoane, 1681
Total, Total, Covasna, 63893 BODOC, Anul 2026, Numar persoane, 2548
Total, Total, Covasna, 63937 BOROSNEU MARE, Anul 2026, Numar persoane, 3265
Total, Total, Covasna, 64041 BRADUT, Anul 2026, Numar persoane, 5317
Total, Total, Covasna, 64005 BRATES, Anul 2026, Numar persoane, 1374
Total, Total, Covasna, 64096 BRETCU, Anul 2026, Numar persoane, 3311
Total, Total, Covasna, 64130 CATALINA, Anul 2026, Numar persoane, 3236
Total, Total, Covasna, 64194 CERNAT, Anul 2026, Numar persoane, 3980
Total, Total, Covasna, 64238 CHICHIS, Anul 2026, Numar persoane, 1501
Total, Total, Covasna, 63553 COMANDAU, Anul 2026, Numar persoane, 918
Total, Total, Covasna, 65147 DALNIC, Anul 2026, Numar persoane, 951
Total, Total, Covasna, 64265 DOBARLAU, Anul 2026, Numar persoane, 2208
Total, Total, Covasna, 65154 ESTELNIC, Anul 2026, Numar persoane, 1105
Total, Total, Covasna, 64318 GHELINTA, Anul 2026, Numar persoane, 5196
Total, Total, Covasna, 64345 GHIDFALAU, Anul 2026, Numar persoane, 2680
Total, Total, Covasna, 64390 HAGHIG, Anul 2026, Numar persoane, 2539
Total, Total, Covasna, 64425 ILIENI, Anul 2026, Numar persoane, 2234
Total, Total, Covasna, 64461 LEMNIA, Anul 2026, Numar persoane, 1760
Total, Total, Covasna, 64504 MALNAS, Anul 2026, Numar persoane, 1017
Total, Total, Covasna, 65105 MERENI, Anul 2026, Numar persoane, 1200
Total, Total, Covasna, 65139 MICFALAU, Anul 2026, Numar persoane, 1686
Total, Total, Covasna, 64568 MOACSA, Anul 2026, Numar persoane, 1237
Total, Total, Covasna, 64602 OJDULA, Anul 2026, Numar persoane, 3628
Total, Total, Covasna, 64639 OZUN, Anul 2026, Numar persoane, 4641
Total, Total, Covasna, 64719 POIAN, Anul 2026, Numar persoane, 1673
Total, Total, Covasna, 64773 RECI, Anul 2026, Numar persoane, 2274
Total, Total, Covasna, 64826 SANZIENI, Anul 2026, Numar persoane, 4468
Total, Total, Covasna, 63688 SITA BUZAULUI, Anul 2026, Numar persoane, 4748
Total, Total, Covasna, 64871 TURIA, Anul 2026, Numar persoane, 3717
Total, Total, Covasna, 64942 VALCELE, Anul 2026, Numar persoane, 6327
Total, Total, Covasna, 64906 VALEA CRISULUI, Anul 2026, Numar persoane, 2489
Total, Total, Covasna, 65099 VALEA MARE, Anul 2026, Numar persoane, 1109
Total, Total, Covasna, 64997 VARGHIS, Anul 2026, Numar persoane, 1695
Total, Total, Covasna, 65048 ZABALA, Anul 2026, Numar persoane, 4521
Total, Total, Covasna, 65011 ZAGON, Anul 2026, Numar persoane, 4910
65-69 ani, Total, Covasna, 63394 MUNICIPIUL SFANTU GHEORGHE, Anul 2026, Numar persoane, 4140
65-69 ani, Total, Covasna, 63740 MUNICIPIUL TARGU SECUIESC, Anul 2026, Numar persoane, 1196
65-69 ani, Total, Covasna, 63447 ORAS BARAOLT, Anul 2026, Numar persoane, 493
65-69 ani, Total, Covasna, 63526 ORAS COVASNA, Anul 2026, Numar persoane, 682
65-69 ani, Total, Covasna, 63580 ORAS INTORSURA BUZAULUI, Anul 2026, Numar persoane, 508
65-69 ani, Total, Covasna, 63777 AITA MARE, Anul 2026, Numar persoane, 75
65-69 ani, Total, Covasna, 65113 ARCUS, Anul 2026, Numar persoane, 73
65-69 ani, Total, Covasna, 63633 BARCANI, Anul 2026, Numar persoane, 184
65-69 ani, Total, Covasna, 63802 BATANI, Anul 2026, Numar persoane, 178
65-69 ani, Total, Covasna, 63866 BELIN, Anul 2026, Numar persoane, 119
65-69 ani, Total, Covasna, 65121 BIXAD, Anul 2026, Numar persoane, 87
65-69 ani, Total, Covasna, 63893 BODOC, Anul 2026, Numar persoane, 134
65-69 ani, Total, Covasna, 63937 BOROSNEU MARE, Anul 2026, Numar persoane, 110
65-69 ani, Total, Covasna, 64041 BRADUT, Anul 2026, Numar persoane, 216
65-69 ani, Total, Covasna, 64005 BRATES, Anul 2026, Numar persoane, 81
65-69 ani, Total, Covasna, 64096 BRETCU, Anul 2026, Numar persoane, 185
65-69 ani, Total, Covasna, 64130 CATALINA, Anul 2026, Numar persoane, 159
65-69 ani, Total, Covasna, 64194 CERNAT, Anul 2026, Numar persoane, 213
65-69 ani, Total, Covasna, 64238 CHICHIS, Anul 2026, Numar persoane, 81
65-69 ani, Total, Covasna, 63553 COMANDAU, Anul 2026, Numar persoane, 49
65-69 ani, Total, Covasna, 65147 DALNIC, Anul 2026, Numar persoane, 51
65-69 ani, Total, Covasna, 64265 DOBARLAU, Anul 2026, Numar persoane, 143
65-69 ani, Total, Covasna, 65154 ESTELNIC, Anul 2026, Numar persoane, 42
65-69 ani, Total, Covasna, 64318 GHELINTA, Anul 2026, Numar persoane, 223
65-69 ani, Total, Covasna, 64345 GHIDFALAU, Anul 2026, Numar persoane, 136
65-69 ani, Total, Covasna, 64390 HAGHIG, Anul 2026, Numar persoane, 113
65-69 ani, Total, Covasna, 64425 ILIENI, Anul 2026, Numar persoane, 116
65-69 ani, Total, Covasna, 64461 LEMNIA, Anul 2026, Numar persoane, 95
65-69 ani, Total, Covasna, 64504 MALNAS, Anul 2026, Numar persoane, 59
65-69 ani, Total, Covasna, 65105 MERENI, Anul 2026, Numar persoane, 65
65-69 ani, Total, Covasna, 65139 MICFALAU, Anul 2026, Numar persoane, 93
