Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Dambovita, 65342 MUNICIPIUL TARGOVISTE, Anul 2026, Numar persoane, 85122
Total, Total, Dambovita, 65841 MUNICIPIUL MORENI, Anul 2026, Numar persoane, 18026
Total, Total, Dambovita, 65609 ORAS FIENI, Anul 2026, Numar persoane, 6879
Total, Total, Dambovita, 65681 ORAS GAESTI, Anul 2026, Numar persoane, 14040
Total, Total, Dambovita, 65921 ORAS PUCIOASA, Anul 2026, Numar persoane, 13951
Total, Total, Dambovita, 68627 ORAS RACARI, Anul 2026, Numar persoane, 6087
Total, Total, Dambovita, 66081 ORAS TITU, Anul 2026, Numar persoane, 9768
Total, Total, Dambovita, 65379 ANINOASA, Anul 2026, Numar persoane, 6564
Total, Total, Dambovita, 66198 BALENI, Anul 2026, Numar persoane, 8574
Total, Total, Dambovita, 66223 BARBULETU, Anul 2026, Numar persoane, 1937
Total, Total, Dambovita, 66330 BEZDEAD, Anul 2026, Numar persoane, 4027
Total, Total, Dambovita, 66401 BILCIURESTI, Anul 2026, Numar persoane, 1919
Total, Total, Dambovita, 66009 BRANESTI, Anul 2026, Numar persoane, 4008
Total, Total, Dambovita, 66152 BRANISTEA, Anul 2026, Numar persoane, 3792
Total, Total, Dambovita, 101341 BREZOAELE, Anul 2026, Numar persoane, 3345
Total, Total, Dambovita, 66438 BUCIUMENI, Anul 2026, Numar persoane, 4021
Total, Total, Dambovita, 66474 BUCSANI, Anul 2026, Numar persoane, 6450
Total, Total, Dambovita, 101564 BUTIMANU, Anul 2026, Numar persoane, 2311
Total, Total, Dambovita, 66526 CANDESTI, Anul 2026, Numar persoane, 2505
Total, Total, Dambovita, 101840 CIOCANESTI, Anul 2026, Numar persoane, 5246
Total, Total, Dambovita, 66580 COBIA, Anul 2026, Numar persoane, 2815
Total, Total, Dambovita, 66697 COJASCA, Anul 2026, Numar persoane, 9701
Total, Total, Dambovita, 66731 COMISANI, Anul 2026, Numar persoane, 5015
Total, Total, Dambovita, 66768 CONTESTI, Anul 2026, Numar persoane, 4360
Total, Total, Dambovita, 66857 CORBII MARI, Anul 2026, Numar persoane, 8149
Total, Total, Dambovita, 66955 CORNATELU, Anul 2026, Numar persoane, 1339
Total, Total, Dambovita, 67014 CORNESTI, Anul 2026, Numar persoane, 5737
Total, Total, Dambovita, 67121 COSTESTII DIN VALE, Anul 2026, Numar persoane, 3332
Total, Total, Dambovita, 67167 CRANGURILE, Anul 2026, Numar persoane, 3692
Total, Total, Dambovita, 102286 CREVEDIA, Anul 2026, Numar persoane, 6710
Total, Total, Dambovita, 67256 DARMANESTI, Anul 2026, Numar persoane, 4551
Total, Total, Dambovita, 67292 DOBRA, Anul 2026, Numar persoane, 3381
Total, Total, Dambovita, 65413 DOICESTI, Anul 2026, Numar persoane, 4626
Total, Total, Dambovita, 67327 DRAGODANA, Anul 2026, Numar persoane, 6450
Total, Total, Dambovita, 67407 DRAGOMIRESTI, Anul 2026, Numar persoane, 8820
Total, Total, Dambovita, 67470 FINTA, Anul 2026, Numar persoane, 3736
Total, Total, Dambovita, 67522 GLODENI, Anul 2026, Numar persoane, 3848
Total, Total, Dambovita, 65707 GURA FOII, Anul 2026, Numar persoane, 2118
Total, Total, Dambovita, 67595 GURA OCNITEI, Anul 2026, Numar persoane, 6897
Total, Total, Dambovita, 67648 GURA SUTII, Anul 2026, Numar persoane, 5125
Total, Total, Dambovita, 67675 HULUBESTI, Anul 2026, Numar persoane, 3003
Total, Total, Dambovita, 67737 I. L. CARAGIALE, Anul 2026, Numar persoane, 6568
Total, Total, Dambovita, 65869 IEDERA, Anul 2026, Numar persoane, 3787
Total, Total, Dambovita, 67773 LUCIENI, Anul 2026, Numar persoane, 3003
Total, Total, Dambovita, 67835 LUDESTI, Anul 2026, Numar persoane, 5005
Total, Total, Dambovita, 67906 LUNGULETU, Anul 2026, Numar persoane, 5241
Total, Total, Dambovita, 67942 MALU CU FLORI, Anul 2026, Numar persoane, 2021
Total, Total, Dambovita, 68002 MANESTI, Anul 2026, Numar persoane, 5458
Total, Total, Dambovita, 68048 MATASARU, Anul 2026, Numar persoane, 4651
Total, Total, Dambovita, 68128 MOGOSANI, Anul 2026, Numar persoane, 4084
Total, Total, Dambovita, 68182 MOROENI, Anul 2026, Numar persoane, 5005
Total, Total, Dambovita, 68253 MORTENI, Anul 2026, Numar persoane, 2523
Total, Total, Dambovita, 65645 MOTAIENI, Anul 2026, Numar persoane, 1883
Total, Total, Dambovita, 104387 NICULESTI, Anul 2026, Numar persoane, 4247
