Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Dolj, 69900 MUNICIPIUL CRAIOVA, Anul 2026, Numar persoane, 278599
Total, Total, Dolj, 70316 MUNICIPIUL BAILESTI, Anul 2026, Numar persoane, 18450
Total, Total, Dolj, 70352 MUNICIPIUL CALAFAT, Anul 2026, Numar persoane, 16218
Total, Total, Dolj, 70879 ORAS BECHET, Anul 2026, Numar persoane, 4214
Total, Total, Dolj, 72007 ORAS DABULENI, Anul 2026, Numar persoane, 10560
Total, Total, Dolj, 70414 ORAS FILIASI, Anul 2026, Numar persoane, 17157
Total, Total, Dolj, 70502 ORAS SEGARCEA, Anul 2026, Numar persoane, 7654
Total, Total, Dolj, 70520 AFUMATI, Anul 2026, Numar persoane, 2364
Total, Total, Dolj, 70566 ALMAJ, Anul 2026, Numar persoane, 1791
Total, Total, Dolj, 70637 AMARASTII DE JOS, Anul 2026, Numar persoane, 5354
Total, Total, Dolj, 70673 AMARASTII DE SUS, Anul 2026, Numar persoane, 1514
Total, Total, Dolj, 70726 APELE VII, Anul 2026, Numar persoane, 1842
Total, Total, Dolj, 70744 ARGETOAIA, Anul 2026, Numar persoane, 4538
Total, Total, Dolj, 70940 BARCA, Anul 2026, Numar persoane, 4064
Total, Total, Dolj, 70897 BISTRET, Anul 2026, Numar persoane, 4052
Total, Total, Dolj, 70968 BOTOSESTI-PAIA, Anul 2026, Numar persoane, 648
Total, Total, Dolj, 70986 BRABOVA, Anul 2026, Numar persoane, 1052
Total, Total, Dolj, 71055 BRADESTI, Anul 2026, Numar persoane, 4462
Total, Total, Dolj, 71126 BRALOSTITA, Anul 2026, Numar persoane, 3630
Total, Total, Dolj, 71199 BRATOVOESTI, Anul 2026, Numar persoane, 3135
Total, Total, Dolj, 71260 BREASTA, Anul 2026, Numar persoane, 4640
Total, Total, Dolj, 69964 BUCOVAT, Anul 2026, Numar persoane, 4311
Total, Total, Dolj, 71340 BULZESTI, Anul 2026, Numar persoane, 1156
Total, Total, Dolj, 71607 CALARASI, Anul 2026, Numar persoane, 5089
Total, Total, Dolj, 71457 CALOPAR, Anul 2026, Numar persoane, 3926
Total, Total, Dolj, 71518 CARAULA, Anul 2026, Numar persoane, 2527
Total, Total, Dolj, 74859 CARCEA, Anul 2026, Numar persoane, 4317
Total, Total, Dolj, 74867 CARNA, Anul 2026, Numar persoane, 1265
Total, Total, Dolj, 71536 CARPEN, Anul 2026, Numar persoane, 1896
Total, Total, Dolj, 71572 CASTRANOVA, Anul 2026, Numar persoane, 3052
Total, Total, Dolj, 74842 CATANE, Anul 2026, Numar persoane, 2192
Total, Total, Dolj, 71634 CELARU, Anul 2026, Numar persoane, 4081
Total, Total, Dolj, 71698 CERAT, Anul 2026, Numar persoane, 4418
Total, Total, Dolj, 71723 CERNATESTI, Anul 2026, Numar persoane, 1551
Total, Total, Dolj, 71787 CETATE, Anul 2026, Numar persoane, 5009
Total, Total, Dolj, 71812 CIOROIASI, Anul 2026, Numar persoane, 1289
Total, Total, Dolj, 71858 CIUPERCENII NOI, Anul 2026, Numar persoane, 4723
Total, Total, Dolj, 71885 COSOVENI, Anul 2026, Numar persoane, 3440
Total, Total, Dolj, 71910 COTOFENII DIN DOS, Anul 2026, Numar persoane, 2237
Total, Total, Dolj, 74875 COTOFENII DIN FATA, Anul 2026, Numar persoane, 2065
Total, Total, Dolj, 71956 DANETI, Anul 2026, Numar persoane, 5140
Total, Total, Dolj, 72034 DESA, Anul 2026, Numar persoane, 4748
Total, Total, Dolj, 72052 DIOSTI, Anul 2026, Numar persoane, 2596
Total, Total, Dolj, 72098 DOBRESTI, Anul 2026, Numar persoane, 2064
Total, Total, Dolj, 74883 DOBROTESTI, Anul 2026, Numar persoane, 1450
Total, Total, Dolj, 72150 DRAGOTESTI, Anul 2026, Numar persoane, 1901
Total, Total, Dolj, 72221 DRANIC, Anul 2026, Numar persoane, 2134
Total, Total, Dolj, 72276 FARCAS, Anul 2026, Numar persoane, 2010
Total, Total, Dolj, 72383 GALICEA MARE, Anul 2026, Numar persoane, 3804
Total, Total, Dolj, 74891 GALICIUICA, Anul 2026, Numar persoane, 1288
Total, Total, Dolj, 72579 GANGIOVA, Anul 2026, Numar persoane, 2568
Total, Total, Dolj, 72409 GHERCESTI, Anul 2026, Numar persoane, 2077
Total, Total, Dolj, 74907 GHIDICI, Anul 2026, Numar persoane, 2469
Total, Total, Dolj, 74915 GHINDENI, Anul 2026, Numar persoane, 1798
Total, Total, Dolj, 72463 GIGHERA, Anul 2026, Numar persoane, 2722
Total, Total, Dolj, 72506 GIUBEGA, Anul 2026, Numar persoane, 1915
Total, Total, Dolj, 72533 GIURGITA, Anul 2026, Numar persoane, 2801
Total, Total, Dolj, 72604 GOGOSU, Anul 2026, Numar persoane, 438
Total, Total, Dolj, 72640 GOICEA, Anul 2026, Numar persoane, 2347
Total, Total, Dolj, 72677 GOIESTI, Anul 2026, Numar persoane, 3001
Total, Total, Dolj, 72819 GRECESTI, Anul 2026, Numar persoane, 1445
Total, Total, Dolj, 74923 INTORSURA, Anul 2026, Numar persoane, 1379
Total, Total, Dolj, 70094 ISALNITA, Anul 2026, Numar persoane, 4359
Total, Total, Dolj, 72882 IZVOARE, Anul 2026, Numar persoane, 1360
