Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Galati, 75098 MUNICIPIUL GALATI, Anul 2026, Numar persoane, 288873
Total, Total, Galati, 75203 MUNICIPIUL TECUCI, Anul 2026, Numar persoane, 46763
Total, Total, Galati, 75338 ORAS BERESTI, Anul 2026, Numar persoane, 2862
Total, Total, Galati, 75472 ORAS TARGU BUJOR, Anul 2026, Numar persoane, 9855
Total, Total, Galati, 75542 BALABANESTI, Anul 2026, Numar persoane, 1822
Total, Total, Galati, 75613 BALASESTI, Anul 2026, Numar persoane, 2018
Total, Total, Galati, 75668 BALENI, Anul 2026, Numar persoane, 2137
Total, Total, Galati, 75686 BANEASA, Anul 2026, Numar persoane, 1996
Total, Total, Galati, 75515 BARCEA, Anul 2026, Numar persoane, 6422
Total, Total, Galati, 75356 BERESTI-MERIA, Anul 2026, Numar persoane, 3331
Total, Total, Galati, 75766 BRAHASESTI, Anul 2026, Numar persoane, 10009
Total, Total, Galati, 75711 BRANISTEA, Anul 2026, Numar persoane, 4531
Total, Total, Galati, 75819 BUCIUMENI, Anul 2026, Numar persoane, 2236
Total, Total, Galati, 75864 CAVADINESTI, Anul 2026, Numar persoane, 2740
Total, Total, Galati, 75917 CERTESTI, Anul 2026, Numar persoane, 2190
Total, Total, Galati, 76004 CORNI, Anul 2026, Numar persoane, 1949
Total, Total, Galati, 75953 COROD, Anul 2026, Numar persoane, 7156
Total, Total, Galati, 76040 COSMESTI, Anul 2026, Numar persoane, 6294
Total, Total, Galati, 76111 COSTACHE NEGRI, Anul 2026, Numar persoane, 2688
Total, Total, Galati, 76139 CUCA, Anul 2026, Numar persoane, 1908
Total, Total, Galati, 76157 CUDALBI, Anul 2026, Numar persoane, 6961
Total, Total, Galati, 77595 CUZA VODA, Anul 2026, Numar persoane, 2555
Total, Total, Galati, 75221 DRAGANESTI, Anul 2026, Numar persoane, 6608
Total, Total, Galati, 76175 DRAGUSENI, Anul 2026, Numar persoane, 5331
Total, Total, Galati, 76255 FARTANESTI, Anul 2026, Numar persoane, 4756
Total, Total, Galati, 76282 FOLTESTI, Anul 2026, Numar persoane, 2954
Total, Total, Galati, 76317 FRUMUSITA, Anul 2026, Numar persoane, 5134
Total, Total, Galati, 76353 FUNDENI, Anul 2026, Numar persoane, 3536
Total, Total, Galati, 76406 GHIDIGENI, Anul 2026, Numar persoane, 7100
Total, Total, Galati, 76497 GOHOR, Anul 2026, Numar persoane, 3141
