Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Gorj, 77812 MUNICIPIUL TARGU JIU, Anul 2026, Numar persoane, 89104
Total, Total, Gorj, 78141 MUNICIPIUL MOTRU, Anul 2026, Numar persoane, 19148
Total, Total, Gorj, 79308 ORAS BUMBESTI-JIU, Anul 2026, Numar persoane, 8628
Total, Total, Gorj, 78258 ORAS NOVACI, Anul 2026, Numar persoane, 5334
Total, Total, Gorj, 82895 ORAS ROVINARI, Anul 2026, Numar persoane, 12387
Total, Total, Gorj, 78329 ORAS TARGU CARBUNESTI, Anul 2026, Numar persoane, 8243
Total, Total, Gorj, 78454 ORAS TICLENI, Anul 2026, Numar persoane, 4288
Total, Total, Gorj, 82430 ORAS TISMANA, Anul 2026, Numar persoane, 6433
Total, Total, Gorj, 82617 ORAS TURCENI, Anul 2026, Numar persoane, 7583
Total, Total, Gorj, 78472 ALBENI, Anul 2026, Numar persoane, 2636
Total, Total, Gorj, 78542 ALIMPESTI, Anul 2026, Numar persoane, 1654
Total, Total, Gorj, 78604 ANINOASA, Anul 2026, Numar persoane, 3601
Total, Total, Gorj, 78668 ARCANI, Anul 2026, Numar persoane, 1321
Total, Total, Gorj, 78711 BAIA DE FIER, Anul 2026, Numar persoane, 3980
Total, Total, Gorj, 78748 BALANESTI, Anul 2026, Numar persoane, 2009
Total, Total, Gorj, 77910 BALESTI, Anul 2026, Numar persoane, 7587
Total, Total, Gorj, 79004 BALTENI, Anul 2026, Numar persoane, 7161
Total, Total, Gorj, 78828 BARBATESTI, Anul 2026, Numar persoane, 1443
Total, Total, Gorj, 78873 BENGESTI-CIOCADIA, Anul 2026, Numar persoane, 3026
Total, Total, Gorj, 78926 BERLESTI, Anul 2026, Numar persoane, 1846
Total, Total, Gorj, 79077 BOLBOSI, Anul 2026, Numar persoane, 3020
Total, Total, Gorj, 79157 BORASCU, Anul 2026, Numar persoane, 2963
Total, Total, Gorj, 79237 BRANESTI, Anul 2026, Numar persoane, 2179
Total, Total, Gorj, 79362 BUMBESTI-PITIC, Anul 2026, Numar persoane, 1901
Total, Total, Gorj, 79406 BUSTUCHIN, Anul 2026, Numar persoane, 3104
Total, Total, Gorj, 79736 CALNIC, Anul 2026, Numar persoane, 2192
Total, Total, Gorj, 79497 CAPRENI, Anul 2026, Numar persoane, 1803
Total, Total, Gorj, 79585 CATUNELE, Anul 2026, Numar persoane, 2496
Total, Total, Gorj, 79656 CIUPERCENI, Anul 2026, Numar persoane, 1463
Total, Total, Gorj, 79834 CRASNA, Anul 2026, Numar persoane, 4441
Total, Total, Gorj, 79932 CRUSET, Anul 2026, Numar persoane, 3003
Total, Total, Gorj, 80043 DANCIULESTI, Anul 2026, Numar persoane, 1694
Total, Total, Gorj, 80123 DANESTI, Anul 2026, Numar persoane, 3723
Total, Total, Gorj, 80249 DRAGOTESTI, Anul 2026, Numar persoane, 2275
Total, Total, Gorj, 78016 DRAGUTESTI, Anul 2026, Numar persoane, 5005
Total, Total, Gorj, 80285 FARCASESTI, Anul 2026, Numar persoane, 2950
Total, Total, Gorj, 80365 GLOGOVA, Anul 2026, Numar persoane, 1802
