Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2026, Numar persoane, 63068
Total, Total, Hunedoara, 87291 MUNICIPIUL BRAD, Anul 2026, Numar persoane, 14001
Total, Total, Hunedoara, 86810 MUNICIPIUL HUNEDOARA, Anul 2026, Numar persoane, 65705
Total, Total, Hunedoara, 87059 MUNICIPIUL LUPENI, Anul 2026, Numar persoane, 23296
Total, Total, Hunedoara, 87638 MUNICIPIUL ORASTIE, Anul 2026, Numar persoane, 20021
Total, Total, Hunedoara, 86990 MUNICIPIUL PETROSANI, Anul 2026, Numar persoane, 36932
Total, Total, Hunedoara, 87175 MUNICIPIUL VULCAN, Anul 2026, Numar persoane, 25150
Total, Total, Hunedoara, 87219 ORAS ANINOASA, Anul 2026, Numar persoane, 4065
Total, Total, Hunedoara, 87424 ORAS CALAN, Anul 2026, Numar persoane, 12202
Total, Total, Hunedoara, 89561 ORAS GEOAGIU, Anul 2026, Numar persoane, 5642
Total, Total, Hunedoara, 87576 ORAS HATEG, Anul 2026, Numar persoane, 10149
Total, Total, Hunedoara, 87077 ORAS PETRILA, Anul 2026, Numar persoane, 21846
Total, Total, Hunedoara, 87665 ORAS SIMERIA, Anul 2026, Numar persoane, 12925
Total, Total, Hunedoara, 87139 ORAS URICANI, Anul 2026, Numar persoane, 8426
Total, Total, Hunedoara, 88047 BACIA, Anul 2026, Numar persoane, 1835
Total, Total, Hunedoara, 87745 BAIA DE CRIS, Anul 2026, Numar persoane, 2215
Total, Total, Hunedoara, 88092 BAITA, Anul 2026, Numar persoane, 3190
Total, Total, Hunedoara, 87843 BALSA, Anul 2026, Numar persoane, 797
Total, Total, Hunedoara, 87246 BANITA, Anul 2026, Numar persoane, 1237
Total, Total, Hunedoara, 87996 BARU, Anul 2026, Numar persoane, 2715
Total, Total, Hunedoara, 88216 BATRANA, Anul 2026, Numar persoane, 109
Total, Total, Hunedoara, 88261 BERIU, Anul 2026, Numar persoane, 3703
Total, Total, Hunedoara, 88350 BLAJENI, Anul 2026, Numar persoane, 960
Total, Total, Hunedoara, 88449 BOSOROD, Anul 2026, Numar persoane, 1767
Total, Total, Hunedoara, 88546 BRANISCA, Anul 2026, Numar persoane, 1448
Total, Total, Hunedoara, 88644 BRETEA ROMANA, Anul 2026, Numar persoane, 2705
Total, Total, Hunedoara, 88788 BUCES, Anul 2026, Numar persoane, 1707
Total, Total, Hunedoara, 88868 BUCURESCI, Anul 2026, Numar persoane, 1351
Total, Total, Hunedoara, 88920 BULZESTII DE SUS, Anul 2026, Numar persoane, 319
Total, Total, Hunedoara, 89026 BUNILA, Anul 2026, Numar persoane, 309
Total, Total, Hunedoara, 89080 BURJUC, Anul 2026, Numar persoane, 737
Total, Total, Hunedoara, 86749 CARJITI, Anul 2026, Numar persoane, 733
Total, Total, Hunedoara, 89151 CERBAL, Anul 2026, Numar persoane, 388
Total, Total, Hunedoara, 89240 CERTEJU DE SUS, Anul 2026, Numar persoane, 2810
Total, Total, Hunedoara, 87362 CRISCIOR, Anul 2026, Numar persoane, 3540
Total, Total, Hunedoara, 89348 DENSUS, Anul 2026, Numar persoane, 1391
Total, Total, Hunedoara, 89428 DOBRA, Anul 2026, Numar persoane, 3199
Total, Total, Hunedoara, 91731 GENERAL BERTHELOT, Anul 2026, Numar persoane, 941
Total, Total, Hunedoara, 86883 GHELARI, Anul 2026, Numar persoane, 1826
Total, Total, Hunedoara, 89687 GURASADA, Anul 2026, Numar persoane, 1277
Total, Total, Hunedoara, 89801 HARAU, Anul 2026, Numar persoane, 2099
Total, Total, Hunedoara, 89856 ILIA, Anul 2026, Numar persoane, 3356
Total, Total, Hunedoara, 89954 LAPUGIU DE JOS, Anul 2026, Numar persoane, 1403
Total, Total, Hunedoara, 90066 LELESE, Anul 2026, Numar persoane, 327
Total, Total, Hunedoara, 90119 LUNCA CERNII DE JOS, Anul 2026, Numar persoane, 776
Total, Total, Hunedoara, 90208 LUNCOIU DE JOS, Anul 2026, Numar persoane, 1630
Total, Total, Hunedoara, 90262 MARTINESTI, Anul 2026, Numar persoane, 1008
Total, Total, Hunedoara, 90342 ORASTIOARA DE SUS, Anul 2026, Numar persoane, 2086
Total, Total, Hunedoara, 90431 PESTISU MIC, Anul 2026, Numar persoane, 1225
Total, Total, Hunedoara, 90538 PUI, Anul 2026, Numar persoane, 3931
Total, Total, Hunedoara, 90725 RACHITOVA, Anul 2026, Numar persoane, 1175
Total, Total, Hunedoara, 90663 RAPOLTU MARE, Anul 2026, Numar persoane, 1891
Total, Total, Hunedoara, 90878 RAU DE MORI, Anul 2026, Numar persoane, 3101
Total, Total, Hunedoara, 90805 RIBITA, Anul 2026, Numar persoane, 1138
Total, Total, Hunedoara, 90994 ROMOS, Anul 2026, Numar persoane, 2696
Total, Total, Hunedoara, 91116 SALASU DE SUS, Anul 2026, Numar persoane, 2086
Total, Total, Hunedoara, 91232 SANTAMARIA-ORLEA, Anul 2026, Numar persoane, 3003
Total, Total, Hunedoara, 91054 SARMIZEGETUSA, Anul 2026, Numar persoane, 1071
Total, Total, Hunedoara, 91330 SOIMUS, Anul 2026, Numar persoane, 3510
Total, Total, Hunedoara, 86936 TELIUCU INFERIOR, Anul 2026, Numar persoane, 2414
Total, Total, Hunedoara, 91447 TOMESTI, Anul 2026, Numar persoane, 1001
Total, Total, Hunedoara, 91535 TOPLITA, Anul 2026, Numar persoane, 703
Total, Total, Hunedoara, 91624 TOTESTI, Anul 2026, Numar persoane, 1872
Total, Total, Hunedoara, 91688 TURDAS, Anul 2026, Numar persoane, 2178
Total, Total, Hunedoara, 91937 VALISOARA, Anul 2026, Numar persoane, 1061
Total, Total, Hunedoara, 91795 VATA DE JOS, Anul 2026, Numar persoane, 3202
Total, Total, Hunedoara, 91982 VETEL, Anul 2026, Numar persoane, 2898
Total, Total, Hunedoara, 92097 VORTA, Anul 2026, Numar persoane, 683
Total, Total, Hunedoara, 92177 ZAM, Anul 2026, Numar persoane, 1502
65-69 ani, Total, Hunedoara, 86687 MUNICIPIUL DEVA, Anul 2026, Numar persoane, 4196
65-69 ani, Total, Hunedoara, 87291 MUNICIPIUL BRAD, Anul 2026, Numar persoane, 936
65-69 ani, Total, Hunedoara, 86810 MUNICIPIUL HUNEDOARA, Anul 2026, Numar persoane, 4137
65-69 ani, Total, Hunedoara, 87059 MUNICIPIUL LUPENI, Anul 2026, Numar persoane, 1436
65-69 ani, Total, Hunedoara, 87638 MUNICIPIUL ORASTIE, Anul 2026, Numar persoane, 1417
65-69 ani, Total, Hunedoara, 86990 MUNICIPIUL PETROSANI, Anul 2026, Numar persoane, 2395
65-69 ani, Total, Hunedoara, 87175 MUNICIPIUL VULCAN, Anul 2026, Numar persoane, 1335
65-69 ani, Total, Hunedoara, 87219 ORAS ANINOASA, Anul 2026, Numar persoane, 222
65-69 ani, Total, Hunedoara, 87424 ORAS CALAN, Anul 2026, Numar persoane, 837
65-69 ani, Total, Hunedoara, 89561 ORAS GEOAGIU, Anul 2026, Numar persoane, 340
65-69 ani, Total, Hunedoara, 87576 ORAS HATEG, Anul 2026, Numar persoane, 722
65-69 ani, Total, Hunedoara, 87077 ORAS PETRILA, Anul 2026, Numar persoane, 1221
65-69 ani, Total, Hunedoara, 87665 ORAS SIMERIA, Anul 2026, Numar persoane, 831
65-69 ani, Total, Hunedoara, 87139 ORAS URICANI, Anul 2026, Numar persoane, 509
65-69 ani, Total, Hunedoara, 88047 BACIA, Anul 2026, Numar persoane, 114
65-69 ani, Total, Hunedoara, 87745 BAIA DE CRIS, Anul 2026, Numar persoane, 150
65-69 ani, Total, Hunedoara, 88092 BAITA, Anul 2026, Numar persoane, 206
65-69 ani, Total, Hunedoara, 87843 BALSA, Anul 2026, Numar persoane, 47
65-69 ani, Total, Hunedoara, 87246 BANITA, Anul 2026, Numar persoane, 82
65-69 ani, Total, Hunedoara, 87996 BARU, Anul 2026, Numar persoane, 172
65-69 ani, Total, Hunedoara, 88216 BATRANA, Anul 2026, Numar persoane, 10
65-69 ani, Total, Hunedoara, 88261 BERIU, Anul 2026, Numar persoane, 227
65-69 ani, Total, Hunedoara, 88350 BLAJENI, Anul 2026, Numar persoane, 78
65-69 ani, Total, Hunedoara, 88449 BOSOROD, Anul 2026, Numar persoane, 127
