Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Ialomita, 92658 MUNICIPIUL SLOBOZIA, Anul 2026, Numar persoane, 47366
Total, Total, Ialomita, 92701 MUNICIPIUL FETESTI, Anul 2026, Numar persoane, 32407
Total, Total, Ialomita, 100683 MUNICIPIUL URZICENI, Anul 2026, Numar persoane, 15499
Total, Total, Ialomita, 92836 ORAS AMARA, Anul 2026, Numar persoane, 7916
Total, Total, Ialomita, 93067 ORAS CAZANESTI, Anul 2026, Numar persoane, 3305
Total, Total, Ialomita, 102749 ORAS FIERBINTI-TARG, Anul 2026, Numar persoane, 4264
Total, Total, Ialomita, 92765 ORAS TANDAREI, Anul 2026, Numar persoane, 18091
Total, Total, Ialomita, 100754 ADANCATA, Anul 2026, Numar persoane, 2191
Total, Total, Ialomita, 92783 ALBESTI, Anul 2026, Numar persoane, 1096
Total, Total, Ialomita, 100852 ALEXENI, Anul 2026, Numar persoane, 2251
Total, Total, Ialomita, 92872 ANDRASESTI, Anul 2026, Numar persoane, 2032
Total, Total, Ialomita, 100870 ARMASESTI, Anul 2026, Numar persoane, 1937
Total, Total, Ialomita, 100923 AXINTELE, Anul 2026, Numar persoane, 2126
Total, Total, Ialomita, 92907 BALACIU, Anul 2026, Numar persoane, 1327
Total, Total, Ialomita, 180064 BARBULESTI, Anul 2026, Numar persoane, 9215
Total, Total, Ialomita, 101056 BARCANESTI, Anul 2026, Numar persoane, 3469
Total, Total, Ialomita, 179784 BORANESTI, Anul 2026, Numar persoane, 2511
Total, Total, Ialomita, 92989 BORDUSANI, Anul 2026, Numar persoane, 4710
Total, Total, Ialomita, 93021 BUCU, Anul 2026, Numar persoane, 2376
Total, Total, Ialomita, 179793 BUESTI, Anul 2026, Numar persoane, 912
Total, Total, Ialomita, 100709 CIOCARLIA, Anul 2026, Numar persoane, 720
Total, Total, Ialomita, 93101 CIOCHINA, Anul 2026, Numar persoane, 2806
Total, Total, Ialomita, 93156 CIULNITA, Anul 2026, Numar persoane, 2427
Total, Total, Ialomita, 93209 COCORA, Anul 2026, Numar persoane, 1889
Total, Total, Ialomita, 179971 COLELIA, Anul 2026, Numar persoane, 991
Total, Total, Ialomita, 93236 COSAMBESTI, Anul 2026, Numar persoane, 1830
Total, Total, Ialomita, 102240 COSERENI, Anul 2026, Numar persoane, 4096
Total, Total, Ialomita, 102641 DRAGOESTI, Anul 2026, Numar persoane, 893
