Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Iasi, 95060 MUNICIPIUL IASI, Anul 2026, Numar persoane, 370437
Total, Total, Iasi, 95391 MUNICIPIUL PASCANI, Anul 2026, Numar persoane, 43302
Total, Total, Iasi, 95355 ORAS HARLAU, Anul 2026, Numar persoane, 16230
Total, Total, Iasi, 98373 ORAS PODU ILOAIEI, Anul 2026, Numar persoane, 11971
Total, Total, Iasi, 95471 ORAS TARGU FRUMOS, Anul 2026, Numar persoane, 13463
Total, Total, Iasi, 95612 ALEXANDRU I. CUZA, Anul 2026, Numar persoane, 2726
Total, Total, Iasi, 95667 ANDRIESENI, Anul 2026, Numar persoane, 3764
Total, Total, Iasi, 95747 ARONEANU, Anul 2026, Numar persoane, 5166
Total, Total, Iasi, 100273 BALS, Anul 2026, Numar persoane, 3574
Total, Total, Iasi, 95792 BALTATI, Anul 2026, Numar persoane, 5504
Total, Total, Iasi, 95088 BARNOVA, Anul 2026, Numar persoane, 10208
Total, Total, Iasi, 95872 BELCESTI, Anul 2026, Numar persoane, 10323
Total, Total, Iasi, 95943 BIVOLARI, Anul 2026, Numar persoane, 3880
Total, Total, Iasi, 96058 BRAESTI, Anul 2026, Numar persoane, 3073
Total, Total, Iasi, 96110 BUTEA, Anul 2026, Numar persoane, 4092
Total, Total, Iasi, 96147 CEPLENITA, Anul 2026, Numar persoane, 4513
Total, Total, Iasi, 100362 CIOHORANI, Anul 2026, Numar persoane, 1881
Total, Total, Iasi, 96192 CIORTESTI, Anul 2026, Numar persoane, 3907
Total, Total, Iasi, 96254 CIUREA, Anul 2026, Numar persoane, 21654
Total, Total, Iasi, 96334 COARNELE CAPREI, Anul 2026, Numar persoane, 2794
Total, Total, Iasi, 96370 COMARNA, Anul 2026, Numar persoane, 5005
Total, Total, Iasi, 100282 COSTESTI, Anul 2026, Numar persoane, 1754
Total, Total, Iasi, 96423 COSTULENI, Anul 2026, Numar persoane, 7550
Total, Total, Iasi, 96478 COTNARI, Anul 2026, Numar persoane, 7082
Total, Total, Iasi, 96593 COZMESTI, Anul 2026, Numar persoane, 6068
Total, Total, Iasi, 96637 CRISTESTI, Anul 2026, Numar persoane, 3840
Total, Total, Iasi, 96664 CUCUTENI, Anul 2026, Numar persoane, 1327
Total, Total, Iasi, 96717 DAGATA, Anul 2026, Numar persoane, 4464
Total, Total, Iasi, 96815 DELENI, Anul 2026, Numar persoane, 9789
Total, Total, Iasi, 96888 DOBROVAT, Anul 2026, Numar persoane, 2152
Total, Total, Iasi, 96904 DOLHESTI, Anul 2026, Numar persoane, 2815
Total, Total, Iasi, 100308 DRAGUSENI, Anul 2026, Numar persoane, 1421
Total, Total, Iasi, 96940 DUMESTI, Anul 2026, Numar persoane, 4921
Total, Total, Iasi, 97009 ERBICENI, Anul 2026, Numar persoane, 5679
Total, Total, Iasi, 100317 FANTANELE, Anul 2026, Numar persoane, 2042
Total, Total, Iasi, 97063 FOCURI, Anul 2026, Numar persoane, 3795
Total, Total, Iasi, 97090 GOLAIESTI, Anul 2026, Numar persoane, 3923
Total, Total, Iasi, 97189 GORBAN, Anul 2026, Numar persoane, 3147
Total, Total, Iasi, 97241 GRAJDURI, Anul 2026, Numar persoane, 6040
Total, Total, Iasi, 97321 GROPNITA, Anul 2026, Numar persoane, 3225
Total, Total, Iasi, 97394 GROZESTI, Anul 2026, Numar persoane, 2369
Total, Total, Iasi, 97438 HALAUCESTI, Anul 2026, Numar persoane, 5481
Total, Total, Iasi, 100326 HARMANESTI, Anul 2026, Numar persoane, 2610
Total, Total, Iasi, 97465 HELESTENI, Anul 2026, Numar persoane, 2392
Total, Total, Iasi, 95159 HOLBOCA, Anul 2026, Numar persoane, 16381
Total, Total, Iasi, 97517 HORLESTI, Anul 2026, Numar persoane, 3003
Total, Total, Iasi, 95499 ION NECULCE, Anul 2026, Numar persoane, 5792
Total, Total, Iasi, 97553 IPATELE, Anul 2026, Numar persoane, 1594
Total, Total, Iasi, 97606 LESPEZI, Anul 2026, Numar persoane, 5965
Total, Total, Iasi, 97679 LETCANI, Anul 2026, Numar persoane, 8204
Total, Total, Iasi, 97722 LUNGANI, Anul 2026, Numar persoane, 6723
Total, Total, Iasi, 97777 MADARJAC, Anul 2026, Numar persoane, 1596
Total, Total, Iasi, 97811 MIRCESTI, Anul 2026, Numar persoane, 3692
Total, Total, Iasi, 97875 MIRONEASA, Anul 2026, Numar persoane, 5005
Total, Total, Iasi, 97919 MIROSLAVA, Anul 2026, Numar persoane, 35792
Total, Total, Iasi, 98051 MIROSLOVESTI, Anul 2026, Numar persoane, 4015
