Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Olt, 125347 MUNICIPIUL SLATINA, Anul 2026, Numar persoane, 76456
Total, Total, Olt, 125472 MUNICIPIUL CARACAL, Anul 2026, Numar persoane, 31024
Total, Total, Olt, 125418 ORAS BALS, Anul 2026, Numar persoane, 19018
Total, Total, Olt, 125542 ORAS CORABIA, Anul 2026, Numar persoane, 15704
Total, Total, Olt, 125622 ORAS DRAGANESTI-OLT, Anul 2026, Numar persoane, 11092
Total, Total, Olt, 128105 ORAS PIATRA-OLT, Anul 2026, Numar persoane, 6225
Total, Total, Olt, 128374 ORAS POTCOAVA, Anul 2026, Numar persoane, 5412
Total, Total, Olt, 128711 ORAS SCORNICESTI, Anul 2026, Numar persoane, 11139
Total, Total, Olt, 125659 BABICIU, Anul 2026, Numar persoane, 1910
Total, Total, Olt, 125677 BALDOVINESTI, Anul 2026, Numar persoane, 988
Total, Total, Olt, 130286 BALTENI, Anul 2026, Numar persoane, 1518
Total, Total, Olt, 125757 BARASTI, Anul 2026, Numar persoane, 1130
Total, Total, Olt, 125846 BARZA, Anul 2026, Numar persoane, 2481
Total, Total, Olt, 125873 BOBICESTI, Anul 2026, Numar persoane, 3009
Total, Total, Olt, 126022 BRANCOVENI, Anul 2026, Numar persoane, 2378
Total, Total, Olt, 125962 BRASTAVATU, Anul 2026, Numar persoane, 3804
Total, Total, Olt, 125999 BREBENI, Anul 2026, Numar persoane, 2577
Total, Total, Olt, 126077 BUCINISU, Anul 2026, Numar persoane, 1735
Total, Total, Olt, 130295 CALUI, Anul 2026, Numar persoane, 1336
Total, Total, Olt, 126166 CARLOGANI, Anul 2026, Numar persoane, 2030
Total, Total, Olt, 126102 CEZIENI, Anul 2026, Numar persoane, 1502
Total, Total, Olt, 126148 CILIENI, Anul 2026, Numar persoane, 2812
Total, Total, Olt, 126228 COLONESTI, Anul 2026, Numar persoane, 1433
Total, Total, Olt, 126326 CORBU, Anul 2026, Numar persoane, 2092
Total, Total, Olt, 126380 COTEANA, Anul 2026, Numar persoane, 1912
Total, Total, Olt, 126406 CRAMPOIA, Anul 2026, Numar persoane, 3220
Total, Total, Olt, 126503 CUNGREA, Anul 2026, Numar persoane, 1622
Total, Total, Olt, 126433 CURTISOARA, Anul 2026, Numar persoane, 4319
Total, Total, Olt, 126585 DANEASA, Anul 2026, Numar persoane, 3178
Total, Total, Olt, 126647 DEVESELU, Anul 2026, Numar persoane, 2963
Total, Total, Olt, 126674 DOBRETU, Anul 2026, Numar persoane, 1080
Total, Total, Olt, 126718 DOBROSLOVENI, Anul 2026, Numar persoane, 3542
Total, Total, Olt, 126772 DOBROTEASA, Anul 2026, Numar persoane, 1414
Total, Total, Olt, 126825 DOBRUN, Anul 2026, Numar persoane, 1380
Total, Total, Olt, 125490 DRAGHICENI, Anul 2026, Numar persoane, 1763
Total, Total, Olt, 126905 FAGETELU, Anul 2026, Numar persoane, 742
Total, Total, Olt, 126978 FALCOIU, Anul 2026, Numar persoane, 3543
Total, Total, Olt, 127019 FARCASELE, Anul 2026, Numar persoane, 4419
Total, Total, Olt, 127064 GANEASA, Anul 2026, Numar persoane, 3432
Total, Total, Olt, 125588 GARCOV, Anul 2026, Numar persoane, 2037
Total, Total, Olt, 130302 GAVANESTI, Anul 2026, Numar persoane, 1718
Total, Total, Olt, 130311 GHIMPETENI, Anul 2026, Numar persoane, 1273
Total, Total, Olt, 127126 GIUVARASTI, Anul 2026, Numar persoane, 1908
Total, Total, Olt, 127144 GOSTAVATU, Anul 2026, Numar persoane, 2508
Total, Total, Olt, 127171 GRADINARI, Anul 2026, Numar persoane, 2471
Total, Total, Olt, 130320 GRADINILE, Anul 2026, Numar persoane, 1350
Total, Total, Olt, 127224 GROJDIBODU, Anul 2026, Numar persoane, 2304
