Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2026, Numar persoane, 110409
Total, Total, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2026, Numar persoane, 22848
Total, Total, Satu Mare, 136848 ORAS ARDUD, Anul 2026, Numar persoane, 7472
Total, Total, Satu Mare, 138039 ORAS LIVADA, Anul 2026, Numar persoane, 7138
Total, Total, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2026, Numar persoane, 16175
Total, Total, Satu Mare, 136642 ORAS TASNAD, Anul 2026, Numar persoane, 8840
Total, Total, Satu Mare, 136713 ACAS, Anul 2026, Numar persoane, 3109
Total, Total, Satu Mare, 179873 AGRIS, Anul 2026, Numar persoane, 2097
Total, Total, Satu Mare, 136768 ANDRID, Anul 2026, Numar persoane, 2655
Total, Total, Satu Mare, 136802 APA, Anul 2026, Numar persoane, 2718
Total, Total, Satu Mare, 137103 BARSAU, Anul 2026, Numar persoane, 2146
Total, Total, Satu Mare, 136919 BATARCI, Anul 2026, Numar persoane, 3689
Total, Total, Satu Mare, 136964 BELTIUG, Anul 2026, Numar persoane, 3383
Total, Total, Satu Mare, 137032 BERVENI, Anul 2026, Numar persoane, 3442
Total, Total, Satu Mare, 137069 BIXAD, Anul 2026, Numar persoane, 7532
Total, Total, Satu Mare, 137130 BOGDAND, Anul 2026, Numar persoane, 2581
Total, Total, Satu Mare, 137185 BOTIZ, Anul 2026, Numar persoane, 4182
Total, Total, Satu Mare, 137229 CALINESTI-OAS, Anul 2026, Numar persoane, 5179
Total, Total, Satu Mare, 137274 CAMARZANA, Anul 2026, Numar persoane, 2278
Total, Total, Satu Mare, 179677 CAMIN, Anul 2026, Numar persoane, 1336
Total, Total, Satu Mare, 136553 CAPLENI, Anul 2026, Numar persoane, 3139
Total, Total, Satu Mare, 137292 CAUAS, Anul 2026, Numar persoane, 2430
Total, Total, Satu Mare, 137363 CEHAL, Anul 2026, Numar persoane, 1366
Total, Total, Satu Mare, 137407 CERTEZE, Anul 2026, Numar persoane, 5844
Total, Total, Satu Mare, 179882 CIUMESTI, Anul 2026, Numar persoane, 1297
Total, Total, Satu Mare, 137443 CRAIDOROLT, Anul 2026, Numar persoane, 2125
Total, Total, Satu Mare, 137504 CRUCISOR, Anul 2026, Numar persoane, 2519
Total, Total, Satu Mare, 137540 CULCIU, Anul 2026, Numar persoane, 3949
Total, Total, Satu Mare, 137611 DOBA, Anul 2026, Numar persoane, 3022
Total, Total, Satu Mare, 137675 DOROLT, Anul 2026, Numar persoane, 4157
Total, Total, Satu Mare, 137728 FOIENI, Anul 2026, Numar persoane, 1897
Total, Total, Satu Mare, 137746 GHERTA MICA, Anul 2026, Numar persoane, 3854
Total, Total, Satu Mare, 137764 HALMEU, Anul 2026, Numar persoane, 5164
Total, Total, Satu Mare, 137844 HODOD, Anul 2026, Numar persoane, 2910
Total, Total, Satu Mare, 137899 HOMOROADE, Anul 2026, Numar persoane, 1728
Total, Total, Satu Mare, 137960 LAZURI, Anul 2026, Numar persoane, 6587
Total, Total, Satu Mare, 138084 MEDIESU AURIT, Anul 2026, Numar persoane, 6683
Total, Total, Satu Mare, 138164 MICULA, Anul 2026, Numar persoane, 4188
Total, Total, Satu Mare, 138208 MOFTIN, Anul 2026, Numar persoane, 4372
Total, Total, Satu Mare, 138280 ODOREU, Anul 2026, Numar persoane, 7024
Total, Total, Satu Mare, 138351 ORASU NOU, Anul 2026, Numar persoane, 3522
Total, Total, Satu Mare, 138431 PAULESTI, Anul 2026, Numar persoane, 6690
Total, Total, Satu Mare, 138501 PETRESTI, Anul 2026, Numar persoane, 1873
Total, Total, Satu Mare, 138538 PIR, Anul 2026, Numar persoane, 1520
Total, Total, Satu Mare, 138574 PISCOLT, Anul 2026, Numar persoane, 3003
Total, Total, Satu Mare, 138618 POMI, Anul 2026, Numar persoane, 1977
Total, Total, Satu Mare, 180028 PORUMBESTI, Anul 2026, Numar persoane, 2550
Total, Total, Satu Mare, 180091 RACSA, Anul 2026, Numar persoane, 3003
Total, Total, Satu Mare, 138770 SACASENI, Anul 2026, Numar persoane, 1165
Total, Total, Satu Mare, 138663 SANISLAU, Anul 2026, Numar persoane, 3679
Total, Total, Satu Mare, 138734 SANTAU, Anul 2026, Numar persoane, 2481
Total, Total, Satu Mare, 138805 SAUCA, Anul 2026, Numar persoane, 1614
Total, Total, Satu Mare, 138869 SOCOND, Anul 2026, Numar persoane, 3122
Total, Total, Satu Mare, 138921 SUPUR, Anul 2026, Numar persoane, 4002
Total, Total, Satu Mare, 139009 TARNA MARE, Anul 2026, Numar persoane, 3821
Total, Total, Satu Mare, 139143 TARSOLT, Anul 2026, Numar persoane, 3141
Total, Total, Satu Mare, 139054 TEREBESTI, Anul 2026, Numar persoane, 2101
Total, Total, Satu Mare, 139107 TIREAM, Anul 2026, Numar persoane, 2375
Total, Total, Satu Mare, 139170 TURT, Anul 2026, Numar persoane, 8344
Total, Total, Satu Mare, 139214 TURULUNG, Anul 2026, Numar persoane, 4321
Total, Total, Satu Mare, 139250 URZICENI, Anul 2026, Numar persoane, 1461
Total, Total, Satu Mare, 139287 VALEA VINULUI, Anul 2026, Numar persoane, 1845
Total, Total, Satu Mare, 139330 VAMA, Anul 2026, Numar persoane, 4087
Total, Total, Satu Mare, 139358 VETIS, Anul 2026, Numar persoane, 6101
Total, Total, Satu Mare, 139394 VIILE SATU MARE, Anul 2026, Numar persoane, 4114
65-69 ani, Total, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2026, Numar persoane, 7710
65-69 ani, Total, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2026, Numar persoane, 1650
65-69 ani, Total, Satu Mare, 136848 ORAS ARDUD, Anul 2026, Numar persoane, 348
65-69 ani, Total, Satu Mare, 138039 ORAS LIVADA, Anul 2026, Numar persoane, 296
65-69 ani, Total, Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2026, Numar persoane, 1010
65-69 ani, Total, Satu Mare, 136642 ORAS TASNAD, Anul 2026, Numar persoane, 548
65-69 ani, Total, Satu Mare, 136713 ACAS, Anul 2026, Numar persoane, 103
65-69 ani, Total, Satu Mare, 179873 AGRIS, Anul 2026, Numar persoane, 79
65-69 ani, Total, Satu Mare, 136768 ANDRID, Anul 2026, Numar persoane, 111
65-69 ani, Total, Satu Mare, 136802 APA, Anul 2026, Numar persoane, 128
65-69 ani, Total, Satu Mare, 137103 BARSAU, Anul 2026, Numar persoane, 113
65-69 ani, Total, Satu Mare, 136919 BATARCI, Anul 2026, Numar persoane, 128
65-69 ani, Total, Satu Mare, 136964 BELTIUG, Anul 2026, Numar persoane, 140
65-69 ani, Total, Satu Mare, 137032 BERVENI, Anul 2026, Numar persoane, 173
65-69 ani, Total, Satu Mare, 137069 BIXAD, Anul 2026, Numar persoane, 354
65-69 ani, Total, Satu Mare, 137130 BOGDAND, Anul 2026, Numar persoane, 105
65-69 ani, Total, Satu Mare, 137185 BOTIZ, Anul 2026, Numar persoane, 170
65-69 ani, Total, Satu Mare, 137229 CALINESTI-OAS, Anul 2026, Numar persoane, 249
65-69 ani, Total, Satu Mare, 137274 CAMARZANA, Anul 2026, Numar persoane, 100
65-69 ani, Total, Satu Mare, 179677 CAMIN, Anul 2026, Numar persoane, 74
65-69 ani, Total, Satu Mare, 136553 CAPLENI, Anul 2026, Numar persoane, 197
65-69 ani, Total, Satu Mare, 137292 CAUAS, Anul 2026, Numar persoane, 118
65-69 ani, Total, Satu Mare, 137363 CEHAL, Anul 2026, Numar persoane, 80
65-69 ani, Total, Satu Mare, 137407 CERTEZE, Anul 2026, Numar persoane, 339
65-69 ani, Total, Satu Mare, 179882 CIUMESTI, Anul 2026, Numar persoane, 64
65-69 ani, Total, Satu Mare, 137443 CRAIDOROLT, Anul 2026, Numar persoane, 68
65-69 ani, Total, Satu Mare, 137504 CRUCISOR, Anul 2026, Numar persoane, 145
