Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Suceava, 146263 MUNICIPIUL SUCEAVA, Anul 2026, Numar persoane, 115336
Total, Total, Suceava, 146502 MUNICIPIUL CAMPULUNG MOLDOVENESC, Anul 2026, Numar persoane, 22043
Total, Total, Suceava, 146539 MUNICIPIUL FALTICENI, Anul 2026, Numar persoane, 29320
Total, Total, Suceava, 146628 MUNICIPIUL RADAUTI, Anul 2026, Numar persoane, 35343
Total, Total, Suceava, 146744 MUNICIPIUL VATRA DORNEI, Anul 2026, Numar persoane, 15303
Total, Total, Suceava, 147358 ORAS BROSTENI, Anul 2026, Numar persoane, 6000
Total, Total, Suceava, 147633 ORAS CAJVANA, Anul 2026, Numar persoane, 10577
Total, Total, Suceava, 148006 ORAS DOLHASCA, Anul 2026, Numar persoane, 11260
Total, Total, Suceava, 148612 ORAS FRASIN, Anul 2026, Numar persoane, 6464
Total, Total, Suceava, 146584 ORAS GURA HUMORULUI, Anul 2026, Numar persoane, 17369
Total, Total, Suceava, 149227 ORAS LITENI, Anul 2026, Numar persoane, 10090
Total, Total, Suceava, 146931 ORAS MILISAUTI, Anul 2026, Numar persoane, 5451
Total, Total, Suceava, 146370 ORAS SALCEA, Anul 2026, Numar persoane, 11593
Total, Total, Suceava, 146655 ORAS SIRET, Anul 2026, Numar persoane, 9157
Total, Total, Suceava, 146708 ORAS SOLCA, Anul 2026, Numar persoane, 2621
Total, Total, Suceava, 151095 ORAS VICOVU DE SUS, Anul 2026, Numar persoane, 17842
Total, Total, Suceava, 146799 ADANCATA, Anul 2026, Numar persoane, 4269
Total, Total, Suceava, 146860 ARBORE, Anul 2026, Numar persoane, 8403
Total, Total, Suceava, 146904 BAIA, Anul 2026, Numar persoane, 7669
Total, Total, Suceava, 151530 BALACEANA, Anul 2026, Numar persoane, 1407
Total, Total, Suceava, 146995 BALCAUTI, Anul 2026, Numar persoane, 3177
Total, Total, Suceava, 151576 BERCHISESTI, Anul 2026, Numar persoane, 3390
Total, Total, Suceava, 147036 BILCA, Anul 2026, Numar persoane, 4102
Total, Total, Suceava, 147054 BOGDANESTI, Anul 2026, Numar persoane, 4094
Total, Total, Suceava, 147072 BOROAIA, Anul 2026, Numar persoane, 4619
Total, Total, Suceava, 147134 BOSANCI, Anul 2026, Numar persoane, 8069
Total, Total, Suceava, 147161 BOTOSANA, Anul 2026, Numar persoane, 2740
Total, Total, Suceava, 147205 BREAZA, Anul 2026, Numar persoane, 1438
Total, Total, Suceava, 147241 BRODINA, Anul 2026, Numar persoane, 3961
Total, Total, Suceava, 147465 BUNESTI, Anul 2026, Numar persoane, 2836
Total, Total, Suceava, 151521 BURLA, Anul 2026, Numar persoane, 2634
Total, Total, Suceava, 147526 CACICA, Anul 2026, Numar persoane, 4257
Total, Total, Suceava, 147580 CALAFINDESTI, Anul 2026, Numar persoane, 3003
Total, Total, Suceava, 151503 CAPU CAMPULUI, Anul 2026, Numar persoane, 2508
Total, Total, Suceava, 147713 CARLIBABA, Anul 2026, Numar persoane, 1930
Total, Total, Suceava, 151451 CIOCANESTI, Anul 2026, Numar persoane, 1454
Total, Total, Suceava, 151567 CIPRIAN PORUMBESCU, Anul 2026, Numar persoane, 2336
Total, Total, Suceava, 151433 COMANESTI, Anul 2026, Numar persoane, 2442
Total, Total, Suceava, 147786 CORNU LUNCII, Anul 2026, Numar persoane, 7132
Total, Total, Suceava, 151497 COSNA, Anul 2026, Numar persoane, 1453
Total, Total, Suceava, 147884 CRUCEA, Anul 2026, Numar persoane, 1886
Total, Total, Suceava, 147937 DARMANESTI, Anul 2026, Numar persoane, 6102
Total, Total, Suceava, 148097 DOLHESTI, Anul 2026, Numar persoane, 3587
Total, Total, Suceava, 148202 DORNA CANDRENILOR, Anul 2026, Numar persoane, 3146
Total, Total, Suceava, 148131 DORNA-ARINI, Anul 2026, Numar persoane, 2914
Total, Total, Suceava, 148293 DORNESTI, Anul 2026, Numar persoane, 4835
Total, Total, Suceava, 148328 DRAGOIESTI, Anul 2026, Numar persoane, 2694
Total, Total, Suceava, 148382 DRAGUSENI, Anul 2026, Numar persoane, 2441
Total, Total, Suceava, 148426 DUMBRAVENI, Anul 2026, Numar persoane, 11143
Total, Total, Suceava, 151488 FANTANA MARE, Anul 2026, Numar persoane, 2641
Total, Total, Suceava, 148453 FANTANELE, Anul 2026, Numar persoane, 4628
Total, Total, Suceava, 148514 FORASTI, Anul 2026, Numar persoane, 4240
Total, Total, Suceava, 148667 FRATAUTII NOI, Anul 2026, Numar persoane, 5994
Total, Total, Suceava, 148694 FRATAUTII VECHI, Anul 2026, Numar persoane, 6081
Total, Total, Suceava, 148729 FRUMOSU, Anul 2026, Numar persoane, 3290
Total, Total, Suceava, 148765 FUNDU MOLDOVEI, Anul 2026, Numar persoane, 3831
Total, Total, Suceava, 148872 GALANESTI, Anul 2026, Numar persoane, 3279
Total, Total, Suceava, 148916 GRAMESTI, Anul 2026, Numar persoane, 2856
Total, Total, Suceava, 148970 GRANICESTI, Anul 2026, Numar persoane, 6057
Total, Total, Suceava, 151512 HANTESTI, Anul 2026, Numar persoane, 4113
Total, Total, Suceava, 151549 HARTOP, Anul 2026, Numar persoane, 2648
Total, Total, Suceava, 149101 HORODNIC DE JOS, Anul 2026, Numar persoane, 2426
Total, Total, Suceava, 151479 HORODNIC DE SUS, Anul 2026, Numar persoane, 5841
Total, Total, Suceava, 149049 HORODNICENI, Anul 2026, Numar persoane, 3416
Total, Total, Suceava, 149138 IACOBENI, Anul 2026, Numar persoane, 1855
Total, Total, Suceava, 151442 IASLOVAT, Anul 2026, Numar persoane, 5205
Total, Total, Suceava, 147660 ILISESTI, Anul 2026, Numar persoane, 3003
Total, Total, Suceava, 146281 IPOTESTI, Anul 2026, Numar persoane, 11928
Total, Total, Suceava, 149183 IZVOARELE SUCEVEI, Anul 2026, Numar persoane, 2040
Total, Total, Suceava, 149316 MALINI, Anul 2026, Numar persoane, 7918
Total, Total, Suceava, 149370 MANASTIREA HUMORULUI, Anul 2026, Numar persoane, 3780
Total, Total, Suceava, 149290 MARGINEA, Anul 2026, Numar persoane, 11863
Total, Total, Suceava, 146325 MITOCU DRAGOMIRNEI, Anul 2026, Numar persoane, 6163
Total, Total, Suceava, 149414 MOARA, Anul 2026, Numar persoane, 7228
Total, Total, Suceava, 149502 MOLDOVA-SULITA, Anul 2026, Numar persoane, 1863
Total, Total, Suceava, 149539 MOLDOVITA, Anul 2026, Numar persoane, 5064
Total, Total, Suceava, 149584 MUSENITA, Anul 2026, Numar persoane, 1715
