Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Vaslui, 161945 MUNICIPIUL VASLUI, Anul 2026, Numar persoane, 131722
Total, Total, Vaslui, 161794 MUNICIPIUL BARLAD, Anul 2026, Numar persoane, 64938
Total, Total, Vaslui, 161829 MUNICIPIUL HUSI, Anul 2026, Numar persoane, 34522
Total, Total, Vaslui, 164981 ORAS MURGENI, Anul 2026, Numar persoane, 8166
Total, Total, Vaslui, 161856 ORAS NEGRESTI, Anul 2026, Numar persoane, 9659
Total, Total, Vaslui, 162014 ALBESTI, Anul 2026, Numar persoane, 2614
Total, Total, Vaslui, 162069 ALEXANDRU VLAHUTA, Anul 2026, Numar persoane, 1371
Total, Total, Vaslui, 162149 ARSURA, Anul 2026, Numar persoane, 1670
Total, Total, Vaslui, 162327 BACANI, Anul 2026, Numar persoane, 3075
Total, Total, Vaslui, 162381 BACESTI, Anul 2026, Numar persoane, 4982
Total, Total, Vaslui, 162452 BALTENI, Anul 2026, Numar persoane, 1685
Total, Total, Vaslui, 162194 BANCA, Anul 2026, Numar persoane, 5208
Total, Total, Vaslui, 162498 BEREZENI, Anul 2026, Numar persoane, 4615
Total, Total, Vaslui, 162559 BLAGESTI, Anul 2026, Numar persoane, 1084
Total, Total, Vaslui, 162595 BOGDANA, Anul 2026, Numar persoane, 3480
Total, Total, Vaslui, 162693 BOGDANESTI, Anul 2026, Numar persoane, 3006
Total, Total, Vaslui, 162791 BOGDANITA, Anul 2026, Numar persoane, 1423
Total, Total, Vaslui, 162871 BOTESTI, Anul 2026, Numar persoane, 1760
Total, Total, Vaslui, 162924 BUNESTI-AVERESTI, Anul 2026, Numar persoane, 2137
Total, Total, Vaslui, 167268 CIOCANI, Anul 2026, Numar persoane, 1684
Total, Total, Vaslui, 163002 CODAESTI, Anul 2026, Numar persoane, 3999
Total, Total, Vaslui, 163057 COROIESTI, Anul 2026, Numar persoane, 1858
Total, Total, Vaslui, 163137 COSTESTI, Anul 2026, Numar persoane, 2542
Total, Total, Vaslui, 167277 COZMESTI, Anul 2026, Numar persoane, 2162
Total, Total, Vaslui, 163208 CRETESTI, Anul 2026, Numar persoane, 1559
Total, Total, Vaslui, 163253 DANESTI, Anul 2026, Numar persoane, 1815
Total, Total, Vaslui, 163324 DELENI, Anul 2026, Numar persoane, 2136
Total, Total, Vaslui, 163379 DELESTI, Anul 2026, Numar persoane, 2013
Total, Total, Vaslui, 164277 DIMITRIE CANTEMIR, Anul 2026, Numar persoane, 2283
Total, Total, Vaslui, 167286 DODESTI, Anul 2026, Numar persoane, 1611
Total, Total, Vaslui, 163486 DRAGOMIRESTI, Anul 2026, Numar persoane, 4822
Total, Total, Vaslui, 163618 DRANCENI, Anul 2026, Numar persoane, 4734
Total, Total, Vaslui, 163681 DUDA-EPURENI, Anul 2026, Numar persoane, 4013
Total, Total, Vaslui, 163734 DUMESTI, Anul 2026, Numar persoane, 3556
Total, Total, Vaslui, 163789 EPURENI, Anul 2026, Numar persoane, 2760
Total, Total, Vaslui, 163832 FALCIU, Anul 2026, Numar persoane, 5151
Total, Total, Vaslui, 167295 FERESTI, Anul 2026, Numar persoane, 4262
Total, Total, Vaslui, 167231 FRUNTISENI, Anul 2026, Numar persoane, 1729
Total, Total, Vaslui, 163903 GAGESTI, Anul 2026, Numar persoane, 1691
Total, Total, Vaslui, 164062 GARCENI, Anul 2026, Numar persoane, 2401
Total, Total, Vaslui, 163967 GHERGHESTI, Anul 2026, Numar persoane, 2337
Total, Total, Vaslui, 164133 GRIVITA, Anul 2026, Numar persoane, 3454
Total, Total, Vaslui, 164197 HOCENI, Anul 2026, Numar persoane, 2480
Total, Total, Vaslui, 164339 IANA, Anul 2026, Numar persoane, 4086
Total, Total, Vaslui, 167222 IBANESTI, Anul 2026, Numar persoane, 1444
Total, Total, Vaslui, 164393 IVANESTI, Anul 2026, Numar persoane, 3807
