Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2026, Numar persoane, 85334
Total, Total, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2026, Numar persoane, 19003
Total, Total, Vrancea, 174922 ORAS MARASESTI, Anul 2026, Numar persoane, 12903
Total, Total, Vrancea, 175019 ORAS ODOBESTI, Anul 2026, Numar persoane, 9448
Total, Total, Vrancea, 175055 ORAS PANCIU, Anul 2026, Numar persoane, 8485
Total, Total, Vrancea, 175126 ANDREIASU DE JOS, Anul 2026, Numar persoane, 1502
Total, Total, Vrancea, 175206 BALESTI, Anul 2026, Numar persoane, 1807
Total, Total, Vrancea, 175224 BARSESTI, Anul 2026, Numar persoane, 1232
Total, Total, Vrancea, 178929 BILIESTI, Anul 2026, Numar persoane, 2434
Total, Total, Vrancea, 175260 BOGHESTI, Anul 2026, Numar persoane, 1312
Total, Total, Vrancea, 175368 BOLOTESTI, Anul 2026, Numar persoane, 4574
Total, Total, Vrancea, 175439 BORDESTI, Anul 2026, Numar persoane, 1586
Total, Total, Vrancea, 175466 BROSTENI, Anul 2026, Numar persoane, 2237
Total, Total, Vrancea, 174780 CAMPINEANCA, Anul 2026, Numar persoane, 4777
Total, Total, Vrancea, 175670 CAMPURI, Anul 2026, Numar persoane, 3464
Total, Total, Vrancea, 175732 CARLIGELE, Anul 2026, Numar persoane, 3020
Total, Total, Vrancea, 175509 CHIOJDENI, Anul 2026, Numar persoane, 2284
Total, Total, Vrancea, 175590 CIORASTI, Anul 2026, Numar persoane, 2607
Total, Total, Vrancea, 175787 CORBITA, Anul 2026, Numar persoane, 1646
Total, Total, Vrancea, 175885 COTESTI, Anul 2026, Numar persoane, 4761
Total, Total, Vrancea, 175938 DUMBRAVENI, Anul 2026, Numar persoane, 4329
Total, Total, Vrancea, 175983 DUMITRESTI, Anul 2026, Numar persoane, 3989
Total, Total, Vrancea, 176150 FITIONESTI, Anul 2026, Numar persoane, 2297
Total, Total, Vrancea, 176212 GAROAFA, Anul 2026, Numar persoane, 4712
Total, Total, Vrancea, 174824 GOLESTI, Anul 2026, Numar persoane, 4842
Total, Total, Vrancea, 178938 GOLOGANU, Anul 2026, Numar persoane, 2833
Total, Total, Vrancea, 176301 GUGESTI, Anul 2026, Numar persoane, 6229
Total, Total, Vrancea, 176338 GURA CALITEI, Anul 2026, Numar persoane, 2355
Total, Total, Vrancea, 176445 HOMOCEA, Anul 2026, Numar persoane, 7881
Total, Total, Vrancea, 176506 JARISTEA, Anul 2026, Numar persoane, 3993
Total, Total, Vrancea, 176551 JITIA, Anul 2026, Numar persoane, 1441
Total, Total, Vrancea, 176613 MAICANESTI, Anul 2026, Numar persoane, 4001
Total, Total, Vrancea, 176686 MERA, Anul 2026, Numar persoane, 3786
Total, Total, Vrancea, 176748 MILCOVUL, Anul 2026, Numar persoane, 3363
Total, Total, Vrancea, 176793 MOVILITA, Anul 2026, Numar persoane, 3562
Total, Total, Vrancea, 176855 NANESTI, Anul 2026, Numar persoane, 2009
Total, Total, Vrancea, 176891 NARUJA, Anul 2026, Numar persoane, 1861
Total, Total, Vrancea, 178885 NEGRILESTI, Anul 2026, Numar persoane, 1506
Total, Total, Vrancea, 176944 NEREJU, Anul 2026, Numar persoane, 4505
Total, Total, Vrancea, 177003 NISTORESTI, Anul 2026, Numar persoane, 1896
Total, Total, Vrancea, 178947 OBREJITA, Anul 2026, Numar persoane, 1542
Total, Total, Vrancea, 177101 PALTIN, Anul 2026, Numar persoane, 1838
Total, Total, Vrancea, 178910 PAULESTI, Anul 2026, Numar persoane, 1751
Total, Total, Vrancea, 177236 PAUNESTI, Anul 2026, Numar persoane, 6120
Total, Total, Vrancea, 178894 PLOSCUTENI, Anul 2026, Numar persoane, 3046
Total, Total, Vrancea, 177263 POIANA CRISTEI, Anul 2026, Numar persoane, 2471
Total, Total, Vrancea, 178901 POPESTI, Anul 2026, Numar persoane, 2821
Total, Total, Vrancea, 177352 PUFESTI, Anul 2026, Numar persoane, 4133
Total, Total, Vrancea, 177405 RACOASA, Anul 2026, Numar persoane, 2943
Total, Total, Vrancea, 178956 RASTOACA, Anul 2026, Numar persoane, 2259
Total, Total, Vrancea, 177469 REGHIU, Anul 2026, Numar persoane, 1940
Total, Total, Vrancea, 177557 RUGINESTI, Anul 2026, Numar persoane, 4001
Total, Total, Vrancea, 177600 SIHLEA, Anul 2026, Numar persoane, 5009
Total, Total, Vrancea, 177655 SLOBOZIA BRADULUI, Anul 2026, Numar persoane, 10847
Total, Total, Vrancea, 177726 SLOBOZIA CIORASTI, Anul 2026, Numar persoane, 1966
Total, Total, Vrancea, 177762 SOVEJA, Anul 2026, Numar persoane, 1859
Total, Total, Vrancea, 178965 SPULBER, Anul 2026, Numar persoane, 1267
Total, Total, Vrancea, 177799 STRAOANE, Anul 2026, Numar persoane, 3317
Total, Total, Vrancea, 177842 SURAIA, Anul 2026, Numar persoane, 5639
Total, Total, Vrancea, 178046 TAMBOESTI, Anul 2026, Numar persoane, 3183
Total, Total, Vrancea, 177879 TANASOAIA, Anul 2026, Numar persoane, 1875
Total, Total, Vrancea, 177986 TATARANU, Anul 2026, Numar persoane, 4039
Total, Total, Vrancea, 178180 TIFESTI, Anul 2026, Numar persoane, 4816
Total, Total, Vrancea, 178117 TULNICI, Anul 2026, Numar persoane, 4014
Total, Total, Vrancea, 178279 URECHESTI, Anul 2026, Numar persoane, 2543
Total, Total, Vrancea, 178313 VALEA SARII, Anul 2026, Numar persoane, 1867
Total, Total, Vrancea, 178607 VANATORI, Anul 2026, Numar persoane, 7145
Total, Total, Vrancea, 178689 VARTESCOIU, Anul 2026, Numar persoane, 3471
Total, Total, Vrancea, 178377 VIDRA, Anul 2026, Numar persoane, 6767
Total, Total, Vrancea, 178475 VINTILEASCA, Anul 2026, Numar persoane, 1755
Total, Total, Vrancea, 178545 VIZANTEA-LIVEZI, Anul 2026, Numar persoane, 3629
Total, Total, Vrancea, 178750 VRANCIOAIA, Anul 2026, Numar persoane, 2463
Total, Total, Vrancea, 178821 VULTURU, Anul 2026, Numar persoane, 7972
65-69 ani, Total, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2026, Numar persoane, 6709
65-69 ani, Total, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2026, Numar persoane, 1182
65-69 ani, Total, Vrancea, 174922 ORAS MARASESTI, Anul 2026, Numar persoane, 626
65-69 ani, Total, Vrancea, 175019 ORAS ODOBESTI, Anul 2026, Numar persoane, 463
65-69 ani, Total, Vrancea, 175055 ORAS PANCIU, Anul 2026, Numar persoane, 534
65-69 ani, Total, Vrancea, 175126 ANDREIASU DE JOS, Anul 2026, Numar persoane, 64
65-69 ani, Total, Vrancea, 175206 BALESTI, Anul 2026, Numar persoane, 60
65-69 ani, Total, Vrancea, 175224 BARSESTI, Anul 2026, Numar persoane, 56
65-69 ani, Total, Vrancea, 178929 BILIESTI, Anul 2026, Numar persoane, 141
65-69 ani, Total, Vrancea, 175260 BOGHESTI, Anul 2026, Numar persoane, 73
65-69 ani, Total, Vrancea, 175368 BOLOTESTI, Anul 2026, Numar persoane, 216
65-69 ani, Total, Vrancea, 175439 BORDESTI, Anul 2026, Numar persoane, 75
65-69 ani, Total, Vrancea, 175466 BROSTENI, Anul 2026, Numar persoane, 100
65-69 ani, Total, Vrancea, 174780 CAMPINEANCA, Anul 2026, Numar persoane, 238
65-69 ani, Total, Vrancea, 175670 CAMPURI, Anul 2026, Numar persoane, 201
65-69 ani, Total, Vrancea, 175732 CARLIGELE, Anul 2026, Numar persoane, 148
65-69 ani, Total, Vrancea, 175509 CHIOJDENI, Anul 2026, Numar persoane, 84
65-69 ani, Total, Vrancea, 175590 CIORASTI, Anul 2026, Numar persoane, 141
65-69 ani, Total, Vrancea, 175787 CORBITA, Anul 2026, Numar persoane, 93
65-69 ani, Total, Vrancea, 175885 COTESTI, Anul 2026, Numar persoane, 289
65-69 ani, Total, Vrancea, 175938 DUMBRAVENI, Anul 2026, Numar persoane, 234
65-69 ani, Total, Vrancea, 175983 DUMITRESTI, Anul 2026, Numar persoane, 188
65-69 ani, Total, Vrancea, 176150 FITIONESTI, Anul 2026, Numar persoane, 135
65-69 ani, Total, Vrancea, 176212 GAROAFA, Anul 2026, Numar persoane, 277
65-69 ani, Total, Vrancea, 174824 GOLESTI, Anul 2026, Numar persoane, 277
65-69 ani, Total, Vrancea, 178938 GOLOGANU, Anul 2026, Numar persoane, 207
65-69 ani, Total, Vrancea, 176301 GUGESTI, Anul 2026, Numar persoane, 371
65-69 ani, Total, Vrancea, 176338 GURA CALITEI, Anul 2026, Numar persoane, 130
65-69 ani, Total, Vrancea, 176445 HOMOCEA, Anul 2026, Numar persoane, 266
65-69 ani, Total, Vrancea, 176506 JARISTEA, Anul 2026, Numar persoane, 204
65-69 ani, Total, Vrancea, 176551 JITIA, Anul 2026, Numar persoane, 67
65-69 ani, Total, Vrancea, 176613 MAICANESTI, Anul 2026, Numar persoane, 214
65-69 ani, Total, Vrancea, 176686 MERA, Anul 2026, Numar persoane, 191
65-69 ani, Total, Vrancea, 176748 MILCOVUL, Anul 2026, Numar persoane, 199
65-69 ani, Total, Vrancea, 176793 MOVILITA, Anul 2026, Numar persoane, 202
65-69 ani, Total, Vrancea, 176855 NANESTI, Anul 2026, Numar persoane, 121
65-69 ani, Total, Vrancea, 176891 NARUJA, Anul 2026, Numar persoane, 94
65-69 ani, Total, Vrancea, 178885 NEGRILESTI, Anul 2026, Numar persoane, 95
65-69 ani, Total, Vrancea, 176944 NEREJU, Anul 2026, Numar persoane, 182
65-69 ani, Total, Vrancea, 177003 NISTORESTI, Anul 2026, Numar persoane, 99
65-69 ani, Total, Vrancea, 178947 OBREJITA, Anul 2026, Numar persoane, 77
65-69 ani, Total, Vrancea, 177101 PALTIN, Anul 2026, Numar persoane, 98
65-69 ani, Total, Vrancea, 178910 PAULESTI, Anul 2026, Numar persoane, 113
65-69 ani, Total, Vrancea, 177236 PAUNESTI, Anul 2026, Numar persoane, 304
65-69 ani, Total, Vrancea, 178894 PLOSCUTENI, Anul 2026, Numar persoane, 101
65-69 ani, Total, Vrancea, 177263 POIANA CRISTEI, Anul 2026, Numar persoane, 110
65-69 ani, Total, Vrancea, 178901 POPESTI, Anul 2026, Numar persoane, 143
65-69 ani, Total, Vrancea, 177352 PUFESTI, Anul 2026, Numar persoane, 211
65-69 ani, Total, Vrancea, 177405 RACOASA, Anul 2026, Numar persoane, 155
65-69 ani, Total, Vrancea, 178956 RASTOACA, Anul 2026, Numar persoane, 156
65-69 ani, Total, Vrancea, 177469 REGHIU, Anul 2026, Numar persoane, 105
65-69 ani, Total, Vrancea, 177557 RUGINESTI, Anul 2026, Numar persoane, 189
65-69 ani, Total, Vrancea, 177600 SIHLEA, Anul 2026, Numar persoane, 201
65-69 ani, Total, Vrancea, 177655 SLOBOZIA BRADULUI, Anul 2026, Numar persoane, 158
65-69 ani, Total, Vrancea, 177726 SLOBOZIA CIORASTI, Anul 2026, Numar persoane, 108
65-69 ani, Total, Vrancea, 177762 SOVEJA, Anul 2026, Numar persoane, 146
65-69 ani, Total, Vrancea, 178965 SPULBER, Anul 2026, Numar persoane, 50
65-69 ani, Total, Vrancea, 177799 STRAOANE, Anul 2026, Numar persoane, 181
65-69 ani, Total, Vrancea, 177842 SURAIA, Anul 2026, Numar persoane, 359
65-69 ani, Total, Vrancea, 178046 TAMBOESTI, Anul 2026, Numar persoane, 127
65-69 ani, Total, Vrancea, 177879 TANASOAIA, Anul 2026, Numar persoane, 92
65-69 ani, Total, Vrancea, 177986 TATARANU, Anul 2026, Numar persoane, 253
65-69 ani, Total, Vrancea, 178180 TIFESTI, Anul 2026, Numar persoane, 253
65-69 ani, Total, Vrancea, 178117 TULNICI, Anul 2026, Numar persoane, 228
65-69 ani, Total, Vrancea, 178279 URECHESTI, Anul 2026, Numar persoane, 131
65-69 ani, Total, Vrancea, 178313 VALEA SARII, Anul 2026, Numar persoane, 115
65-69 ani, Total, Vrancea, 178607 VANATORI, Anul 2026, Numar persoane, 436
65-69 ani, Total, Vrancea, 178689 VARTESCOIU, Anul 2026, Numar persoane, 154
65-69 ani, Total, Vrancea, 178377 VIDRA, Anul 2026, Numar persoane, 382
65-69 ani, Total, Vrancea, 178475 VINTILEASCA, Anul 2026, Numar persoane, 100
65-69 ani, Total, Vrancea, 178545 VIZANTEA-LIVEZI, Anul 2026, Numar persoane, 191
65-69 ani, Total, Vrancea, 178750 VRANCIOAIA, Anul 2026, Numar persoane, 164
65-69 ani, Total, Vrancea, 178821 VULTURU, Anul 2026, Numar persoane, 419
70-74 ani, Total, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2026, Numar persoane, 6001
70-74 ani, Total, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2026, Numar persoane, 975
70-74 ani, Total, Vrancea, 174922 ORAS MARASESTI, Anul 2026, Numar persoane, 543
70-74 ani, Total, Vrancea, 175019 ORAS ODOBESTI, Anul 2026, Numar persoane, 444
70-74 ani, Total, Vrancea, 175055 ORAS PANCIU, Anul 2026, Numar persoane, 473
70-74 ani, Total, Vrancea, 175126 ANDREIASU DE JOS, Anul 2026, Numar persoane, 84
70-74 ani, Total, Vrancea, 175206 BALESTI, Anul 2026, Numar persoane, 117
70-74 ani, Total, Vrancea, 175224 BARSESTI, Anul 2026, Numar persoane, 60
70-74 ani, Total, Vrancea, 178929 BILIESTI, Anul 2026, Numar persoane, 131
70-74 ani, Total, Vrancea, 175260 BOGHESTI, Anul 2026, Numar persoane, 60
70-74 ani, Total, Vrancea, 175368 BOLOTESTI, Anul 2026, Numar persoane, 214
70-74 ani, Total, Vrancea, 175439 BORDESTI, Anul 2026, Numar persoane, 68
70-74 ani, Total, Vrancea, 175466 BROSTENI, Anul 2026, Numar persoane, 104
70-74 ani, Total, Vrancea, 174780 CAMPINEANCA, Anul 2026, Numar persoane, 213
70-74 ani, Total, Vrancea, 175670 CAMPURI, Anul 2026, Numar persoane, 178
70-74 ani, Total, Vrancea, 175732 CARLIGELE, Anul 2026, Numar persoane, 156
70-74 ani, Total, Vrancea, 175509 CHIOJDENI, Anul 2026, Numar persoane, 67
70-74 ani, Total, Vrancea, 175590 CIORASTI, Anul 2026, Numar persoane, 107
70-74 ani, Total, Vrancea, 175787 CORBITA, Anul 2026, Numar persoane, 86
70-74 ani, Total, Vrancea, 175885 COTESTI, Anul 2026, Numar persoane, 242
70-74 ani, Total, Vrancea, 175938 DUMBRAVENI, Anul 2026, Numar persoane, 211
70-74 ani, Total, Vrancea, 175983 DUMITRESTI, Anul 2026, Numar persoane, 209
70-74 ani, Total, Vrancea, 176150 FITIONESTI, Anul 2026, Numar persoane, 125
70-74 ani, Total, Vrancea, 176212 GAROAFA, Anul 2026, Numar persoane, 214
70-74 ani, Total, Vrancea, 174824 GOLESTI, Anul 2026, Numar persoane, 234
70-74 ani, Total, Vrancea, 178938 GOLOGANU, Anul 2026, Numar persoane, 159
70-74 ani, Total, Vrancea, 176301 GUGESTI, Anul 2026, Numar persoane, 285
70-74 ani, Total, Vrancea, 176338 GURA CALITEI, Anul 2026, Numar persoane, 112
70-74 ani, Total, Vrancea, 176445 HOMOCEA, Anul 2026, Numar persoane, 230
70-74 ani, Total, Vrancea, 176506 JARISTEA, Anul 2026, Numar persoane, 181
70-74 ani, Total, Vrancea, 176551 JITIA, Anul 2026, Numar persoane, 76
70-74 ani, Total, Vrancea, 176613 MAICANESTI, Anul 2026, Numar persoane, 236
70-74 ani, Total, Vrancea, 176686 MERA, Anul 2026, Numar persoane, 169
70-74 ani, Total, Vrancea, 176748 MILCOVUL, Anul 2026, Numar persoane, 198
70-74 ani, Total, Vrancea, 176793 MOVILITA, Anul 2026, Numar persoane, 175
70-74 ani, Total, Vrancea, 176855 NANESTI, Anul 2026, Numar persoane, 134
70-74 ani, Total, Vrancea, 176891 NARUJA, Anul 2026, Numar persoane, 77
70-74 ani, Total, Vrancea, 178885 NEGRILESTI, Anul 2026, Numar persoane, 98
70-74 ani, Total, Vrancea, 176944 NEREJU, Anul 2026, Numar persoane, 145
70-74 ani, Total, Vrancea, 177003 NISTORESTI, Anul 2026, Numar persoane, 91
70-74 ani, Total, Vrancea, 178947 OBREJITA, Anul 2026, Numar persoane, 77
70-74 ani, Total, Vrancea, 177101 PALTIN, Anul 2026, Numar persoane, 83
70-74 ani, Total, Vrancea, 178910 PAULESTI, Anul 2026, Numar persoane, 101
70-74 ani, Total, Vrancea, 177236 PAUNESTI, Anul 2026, Numar persoane, 287
70-74 ani, Total, Vrancea, 178894 PLOSCUTENI, Anul 2026, Numar persoane, 110
70-74 ani, Total, Vrancea, 177263 POIANA CRISTEI, Anul 2026, Numar persoane, 114
70-74 ani, Total, Vrancea, 178901 POPESTI, Anul 2026, Numar persoane, 115
70-74 ani, Total, Vrancea, 177352 PUFESTI, Anul 2026, Numar persoane, 169
70-74 ani, Total, Vrancea, 177405 RACOASA, Anul 2026, Numar persoane, 157
70-74 ani, Total, Vrancea, 178956 RASTOACA, Anul 2026, Numar persoane, 139
70-74 ani, Total, Vrancea, 177469 REGHIU, Anul 2026, Numar persoane, 111
70-74 ani, Total, Vrancea, 177557 RUGINESTI, Anul 2026, Numar persoane, 164
70-74 ani, Total, Vrancea, 177600 SIHLEA, Anul 2026, Numar persoane, 232
70-74 ani, Total, Vrancea, 177655 SLOBOZIA BRADULUI, Anul 2026, Numar persoane, 107
70-74 ani, Total, Vrancea, 177726 SLOBOZIA CIORASTI, Anul 2026, Numar persoane, 106
70-74 ani, Total, Vrancea, 177762 SOVEJA, Anul 2026, Numar persoane, 121
70-74 ani, Total, Vrancea, 178965 SPULBER, Anul 2026, Numar persoane, 55
70-74 ani, Total, Vrancea, 177799 STRAOANE, Anul 2026, Numar persoane, 167
70-74 ani, Total, Vrancea, 177842 SURAIA, Anul 2026, Numar persoane, 319
70-74 ani, Total, Vrancea, 178046 TAMBOESTI, Anul 2026, Numar persoane, 108
70-74 ani, Total, Vrancea, 177879 TANASOAIA, Anul 2026, Numar persoane, 95
70-74 ani, Total, Vrancea, 177986 TATARANU, Anul 2026, Numar persoane, 202
70-74 ani, Total, Vrancea, 178180 TIFESTI, Anul 2026, Numar persoane, 267
70-74 ani, Total, Vrancea, 178117 TULNICI, Anul 2026, Numar persoane, 208
70-74 ani, Total, Vrancea, 178279 URECHESTI, Anul 2026, Numar persoane, 134
70-74 ani, Total, Vrancea, 178313 VALEA SARII, Anul 2026, Numar persoane, 119
70-74 ani, Total, Vrancea, 178607 VANATORI, Anul 2026, Numar persoane, 382
70-74 ani, Total, Vrancea, 178689 VARTESCOIU, Anul 2026, Numar persoane, 149
70-74 ani, Total, Vrancea, 178377 VIDRA, Anul 2026, Numar persoane, 301
70-74 ani, Total, Vrancea, 178475 VINTILEASCA, Anul 2026, Numar persoane, 90
70-74 ani, Total, Vrancea, 178545 VIZANTEA-LIVEZI, Anul 2026, Numar persoane, 184
70-74 ani, Total, Vrancea, 178750 VRANCIOAIA, Anul 2026, Numar persoane, 117
70-74 ani, Total, Vrancea, 178821 VULTURU, Anul 2026, Numar persoane, 450
75-79 ani, Total, Vrancea, 174744 MUNICIPIUL FOCSANI, Anul 2026, Numar persoane, 3495
75-79 ani, Total, Vrancea, 174860 MUNICIPIUL ADJUD, Anul 2026, Numar persoane, 662
75-79 ani, Total, Vrancea, 174922 ORAS MARASESTI, Anul 2026, Numar persoane, 321
75-79 ani, Total, Vrancea, 175019 ORAS ODOBESTI, Anul 2026, Numar persoane, 295
75-79 ani, Total, Vrancea, 175055 ORAS PANCIU, Anul 2026, Numar persoane, 287
