Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Alba, 1017 MUNICIPIUL ALBA IULIA, Anul 2026, Numar persoane, 74137
Total, Total, Alba, 1213 MUNICIPIUL AIUD, Anul 2026, Numar persoane, 23600
Total, Total, Alba, 1348 MUNICIPIUL BLAJ, Anul 2026, Numar persoane, 19821
Total, Total, Alba, 1874 MUNICIPIUL SEBES, Anul 2026, Numar persoane, 31880
Total, Total, Alba, 1151 ORAS ABRUD, Anul 2026, Numar persoane, 4829
Total, Total, Alba, 2915 ORAS BAIA DE ARIES, Anul 2026, Numar persoane, 3480
Total, Total, Alba, 1455 ORAS CAMPENI, Anul 2026, Numar persoane, 6827
Total, Total, Alba, 1696 ORAS CUGIR, Anul 2026, Numar persoane, 23783
Total, Total, Alba, 1794 ORAS OCNA MURES, Anul 2026, Numar persoane, 13275
Total, Total, Alba, 8096 ORAS TEIUS, Anul 2026, Numar persoane, 6823
Total, Total, Alba, 1936 ORAS ZLATNA, Anul 2026, Numar persoane, 7528
Total, Total, Alba, 2130 ALBAC, Anul 2026, Numar persoane, 1845
Total, Total, Alba, 2309 ALMASU MARE, Anul 2026, Numar persoane, 1156
Total, Total, Alba, 2381 ARIESENI, Anul 2026, Numar persoane, 1420
Total, Total, Alba, 2577 AVRAM IANCU, Anul 2026, Numar persoane, 1329
Total, Total, Alba, 2988 BERGHIN, Anul 2026, Numar persoane, 1894
Total, Total, Alba, 3039 BISTRA, Anul 2026, Numar persoane, 4309
Total, Total, Alba, 3397 BLANDIANA, Anul 2026, Numar persoane, 875
Total, Total, Alba, 9026 BUCERDEA GRANOASA, Anul 2026, Numar persoane, 2274
Total, Total, Alba, 3459 BUCIUM, Anul 2026, Numar persoane, 1294
Total, Total, Alba, 4106 CALNIC, Anul 2026, Numar persoane, 1886
Total, Total, Alba, 3761 CENADE, Anul 2026, Numar persoane, 1046
Total, Total, Alba, 3805 CERGAU, Anul 2026, Numar persoane, 1543
Total, Total, Alba, 3841 CERU-BACAINTI, Anul 2026, Numar persoane, 212
Total, Total, Alba, 3958 CETATEA DE BALTA, Anul 2026, Numar persoane, 3025
Total, Total, Alba, 1071 CIUGUD, Anul 2026, Numar persoane, 3448
Total, Total, Alba, 4008 CIURULEASA, Anul 2026, Numar persoane, 1063
