Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Arad, 9262 MUNICIPIUL ARAD, Anul 2026, Numar persoane, 164631
Total, Total, Arad, 9459 ORAS CHISINEU-CRIS, Anul 2026, Numar persoane, 7895
Total, Total, Arad, 9495 ORAS CURTICI, Anul 2026, Numar persoane, 8981
Total, Total, Arad, 9538 ORAS INEU, Anul 2026, Numar persoane, 9181
Total, Total, Arad, 9574 ORAS LIPOVA, Anul 2026, Numar persoane, 10554
Total, Total, Arad, 9627 ORAS NADLAC, Anul 2026, Numar persoane, 7549
Total, Total, Arad, 9654 ORAS PANCOTA, Anul 2026, Numar persoane, 8225
Total, Total, Arad, 11584 ORAS PECICA, Anul 2026, Numar persoane, 14215
Total, Total, Arad, 12091 ORAS SANTANA, Anul 2026, Numar persoane, 15367
Total, Total, Arad, 9690 ORAS SEBIS, Anul 2026, Numar persoane, 5999
Total, Total, Arad, 9743 ALMAS, Anul 2026, Numar persoane, 2357
Total, Total, Arad, 9798 APATEU, Anul 2026, Numar persoane, 3222
Total, Total, Arad, 9832 ARCHIS, Anul 2026, Numar persoane, 1371
Total, Total, Arad, 10051 BARSA, Anul 2026, Numar persoane, 1717
Total, Total, Arad, 10104 BARZAVA, Anul 2026, Numar persoane, 2228
Total, Total, Arad, 9887 BATA, Anul 2026, Numar persoane, 1038
Total, Total, Arad, 9930 BELIU, Anul 2026, Numar persoane, 2908
Total, Total, Arad, 10006 BIRCHIS, Anul 2026, Numar persoane, 1729
Total, Total, Arad, 10195 BOCSIG, Anul 2026, Numar persoane, 3289
Total, Total, Arad, 10239 BRAZII, Anul 2026, Numar persoane, 1134
Total, Total, Arad, 10293 BUTENI, Anul 2026, Numar persoane, 3216
Total, Total, Arad, 10346 CARAND, Anul 2026, Numar persoane, 1085
Total, Total, Arad, 10373 CERMEI, Anul 2026, Numar persoane, 2620
Total, Total, Arad, 10417 CHISINDIA, Anul 2026, Numar persoane, 1168
Total, Total, Arad, 10453 CONOP, Anul 2026, Numar persoane, 2116
Total, Total, Arad, 10514 COVASINT, Anul 2026, Numar persoane, 2642
Total, Total, Arad, 10532 CRAIVA, Anul 2026, Numar persoane, 2801
Total, Total, Arad, 10649 DEZNA, Anul 2026, Numar persoane, 1038
Total, Total, Arad, 10701 DIECI, Anul 2026, Numar persoane, 1359
Total, Total, Arad, 12912 DOROBANTI, Anul 2026, Numar persoane, 1537
Total, Total, Arad, 9280 FANTANELE, Anul 2026, Numar persoane, 3950
Total, Total, Arad, 10827 FELNAC, Anul 2026, Numar persoane, 3239
Total, Total, Arad, 12920 FRUMUSENI, Anul 2026, Numar persoane, 2836
Total, Total, Arad, 10872 GHIOROC, Anul 2026, Numar persoane, 4090
Total, Total, Arad, 10916 GRANICERI, Anul 2026, Numar persoane, 2465
Total, Total, Arad, 10943 GURAHONT, Anul 2026, Numar persoane, 3585
Total, Total, Arad, 11174 HALMAGEL, Anul 2026, Numar persoane, 951
Total, Total, Arad, 11058 HALMAGIU, Anul 2026, Numar persoane, 2129
Total, Total, Arad, 11236 HASMAS, Anul 2026, Numar persoane, 1162
Total, Total, Arad, 11307 IGNESTI, Anul 2026, Numar persoane, 651
Total, Total, Arad, 11352 IRATOSU, Anul 2026, Numar persoane, 2554
Total, Total, Arad, 9333 LIVADA, Anul 2026, Numar persoane, 4662
Total, Total, Arad, 11398 MACEA, Anul 2026, Numar persoane, 7145
Total, Total, Arad, 11423 MISCA, Anul 2026, Numar persoane, 3946
Total, Total, Arad, 11478 MONEASA, Anul 2026, Numar persoane, 807
Total, Total, Arad, 11502 OLARI, Anul 2026, Numar persoane, 1988
Total, Total, Arad, 11539 PAULIS, Anul 2026, Numar persoane, 4423
Total, Total, Arad, 11637 PEREGU MARE, Anul 2026, Numar persoane, 1756
Total, Total, Arad, 11664 PETRIS, Anul 2026, Numar persoane, 1256
Total, Total, Arad, 11735 PILU, Anul 2026, Numar persoane, 2178
Total, Total, Arad, 11762 PLESCUTA, Anul 2026, Numar persoane, 981
Total, Total, Arad, 12144 SAGU, Anul 2026, Numar persoane, 4233
Total, Total, Arad, 11842 SAVARSIN, Anul 2026, Numar persoane, 2827
Total, Total, Arad, 11940 SECUSIGIU, Anul 2026, Numar persoane, 6051
Total, Total, Arad, 12206 SEITIN, Anul 2026, Numar persoane, 3173
Total, Total, Arad, 11995 SELEUS, Anul 2026, Numar persoane, 2843
Total, Total, Arad, 12037 SEMLAC, Anul 2026, Numar persoane, 4248
Total, Total, Arad, 12224 SEPREUS, Anul 2026, Numar persoane, 3003
Total, Total, Arad, 12242 SICULA, Anul 2026, Numar persoane, 4108
Total, Total, Arad, 12288 SILINDIA, Anul 2026, Numar persoane, 846
Total, Total, Arad, 12340 SIMAND, Anul 2026, Numar persoane, 4337
Total, Total, Arad, 12055 SINTEA MARE, Anul 2026, Numar persoane, 3758
Total, Total, Arad, 12368 SIRIA, Anul 2026, Numar persoane, 9061
Total, Total, Arad, 12402 SISTAROVAT, Anul 2026, Numar persoane, 408
Total, Total, Arad, 12126 SOCODOR, Anul 2026, Numar persoane, 2264
Total, Total, Arad, 9360 SOFRONEA, Anul 2026, Numar persoane, 3129
Total, Total, Arad, 12509 TARNOVA, Anul 2026, Numar persoane, 6120
Total, Total, Arad, 12457 TAUT, Anul 2026, Numar persoane, 1405
Total, Total, Arad, 10765 USUSAU, Anul 2026, Numar persoane, 1505
Total, Total, Arad, 12572 VARADIA DE MURES, Anul 2026, Numar persoane, 1525
Total, Total, Arad, 12689 VARFURILE, Anul 2026, Numar persoane, 2243
Total, Total, Arad, 12643 VINGA, Anul 2026, Numar persoane, 7258
Total, Total, Arad, 9397 VLADIMIRESCU, Anul 2026, Numar persoane, 15715
Total, Total, Arad, 12778 ZABRANI, Anul 2026, Numar persoane, 4250
Total, Total, Arad, 12938 ZADARENI, Anul 2026, Numar persoane, 3037
Total, Total, Arad, 12812 ZARAND, Anul 2026, Numar persoane, 2994
Total, Total, Arad, 12849 ZERIND, Anul 2026, Numar persoane, 1452
Total, Total, Arad, 12876 ZIMANDU NOU, Anul 2026, Numar persoane, 5358
65-69 ani, Total, Arad, 9262 MUNICIPIUL ARAD, Anul 2026, Numar persoane, 11000
65-69 ani, Total, Arad, 9459 ORAS CHISINEU-CRIS, Anul 2026, Numar persoane, 522
65-69 ani, Total, Arad, 9495 ORAS CURTICI, Anul 2026, Numar persoane, 464
65-69 ani, Total, Arad, 9538 ORAS INEU, Anul 2026, Numar persoane, 617
65-69 ani, Total, Arad, 9574 ORAS LIPOVA, Anul 2026, Numar persoane, 653
65-69 ani, Total, Arad, 9627 ORAS NADLAC, Anul 2026, Numar persoane, 433
65-69 ani, Total, Arad, 9654 ORAS PANCOTA, Anul 2026, Numar persoane, 434
65-69 ani, Total, Arad, 11584 ORAS PECICA, Anul 2026, Numar persoane, 747
65-69 ani, Total, Arad, 12091 ORAS SANTANA, Anul 2026, Numar persoane, 798
65-69 ani, Total, Arad, 9690 ORAS SEBIS, Anul 2026, Numar persoane, 422
65-69 ani, Total, Arad, 9743 ALMAS, Anul 2026, Numar persoane, 153
65-69 ani, Total, Arad, 9798 APATEU, Anul 2026, Numar persoane, 197
65-69 ani, Total, Arad, 9832 ARCHIS, Anul 2026, Numar persoane, 89
65-69 ani, Total, Arad, 10051 BARSA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Arad, 10104 BARZAVA, Anul 2026, Numar persoane, 123
65-69 ani, Total, Arad, 9887 BATA, Anul 2026, Numar persoane, 51
65-69 ani, Total, Arad, 9930 BELIU, Anul 2026, Numar persoane, 168
65-69 ani, Total, Arad, 10006 BIRCHIS, Anul 2026, Numar persoane, 93
65-69 ani, Total, Arad, 10195 BOCSIG, Anul 2026, Numar persoane, 192
65-69 ani, Total, Arad, 10239 BRAZII, Anul 2026, Numar persoane, 57
65-69 ani, Total, Arad, 10293 BUTENI, Anul 2026, Numar persoane, 205
65-69 ani, Total, Arad, 10346 CARAND, Anul 2026, Numar persoane, 56
65-69 ani, Total, Arad, 10373 CERMEI, Anul 2026, Numar persoane, 170
65-69 ani, Total, Arad, 10417 CHISINDIA, Anul 2026, Numar persoane, 79
65-69 ani, Total, Arad, 10453 CONOP, Anul 2026, Numar persoane, 121
65-69 ani, Total, Arad, 10514 COVASINT, Anul 2026, Numar persoane, 126
65-69 ani, Total, Arad, 10532 CRAIVA, Anul 2026, Numar persoane, 132
65-69 ani, Total, Arad, 10649 DEZNA, Anul 2026, Numar persoane, 88
