Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Arges, 13169 MUNICIPIUL PITESTI, Anul 2026, Numar persoane, 160262
Total, Total, Arges, 13490 MUNICIPIUL CAMPULUNG, Anul 2026, Numar persoane, 31748
Total, Total, Arges, 13622 MUNICIPIUL CURTEA DE ARGES, Anul 2026, Numar persoane, 29941
Total, Total, Arges, 13668 ORAS COSTESTI, Anul 2026, Numar persoane, 9324
Total, Total, Arges, 13301 ORAS MIOVENI, Anul 2026, Numar persoane, 32607
Total, Total, Arges, 13392 ORAS STEFANESTI, Anul 2026, Numar persoane, 16812
Total, Total, Arges, 13757 ORAS TOPOLOVENI, Anul 2026, Numar persoane, 9137
Total, Total, Arges, 13819 ALBESTII DE ARGES, Anul 2026, Numar persoane, 5854
Total, Total, Arges, 13891 ALBESTII DE MUSCEL, Anul 2026, Numar persoane, 1406
Total, Total, Arges, 13935 ALBOTA, Anul 2026, Numar persoane, 4250
Total, Total, Arges, 13999 ANINOASA, Anul 2026, Numar persoane, 3167
Total, Total, Arges, 14049 AREFU, Anul 2026, Numar persoane, 2080
Total, Total, Arges, 14085 BABANA, Anul 2026, Numar persoane, 2865
Total, Total, Arges, 14165 BAICULESTI, Anul 2026, Numar persoane, 5786
Total, Total, Arges, 14272 BALILESTI, Anul 2026, Numar persoane, 3765
Total, Total, Arges, 14450 BARLA, Anul 2026, Numar persoane, 3797
Total, Total, Arges, 13187 BASCOV, Anul 2026, Numar persoane, 11267
Total, Total, Arges, 14352 BELETI-NEGRESTI, Anul 2026, Numar persoane, 1667
Total, Total, Arges, 14405 BEREVOESTI, Anul 2026, Numar persoane, 3430
Total, Total, Arges, 14584 BOGATI, Anul 2026, Numar persoane, 4006
Total, Total, Arges, 14673 BOTENI, Anul 2026, Numar persoane, 2091
Total, Total, Arges, 14726 BOTESTI, Anul 2026, Numar persoane, 1019
Total, Total, Arges, 13276 BRADU, Anul 2026, Numar persoane, 10045
Total, Total, Arges, 14753 BRADULET, Anul 2026, Numar persoane, 1525
Total, Total, Arges, 14851 BUDEASA, Anul 2026, Numar persoane, 4243
Total, Total, Arges, 14922 BUGHEA DE JOS, Anul 2026, Numar persoane, 3053
Total, Total, Arges, 20063 BUGHEA DE SUS, Anul 2026, Numar persoane, 3015
Total, Total, Arges, 14940 BUZOESTI, Anul 2026, Numar persoane, 4913
Total, Total, Arges, 15064 CALDARARU, Anul 2026, Numar persoane, 1904
Total, Total, Arges, 15108 CALINESTI, Anul 2026, Numar persoane, 11030
Total, Total, Arges, 15233 CATEASCA, Anul 2026, Numar persoane, 3566
Total, Total, Arges, 15313 CEPARI, Anul 2026, Numar persoane, 1883
Total, Total, Arges, 15402 CETATENI, Anul 2026, Numar persoane, 2783
Total, Total, Arges, 15448 CICANESTI, Anul 2026, Numar persoane, 1938
Total, Total, Arges, 15493 CIOFRANGENI, Anul 2026, Numar persoane, 2142
Total, Total, Arges, 15554 CIOMAGESTI, Anul 2026, Numar persoane, 943
Total, Total, Arges, 15652 COCU, Anul 2026, Numar persoane, 1981
Total, Total, Arges, 15741 CORBENI, Anul 2026, Numar persoane, 5560
Total, Total, Arges, 15830 CORBI, Anul 2026, Numar persoane, 3700
Total, Total, Arges, 15901 COSESTI, Anul 2026, Numar persoane, 5064
Total, Total, Arges, 15983 COTMEANA, Anul 2026, Numar persoane, 1695
Total, Total, Arges, 16132 CUCA, Anul 2026, Numar persoane, 1781
Total, Total, Arges, 16329 DAMBOVICIOARA, Anul 2026, Numar persoane, 852
Total, Total, Arges, 16365 DARMANESTI, Anul 2026, Numar persoane, 3360
Total, Total, Arges, 16285 DAVIDESTI, Anul 2026, Numar persoane, 3156
Total, Total, Arges, 16427 DOBRESTI, Anul 2026, Numar persoane, 1611
Total, Total, Arges, 16454 DOMNESTI, Anul 2026, Numar persoane, 3003
Total, Total, Arges, 16506 DRAGANU, Anul 2026, Numar persoane, 1926
Total, Total, Arges, 16472 DRAGOSLAVELE, Anul 2026, Numar persoane, 2564
Total, Total, Arges, 16551 GODENI, Anul 2026, Numar persoane, 2642
Total, Total, Arges, 16613 HARSESTI, Anul 2026, Numar persoane, 1962
Total, Total, Arges, 16659 HARTIESTI, Anul 2026, Numar persoane, 2328
Total, Total, Arges, 16739 IZVORU, Anul 2026, Numar persoane, 2015
Total, Total, Arges, 16757 LEORDENI, Anul 2026, Numar persoane, 5095
Total, Total, Arges, 16908 LERESTI, Anul 2026, Numar persoane, 4158
Total, Total, Arges, 16944 LUNCA CORBULUI, Anul 2026, Numar persoane, 2406
Total, Total, Arges, 17049 MALURENI, Anul 2026, Numar persoane, 4480
