Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Bacau, 20297 MUNICIPIUL BACAU, Anul 2026, Numar persoane, 182980
Total, Total, Bacau, 20876 MUNICIPIUL MOINESTI, Anul 2026, Numar persoane, 22332
Total, Total, Bacau, 20563 MUNICIPIUL ONESTI, Anul 2026, Numar persoane, 46776
Total, Total, Bacau, 20778 ORAS BUHUSI, Anul 2026, Numar persoane, 21134
Total, Total, Bacau, 20821 ORAS COMANESTI, Anul 2026, Numar persoane, 21898
Total, Total, Bacau, 22166 ORAS DARMANESTI, Anul 2026, Numar persoane, 14260
Total, Total, Bacau, 20910 ORAS SLANIC-MOLDOVA, Anul 2026, Numar persoane, 4886
Total, Total, Bacau, 20965 ORAS TARGU OCNA, Anul 2026, Numar persoane, 11905
Total, Total, Bacau, 21007 AGAS, Anul 2026, Numar persoane, 5622
Total, Total, Bacau, 21098 ARDEOANI, Anul 2026, Numar persoane, 2294
Total, Total, Bacau, 21123 ASAU, Anul 2026, Numar persoane, 6474
Total, Total, Bacau, 21196 BALCANI, Anul 2026, Numar persoane, 7273
Total, Total, Bacau, 21454 BARSANESTI, Anul 2026, Numar persoane, 4235
Total, Total, Bacau, 21249 BERESTI-BISTRITA, Anul 2026, Numar persoane, 2167
Total, Total, Bacau, 21338 BERESTI-TAZLAU, Anul 2026, Numar persoane, 5340
Total, Total, Bacau, 21418 BERZUNTI, Anul 2026, Numar persoane, 5070
Total, Total, Bacau, 21506 BLAGESTI, Anul 2026, Numar persoane, 7686
Total, Total, Bacau, 21560 BOGDANESTI, Anul 2026, Numar persoane, 2621
Total, Total, Bacau, 21597 BRUSTUROASA, Anul 2026, Numar persoane, 3177
Total, Total, Bacau, 26338 BUCIUMI, Anul 2026, Numar persoane, 3337
Total, Total, Bacau, 21668 BUHOCI, Anul 2026, Numar persoane, 5015
Total, Total, Bacau, 21757 CAIUTI, Anul 2026, Numar persoane, 5124
Total, Total, Bacau, 21720 CASIN, Anul 2026, Numar persoane, 4291
Total, Total, Bacau, 21855 CLEJA, Anul 2026, Numar persoane, 6613
Total, Total, Bacau, 21891 COLONESTI, Anul 2026, Numar persoane, 2267
Total, Total, Bacau, 21971 CORBASCA, Anul 2026, Numar persoane, 5300
Total, Total, Bacau, 22059 COTOFANESTI, Anul 2026, Numar persoane, 3585
Total, Total, Bacau, 22111 DAMIENESTI, Anul 2026, Numar persoane, 1748
Total, Total, Bacau, 22237 DEALU MORII, Anul 2026, Numar persoane, 2421
Total, Total, Bacau, 22380 DOFTEANA, Anul 2026, Numar persoane, 11003
Total, Total, Bacau, 22460 FARAOANI, Anul 2026, Numar persoane, 5111
Total, Total, Bacau, 22488 FILIPENI, Anul 2026, Numar persoane, 1941
Total, Total, Bacau, 22576 FILIPESTI, Anul 2026, Numar persoane, 4520
Total, Total, Bacau, 22665 GAICEANA, Anul 2026, Numar persoane, 2560
Total, Total, Bacau, 22781 GARLENI, Anul 2026, Numar persoane, 6972
Total, Total, Bacau, 22718 GHIMES-FAGET, Anul 2026, Numar persoane, 4679
Total, Total, Bacau, 26346 GIOSENI, Anul 2026, Numar persoane, 4175
Total, Total, Bacau, 22834 GLAVANESTI, Anul 2026, Numar persoane, 2880
Total, Total, Bacau, 20607 GURA VAII, Anul 2026, Numar persoane, 4646
Total, Total, Bacau, 22898 HELEGIU, Anul 2026, Numar persoane, 5950
Total, Total, Bacau, 20313 HEMEIUS, Anul 2026, Numar persoane, 7832
Total, Total, Bacau, 22941 HORGESTI, Anul 2026, Numar persoane, 5959
Total, Total, Bacau, 23047 HURUIESTI, Anul 2026, Numar persoane, 2001
Total, Total, Bacau, 26379 ITESTI, Anul 2026, Numar persoane, 1509
Total, Total, Bacau, 23127 IZVORU BERHECIULUI, Anul 2026, Numar persoane, 1558
Total, Total, Bacau, 20359 LETEA VECHE, Anul 2026, Numar persoane, 8081
Total, Total, Bacau, 23207 LIPOVA, Anul 2026, Numar persoane, 3080
Total, Total, Bacau, 23289 LIVEZI, Anul 2026, Numar persoane, 5390
Total, Total, Bacau, 23350 LUIZI-CALUGARA, Anul 2026, Numar persoane, 4874
Total, Total, Bacau, 23387 MAGIRESTI, Anul 2026, Numar persoane, 3893
Total, Total, Bacau, 20411 MAGURA, Anul 2026, Numar persoane, 6100
Total, Total, Bacau, 23449 MANASTIREA CASIN, Anul 2026, Numar persoane, 5065
Total, Total, Bacau, 20466 MARGINENI, Anul 2026, Numar persoane, 10643
Total, Total, Bacau, 23494 MOTOSENI, Anul 2026, Numar persoane, 2932
Total, Total, Bacau, 23644 NEGRI, Anul 2026, Numar persoane, 2551
Total, Total, Bacau, 23715 NICOLAE BALCESCU, Anul 2026, Numar persoane, 10009
Total, Total, Bacau, 26353 ODOBESTI, Anul 2026, Numar persoane, 2292
Total, Total, Bacau, 23797 OITUZ, Anul 2026, Numar persoane, 8957
Total, Total, Bacau, 23868 ONCESTI, Anul 2026, Numar persoane, 1509
Total, Total, Bacau, 23948 ORBENI, Anul 2026, Numar persoane, 3750
Total, Total, Bacau, 23975 PALANCA, Anul 2026, Numar persoane, 3065
Total, Total, Bacau, 24187 PANCESTI, Anul 2026, Numar persoane, 4136
Total, Total, Bacau, 24034 PARAVA, Anul 2026, Numar persoane, 3280
Total, Total, Bacau, 24276 PARGARESTI, Anul 2026, Numar persoane, 4478
Total, Total, Bacau, 24089 PARINCEA, Anul 2026, Numar persoane, 3414
Total, Total, Bacau, 24338 PARJOL, Anul 2026, Numar persoane, 5800
Total, Total, Bacau, 24427 PLOPANA, Anul 2026, Numar persoane, 2957
Total, Total, Bacau, 24524 PODU TURCULUI, Anul 2026, Numar persoane, 4499
Total, Total, Bacau, 24631 PODURI, Anul 2026, Numar persoane, 7688
Total, Total, Bacau, 26361 PRAJESTI, Anul 2026, Numar persoane, 2134
Total, Total, Bacau, 24766 RACACIUNI, Anul 2026, Numar persoane, 8112
Total, Total, Bacau, 24837 RACHITOASA, Anul 2026, Numar persoane, 4241
Total, Total, Bacau, 24711 RACOVA, Anul 2026, Numar persoane, 3461
Total, Total, Bacau, 24999 ROSIORI, Anul 2026, Numar persoane, 2365
Total, Total, Bacau, 25148 SANDULENI, Anul 2026, Numar persoane, 4336
Total, Total, Bacau, 26320 SARATA, Anul 2026, Numar persoane, 2392
Total, Total, Bacau, 25068 SASCUT, Anul 2026, Numar persoane, 9393
Total, Total, Bacau, 25228 SAUCESTI, Anul 2026, Numar persoane, 5745
Total, Total, Bacau, 25291 SCORTENI, Anul 2026, Numar persoane, 2809
Total, Total, Bacau, 25362 SECUIENI, Anul 2026, Numar persoane, 2332
Total, Total, Bacau, 25488 SOLONT, Anul 2026, Numar persoane, 3200
Total, Total, Bacau, 25521 STANISESTI, Anul 2026, Numar persoane, 4450
Total, Total, Bacau, 20670 STEFAN CEL MARE, Anul 2026, Numar persoane, 5263
Total, Total, Bacau, 25629 STRUGARI, Anul 2026, Numar persoane, 2224
Total, Total, Bacau, 25692 TAMASI, Anul 2026, Numar persoane, 3260
