Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2026, Numar persoane, 212775
Total, Total, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2026, Numar persoane, 10345
Total, Total, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2026, Numar persoane, 16304
Total, Total, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2026, Numar persoane, 17788
Total, Total, Bihor, 26699 ORAS ALESD, Anul 2026, Numar persoane, 10930
Total, Total, Bihor, 26920 ORAS NUCET, Anul 2026, Numar persoane, 1951
Total, Total, Bihor, 30915 ORAS SACUENI, Anul 2026, Numar persoane, 12286
Total, Total, Bihor, 26840 ORAS STEI, Anul 2026, Numar persoane, 6286
Total, Total, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2026, Numar persoane, 10325
Total, Total, Bihor, 27007 ORAS VASCAU, Anul 2026, Numar persoane, 2041
Total, Total, Bihor, 27070 ABRAM, Anul 2026, Numar persoane, 2833
Total, Total, Bihor, 26742 ASTILEU, Anul 2026, Numar persoane, 3455
Total, Total, Bihor, 27212 AUSEU, Anul 2026, Numar persoane, 2780
Total, Total, Bihor, 27285 AVRAM IANCU, Anul 2026, Numar persoane, 3382
Total, Total, Bihor, 27329 BALC, Anul 2026, Numar persoane, 3099
Total, Total, Bihor, 27383 BATAR, Anul 2026, Numar persoane, 5772
Total, Total, Bihor, 27436 BIHARIA, Anul 2026, Numar persoane, 4774
Total, Total, Bihor, 27506 BOIANU MARE, Anul 2026, Numar persoane, 1163
Total, Total, Bihor, 27560 BOROD, Anul 2026, Numar persoane, 3851
Total, Total, Bihor, 27631 BORS, Anul 2026, Numar persoane, 4546
Total, Total, Bihor, 27686 BRATCA, Anul 2026, Numar persoane, 4417
Total, Total, Bihor, 27757 BRUSTURI, Anul 2026, Numar persoane, 3290
Total, Total, Bihor, 27846 BUDUREASA, Anul 2026, Numar persoane, 2704
Total, Total, Bihor, 27908 BUDUSLAU, Anul 2026, Numar persoane, 1970
