Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Botosani, 35731 MUNICIPIUL BOTOSANI, Anul 2026, Numar persoane, 110103
Total, Total, Botosani, 36006 MUNICIPIUL DOROHOI, Anul 2026, Numar persoane, 27738
Total, Total, Botosani, 36453 ORAS BUCECEA, Anul 2026, Numar persoane, 5890
Total, Total, Botosani, 35946 ORAS DARABANI, Anul 2026, Numar persoane, 12211
Total, Total, Botosani, 37280 ORAS FLAMANZI, Anul 2026, Numar persoane, 11100
Total, Total, Botosani, 36060 ORAS SAVENI, Anul 2026, Numar persoane, 7746
Total, Total, Botosani, 39168 ORAS STEFANESTI, Anul 2026, Numar persoane, 5855
Total, Total, Botosani, 40035 ADASENI, Anul 2026, Numar persoane, 2254
Total, Total, Botosani, 36131 ALBESTI, Anul 2026, Numar persoane, 6730
Total, Total, Botosani, 36202 AVRAMENI, Anul 2026, Numar persoane, 3727
Total, Total, Botosani, 36300 BALUSENI, Anul 2026, Numar persoane, 4716
Total, Total, Botosani, 39983 BLANDESTI, Anul 2026, Numar persoane, 1761
Total, Total, Botosani, 36373 BRAESTI, Anul 2026, Numar persoane, 2034
Total, Total, Botosani, 36426 BROSCAUTI, Anul 2026, Numar persoane, 3150
Total, Total, Botosani, 36499 CALARASI, Anul 2026, Numar persoane, 3100
Total, Total, Botosani, 39967 CANDESTI, Anul 2026, Numar persoane, 2305
Total, Total, Botosani, 36532 CONCESTI, Anul 2026, Numar persoane, 2027
Total, Total, Botosani, 36569 COPALAU, Anul 2026, Numar persoane, 4258
Total, Total, Botosani, 36649 CORDARENI, Anul 2026, Numar persoane, 1574
Total, Total, Botosani, 36676 CORLATENI, Anul 2026, Numar persoane, 1812
Total, Total, Botosani, 36756 CORNI, Anul 2026, Numar persoane, 6373
Total, Total, Botosani, 39975 COSULA, Anul 2026, Numar persoane, 3090
Total, Total, Botosani, 36809 COTUSCA, Anul 2026, Numar persoane, 6436
Total, Total, Botosani, 36907 CRISTESTI, Anul 2026, Numar persoane, 4812
Total, Total, Botosani, 36952 CRISTINESTI, Anul 2026, Numar persoane, 3679
Total, Total, Botosani, 35759 CURTESTI, Anul 2026, Numar persoane, 6764
Total, Total, Botosani, 37057 DANGENI, Anul 2026, Numar persoane, 3241
