Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Buzau, 44818 MUNICIPIUL BUZAU, Anul 2026, Numar persoane, 118200
Total, Total, Buzau, 44845 MUNICIPIUL RAMNICU SARAT, Anul 2026, Numar persoane, 36406
Total, Total, Buzau, 47916 ORAS NEHOIU, Anul 2026, Numar persoane, 9753
Total, Total, Buzau, 48325 ORAS PATARLAGELE, Anul 2026, Numar persoane, 6952
Total, Total, Buzau, 48744 ORAS POGOANELE, Anul 2026, Numar persoane, 6715
Total, Total, Buzau, 44863 AMARU, Anul 2026, Numar persoane, 2070
Total, Total, Buzau, 44989 BALACEANU, Anul 2026, Numar persoane, 1451
Total, Total, Buzau, 44934 BALTA ALBA, Anul 2026, Numar persoane, 2108
Total, Total, Buzau, 45003 BECENI, Anul 2026, Numar persoane, 3876
Total, Total, Buzau, 45101 BERCA, Anul 2026, Numar persoane, 7830
Total, Total, Buzau, 45245 BISOCA, Anul 2026, Numar persoane, 2216
Total, Total, Buzau, 45334 BLAJANI, Anul 2026, Numar persoane, 843
Total, Total, Buzau, 45361 BOLDU, Anul 2026, Numar persoane, 2047
Total, Total, Buzau, 45389 BOZIORU, Anul 2026, Numar persoane, 856
Total, Total, Buzau, 45496 BRADEANU, Anul 2026, Numar persoane, 2158
Total, Total, Buzau, 45539 BRAESTI, Anul 2026, Numar persoane, 2079
Total, Total, Buzau, 45619 BREAZA, Anul 2026, Numar persoane, 2383
Total, Total, Buzau, 45673 BUDA, Anul 2026, Numar persoane, 2696
Total, Total, Buzau, 45815 C.A. ROSETTI, Anul 2026, Numar persoane, 3183
Total, Total, Buzau, 45753 CALVINI, Anul 2026, Numar persoane, 4707
Total, Total, Buzau, 45888 CANESTI, Anul 2026, Numar persoane, 599
Total, Total, Buzau, 45959 CATINA, Anul 2026, Numar persoane, 2131
Total, Total, Buzau, 46019 CERNATESTI, Anul 2026, Numar persoane, 3384
Total, Total, Buzau, 46108 CHILIILE, Anul 2026, Numar persoane, 397
Total, Total, Buzau, 46180 CHIOJDU, Anul 2026, Numar persoane, 3010
Total, Total, Buzau, 46251 CILIBIA, Anul 2026, Numar persoane, 1830
Total, Total, Buzau, 46313 CISLAU, Anul 2026, Numar persoane, 4592
Total, Total, Buzau, 46377 COCHIRLEANCA, Anul 2026, Numar persoane, 5005
Total, Total, Buzau, 46439 COLTI, Anul 2026, Numar persoane, 757
Total, Total, Buzau, 46484 COSTESTI, Anul 2026, Numar persoane, 5005
Total, Total, Buzau, 46554 COZIENI, Anul 2026, Numar persoane, 1582
Total, Total, Buzau, 50564 FLORICA, Anul 2026, Numar persoane, 1116
Total, Total, Buzau, 46769 GALBINASI, Anul 2026, Numar persoane, 4351
Total, Total, Buzau, 46803 GHERASENI, Anul 2026, Numar persoane, 3041
Total, Total, Buzau, 46830 GHERGHEASA, Anul 2026, Numar persoane, 2007
Total, Total, Buzau, 46867 GLODEANU SARAT, Anul 2026, Numar persoane, 3631
Total, Total, Buzau, 46910 GLODEANU-SILISTEA, Anul 2026, Numar persoane, 3135
Total, Total, Buzau, 47006 GREBANU, Anul 2026, Numar persoane, 5183
Total, Total, Buzau, 47079 GURA TEGHII, Anul 2026, Numar persoane, 3027
Total, Total, Buzau, 47159 LARGU, Anul 2026, Numar persoane, 1351
Total, Total, Buzau, 47186 LOPATARI, Anul 2026, Numar persoane, 3107
Total, Total, Buzau, 47300 LUCIU, Anul 2026, Numar persoane, 2615
Total, Total, Buzau, 47337 MAGURA, Anul 2026, Numar persoane, 2174
Total, Total, Buzau, 47630 MANZALESTI, Anul 2026, Numar persoane, 2019
Total, Total, Buzau, 47373 MARACINENI, Anul 2026, Numar persoane, 9654
Total, Total, Buzau, 47417 MARGARITESTI, Anul 2026, Numar persoane, 475
Total, Total, Buzau, 47453 MEREI, Anul 2026, Numar persoane, 6495
Total, Total, Buzau, 47578 MIHAILESTI, Anul 2026, Numar persoane, 2134
Total, Total, Buzau, 47774 MOVILA BANULUI, Anul 2026, Numar persoane, 2379
Total, Total, Buzau, 47818 MURGESTI, Anul 2026, Numar persoane, 731
Total, Total, Buzau, 47854 NAENI, Anul 2026, Numar persoane, 1513
Total, Total, Buzau, 48021 ODAILE, Anul 2026, Numar persoane, 596
Total, Total, Buzau, 48138 PADINA, Anul 2026, Numar persoane, 3413
Total, Total, Buzau, 48227 PANATAU, Anul 2026, Numar persoane, 1997
Total, Total, Buzau, 48165 PARDOSI, Anul 2026, Numar persoane, 287
Total, Total, Buzau, 48557 PARSCOV, Anul 2026, Numar persoane, 5155
Total, Total, Buzau, 48487 PIETROASELE, Anul 2026, Numar persoane, 3003
Total, Total, Buzau, 48682 PODGORIA, Anul 2026, Numar persoane, 2952
