Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Caras-Severin, 50790 MUNICIPIUL RESITA, Anul 2026, Numar persoane, 76155
Total, Total, Caras-Severin, 51010 MUNICIPIUL CARANSEBES, Anul 2026, Numar persoane, 27273
Total, Total, Caras-Severin, 50889 ORAS ANINA, Anul 2026, Numar persoane, 8164
Total, Total, Caras-Severin, 50923 ORAS BAILE HERCULANE, Anul 2026, Numar persoane, 4191
Total, Total, Caras-Severin, 50969 ORAS BOCSA, Anul 2026, Numar persoane, 17922
Total, Total, Caras-Severin, 51056 ORAS MOLDOVA NOUA, Anul 2026, Numar persoane, 11871
Total, Total, Caras-Severin, 51118 ORAS ORAVITA, Anul 2026, Numar persoane, 11394
Total, Total, Caras-Severin, 51207 ORAS OTELU ROSU, Anul 2026, Numar persoane, 11409
Total, Total, Caras-Severin, 51243 ARMENIS, Anul 2026, Numar persoane, 2233
Total, Total, Caras-Severin, 51305 BANIA, Anul 2026, Numar persoane, 1526
Total, Total, Caras-Severin, 51332 BAUTAR, Anul 2026, Numar persoane, 2229
Total, Total, Caras-Severin, 51387 BERLISTE, Anul 2026, Numar persoane, 1224
Total, Total, Caras-Severin, 51449 BERZASCA, Anul 2026, Numar persoane, 2352
Total, Total, Caras-Severin, 51500 BERZOVIA, Anul 2026, Numar persoane, 3737
Total, Total, Caras-Severin, 51546 BOLVASNITA, Anul 2026, Numar persoane, 1260
Total, Total, Caras-Severin, 51573 BOZOVICI, Anul 2026, Numar persoane, 2589
Total, Total, Caras-Severin, 51626 BREBU, Anul 2026, Numar persoane, 1156
Total, Total, Caras-Severin, 51662 BREBU NOU, Anul 2026, Numar persoane, 328
Total, Total, Caras-Severin, 51699 BUCHIN, Anul 2026, Numar persoane, 2006
Total, Total, Caras-Severin, 51751 BUCOSNITA, Anul 2026, Numar persoane, 2751
Total, Total, Caras-Severin, 51804 CARASOVA, Anul 2026, Numar persoane, 2725
Total, Total, Caras-Severin, 51840 CARBUNARI, Anul 2026, Numar persoane, 805
Total, Total, Caras-Severin, 51948 CICLOVA ROMANA, Anul 2026, Numar persoane, 1550
Total, Total, Caras-Severin, 51984 CIUCHICI, Anul 2026, Numar persoane, 1130
Total, Total, Caras-Severin, 52035 CIUDANOVITA, Anul 2026, Numar persoane, 546
Total, Total, Caras-Severin, 51877 CONSTANTIN DAICOVICIU, Anul 2026, Numar persoane, 2654
Total, Total, Caras-Severin, 52062 COPACELE, Anul 2026, Numar persoane, 1040
Total, Total, Caras-Severin, 52115 CORNEA, Anul 2026, Numar persoane, 1632
Total, Total, Caras-Severin, 52160 CORNEREVA, Anul 2026, Numar persoane, 2691
Total, Total, Caras-Severin, 53489 CORONINI, Anul 2026, Numar persoane, 1908
Total, Total, Caras-Severin, 52570 DALBOSET, Anul 2026, Numar persoane, 1502
Total, Total, Caras-Severin, 52650 DOCLIN, Anul 2026, Numar persoane, 1752
Total, Total, Caras-Severin, 52696 DOGNECEA, Anul 2026, Numar persoane, 2158
Total, Total, Caras-Severin, 52721 DOMASNEA, Anul 2026, Numar persoane, 1204
Total, Total, Caras-Severin, 53700 EFTIMIE MURGU, Anul 2026, Numar persoane, 1395
Total, Total, Caras-Severin, 52758 EZERIS, Anul 2026, Numar persoane, 1337
Total, Total, Caras-Severin, 52785 FARLIUG, Anul 2026, Numar persoane, 1685
Total, Total, Caras-Severin, 52856 FOROTIC, Anul 2026, Numar persoane, 1623
Total, Total, Caras-Severin, 52909 GARNIC, Anul 2026, Numar persoane, 1203
Total, Total, Caras-Severin, 52936 GLIMBOCA, Anul 2026, Numar persoane, 1803
Total, Total, Caras-Severin, 52954 GORUIA, Anul 2026, Numar persoane, 751
Total, Total, Caras-Severin, 52990 GRADINARI, Anul 2026, Numar persoane, 1911
Total, Total, Caras-Severin, 53023 IABLANITA, Anul 2026, Numar persoane, 1933
Total, Total, Caras-Severin, 53069 LAPUSNICEL, Anul 2026, Numar persoane, 879
Total, Total, Caras-Severin, 53103 LAPUSNICU MARE, Anul 2026, Numar persoane, 1469
Total, Total, Caras-Severin, 53130 LUNCAVITA, Anul 2026, Numar persoane, 2079
Total, Total, Caras-Severin, 53167 LUPAC, Anul 2026, Numar persoane, 2429
Total, Total, Caras-Severin, 53210 MARGA, Anul 2026, Numar persoane, 1000
Total, Total, Caras-Severin, 53247 MAURENI, Anul 2026, Numar persoane, 2931
Total, Total, Caras-Severin, 53274 MEHADIA, Anul 2026, Numar persoane, 3862
Total, Total, Caras-Severin, 53327 MEHADICA, Anul 2026, Numar persoane, 605
Total, Total, Caras-Severin, 53345 NAIDAS, Anul 2026, Numar persoane, 1077
Total, Total, Caras-Severin, 53372 OBREJA, Anul 2026, Numar persoane, 3345
Total, Total, Caras-Severin, 50987 OCNA DE FIER, Anul 2026, Numar persoane, 669
Total, Total, Caras-Severin, 53425 PALTINIS, Anul 2026, Numar persoane, 2451
Total, Total, Caras-Severin, 53513 POJEJENA, Anul 2026, Numar persoane, 2583
