Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2026, Numar persoane, 324860
Total, Total, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2026, Numar persoane, 25468
Total, Total, Cluj, 55008 MUNICIPIUL DEJ, Anul 2026, Numar persoane, 35981
Total, Total, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2026, Numar persoane, 21677
Total, Total, Cluj, 55259 MUNICIPIUL TURDA, Anul 2026, Numar persoane, 51377
Total, Total, Cluj, 55446 ORAS HUEDIN, Anul 2026, Numar persoane, 8972
Total, Total, Cluj, 55473 AGHIRESU, Anul 2026, Numar persoane, 6218
Total, Total, Cluj, 55598 AITON, Anul 2026, Numar persoane, 1076
Total, Total, Cluj, 55623 ALUNIS, Anul 2026, Numar persoane, 1036
Total, Total, Cluj, 55687 APAHIDA, Anul 2026, Numar persoane, 18576
Total, Total, Cluj, 55776 ASCHILEU, Anul 2026, Numar persoane, 1396
Total, Total, Cluj, 55838 BACIU, Anul 2026, Numar persoane, 15330
Total, Total, Cluj, 55918 BAISOARA, Anul 2026, Numar persoane, 1979
Total, Total, Cluj, 56014 BELIS, Anul 2026, Numar persoane, 1217
Total, Total, Cluj, 56096 BOBALNA, Anul 2026, Numar persoane, 1305
Total, Total, Cluj, 56210 BONTIDA, Anul 2026, Numar persoane, 4740
Total, Total, Cluj, 56265 BORSA, Anul 2026, Numar persoane, 1255
Total, Total, Cluj, 56327 BUZA, Anul 2026, Numar persoane, 1095
Total, Total, Cluj, 56354 CAIANU, Anul 2026, Numar persoane, 2267
Total, Total, Cluj, 56425 CALARASI, Anul 2026, Numar persoane, 2246
Total, Total, Cluj, 56461 CALATELE, Anul 2026, Numar persoane, 2452
Total, Total, Cluj, 56522 CAMARASU, Anul 2026, Numar persoane, 2542
Total, Total, Cluj, 56568 CAPUSU MARE, Anul 2026, Numar persoane, 2910
Total, Total, Cluj, 56666 CASEIU, Anul 2026, Numar persoane, 4717
Total, Total, Cluj, 57314 CATCAU, Anul 2026, Numar persoane, 2191
Total, Total, Cluj, 56773 CATINA, Anul 2026, Numar persoane, 1507
Total, Total, Cluj, 56844 CEANU MARE, Anul 2026, Numar persoane, 3515
Total, Total, Cluj, 56988 CHINTENI, Anul 2026, Numar persoane, 4826
Total, Total, Cluj, 57083 CHIUIESTI, Anul 2026, Numar persoane, 2214
Total, Total, Cluj, 57163 CIUCEA, Anul 2026, Numar persoane, 1408
Total, Total, Cluj, 57225 CIURILA, Anul 2026, Numar persoane, 1973
Total, Total, Cluj, 57350 COJOCNA, Anul 2026, Numar persoane, 4202
Total, Total, Cluj, 57449 CORNESTI, Anul 2026, Numar persoane, 1252
Total, Total, Cluj, 55062 CUZDRIOARA, Anul 2026, Numar persoane, 3003
Total, Total, Cluj, 57546 DABACA, Anul 2026, Numar persoane, 1336
Total, Total, Cluj, 57582 FELEACU, Anul 2026, Numar persoane, 5037
Total, Total, Cluj, 57644 FIZESU GHERLII, Anul 2026, Numar persoane, 2545
Total, Total, Cluj, 57706 FLORESTI, Anul 2026, Numar persoane, 58010
Total, Total, Cluj, 57742 FRATA, Anul 2026, Numar persoane, 3682
Total, Total, Cluj, 57948 GARBAU, Anul 2026, Numar persoane, 2129
Total, Total, Cluj, 57831 GEACA, Anul 2026, Numar persoane, 1340
Total, Total, Cluj, 57902 GILAU, Anul 2026, Numar persoane, 9322
Total, Total, Cluj, 58008 IARA, Anul 2026, Numar persoane, 3558
Total, Total, Cluj, 58142 ICLOD, Anul 2026, Numar persoane, 4094
Total, Total, Cluj, 58204 IZVORU CRISULUI, Anul 2026, Numar persoane, 1425
Total, Total, Cluj, 55106 JICHISU DE JOS, Anul 2026, Numar persoane, 1071
Total, Total, Cluj, 58259 JUCU, Anul 2026, Numar persoane, 5611
Total, Total, Cluj, 58311 LUNA, Anul 2026, Numar persoane, 4613
Total, Total, Cluj, 58357 MAGURI-RACATAU, Anul 2026, Numar persoane, 2223
Total, Total, Cluj, 58393 MANASTIRENI, Anul 2026, Numar persoane, 1263
Total, Total, Cluj, 58464 MARGAU, Anul 2026, Numar persoane, 1445
Total, Total, Cluj, 58534 MARISEL, Anul 2026, Numar persoane, 1465
Total, Total, Cluj, 55160 MICA, Anul 2026, Numar persoane, 3541
Total, Total, Cluj, 55277 MIHAI VITEAZU, Anul 2026, Numar persoane, 5933
Total, Total, Cluj, 58552 MINTIU GHERLII, Anul 2026, Numar persoane, 3836
Total, Total, Cluj, 58623 MOCIU, Anul 2026, Numar persoane, 3153
Total, Total, Cluj, 58721 MOLDOVENESTI, Anul 2026, Numar persoane, 3203
Total, Total, Cluj, 60169 NEGRENI, Anul 2026, Numar persoane, 2109
Total, Total, Cluj, 58794 PALATCA, Anul 2026, Numar persoane, 952
Total, Total, Cluj, 58856 PANTICEU, Anul 2026, Numar persoane, 1694
Total, Total, Cluj, 58918 PETRESTII DE JOS, Anul 2026, Numar persoane, 1440
Total, Total, Cluj, 58990 PLOSCOS, Anul 2026, Numar persoane, 586
Total, Total, Cluj, 59041 POIENI, Anul 2026, Numar persoane, 4435
Total, Total, Cluj, 59238 RASCA, Anul 2026, Numar persoane, 1289
Total, Total, Cluj, 59130 RECEA-CRISTUR, Anul 2026, Numar persoane, 1355
Total, Total, Cluj, 59283 SACUIEU, Anul 2026, Numar persoane, 1397
Total, Total, Cluj, 59434 SANCRAIU, Anul 2026, Numar persoane, 1486
Total, Total, Cluj, 55311 SANDULESTI, Anul 2026, Numar persoane, 2243
Total, Total, Cluj, 59498 SANMARTIN, Anul 2026, Numar persoane, 1214
Total, Total, Cluj, 59586 SANPAUL, Anul 2026, Numar persoane, 2213
Total, Total, Cluj, 59327 SAVADISLA, Anul 2026, Numar persoane, 4087
Total, Total, Cluj, 59416 SIC, Anul 2026, Numar persoane, 2164
Total, Total, Cluj, 59657 SUATU, Anul 2026, Numar persoane, 1408
Total, Total, Cluj, 59826 TAGA, Anul 2026, Numar persoane, 1588
Total, Total, Cluj, 59693 TRITENII DE JOS, Anul 2026, Numar persoane, 4324
Total, Total, Cluj, 59764 TURENI, Anul 2026, Numar persoane, 2195
Total, Total, Cluj, 59880 UNGURAS, Anul 2026, Numar persoane, 2381
Total, Total, Cluj, 59942 VAD, Anul 2026, Numar persoane, 1957
Total, Total, Cluj, 60026 VALEA IERII, Anul 2026, Numar persoane, 856
Total, Total, Cluj, 60062 VIISOARA, Anul 2026, Numar persoane, 5899
Total, Total, Cluj, 60099 VULTURENI, Anul 2026, Numar persoane, 1502
65-69 ani, Total, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2026, Numar persoane, 20199
65-69 ani, Total, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2026, Numar persoane, 1678
65-69 ani, Total, Cluj, 55008 MUNICIPIUL DEJ, Anul 2026, Numar persoane, 2232
65-69 ani, Total, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2026, Numar persoane, 1337
65-69 ani, Total, Cluj, 55259 MUNICIPIUL TURDA, Anul 2026, Numar persoane, 3454
65-69 ani, Total, Cluj, 55446 ORAS HUEDIN, Anul 2026, Numar persoane, 506
65-69 ani, Total, Cluj, 55473 AGHIRESU, Anul 2026, Numar persoane, 394
65-69 ani, Total, Cluj, 55598 AITON, Anul 2026, Numar persoane, 57
65-69 ani, Total, Cluj, 55623 ALUNIS, Anul 2026, Numar persoane, 44
65-69 ani, Total, Cluj, 55687 APAHIDA, Anul 2026, Numar persoane, 747
65-69 ani, Total, Cluj, 55776 ASCHILEU, Anul 2026, Numar persoane, 80
65-69 ani, Total, Cluj, 55838 BACIU, Anul 2026, Numar persoane, 596
65-69 ani, Total, Cluj, 55918 BAISOARA, Anul 2026, Numar persoane, 138
65-69 ani, Total, Cluj, 56014 BELIS, Anul 2026, Numar persoane, 77
65-69 ani, Total, Cluj, 56096 BOBALNA, Anul 2026, Numar persoane, 84
65-69 ani, Total, Cluj, 56210 BONTIDA, Anul 2026, Numar persoane, 203
65-69 ani, Total, Cluj, 56265 BORSA, Anul 2026, Numar persoane, 57
65-69 ani, Total, Cluj, 56327 BUZA, Anul 2026, Numar persoane, 62
65-69 ani, Total, Cluj, 56354 CAIANU, Anul 2026, Numar persoane, 124
