Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Giurgiu, 100521 MUNICIPIUL GIURGIU, Anul 2026, Numar persoane, 59934
Total, Total, Giurgiu, 101190 ORAS BOLINTIN-VALE, Anul 2026, Numar persoane, 13822
Total, Total, Giurgiu, 104136 ORAS MIHAILESTI, Anul 2026, Numar persoane, 7474
Total, Total, Giurgiu, 100781 ADUNATII-COPACENI, Anul 2026, Numar persoane, 6124
Total, Total, Giurgiu, 101001 BANEASA, Anul 2026, Numar persoane, 4413
Total, Total, Giurgiu, 101163 BOLINTIN-DEAL, Anul 2026, Numar persoane, 6150
Total, Total, Giurgiu, 101378 BUCSANI, Anul 2026, Numar persoane, 3369
Total, Total, Giurgiu, 101519 BULBUCATA, Anul 2026, Numar persoane, 1424
Total, Total, Giurgiu, 101617 BUTURUGENI, Anul 2026, Numar persoane, 3836
Total, Total, Giurgiu, 101662 CALUGARENI, Anul 2026, Numar persoane, 5183
Total, Total, Giurgiu, 101984 CLEJANI, Anul 2026, Numar persoane, 3643
Total, Total, Giurgiu, 102071 COLIBASI, Anul 2026, Numar persoane, 2931
Total, Total, Giurgiu, 102106 COMANA, Anul 2026, Numar persoane, 6209
Total, Total, Giurgiu, 179748 COSOBA, Anul 2026, Numar persoane, 2751
Total, Total, Giurgiu, 102348 CREVEDIA MARE, Anul 2026, Numar persoane, 4675
Total, Total, Giurgiu, 102446 DAIA, Anul 2026, Numar persoane, 2201
Total, Total, Giurgiu, 102794 FLORESTI-STOENESTI, Anul 2026, Numar persoane, 8347
Total, Total, Giurgiu, 102909 FRATESTI, Anul 2026, Numar persoane, 5047
Total, Total, Giurgiu, 103087 GAISENI, Anul 2026, Numar persoane, 5289
Total, Total, Giurgiu, 103194 GAUJANI, Anul 2026, Numar persoane, 2219
Total, Total, Giurgiu, 103238 GHIMPATI, Anul 2026, Numar persoane, 5422
Total, Total, Giurgiu, 103309 GOGOSARI, Anul 2026, Numar persoane, 1510
Total, Total, Giurgiu, 103372 GOSTINARI, Anul 2026, Numar persoane, 2239
Total, Total, Giurgiu, 103354 GOSTINU, Anul 2026, Numar persoane, 1548
Total, Total, Giurgiu, 103407 GRADINARI, Anul 2026, Numar persoane, 3167
Total, Total, Giurgiu, 103470 GREACA, Anul 2026, Numar persoane, 1933
Total, Total, Giurgiu, 179757 HERASTI, Anul 2026, Numar persoane, 2069
Total, Total, Giurgiu, 103639 HOTARELE, Anul 2026, Numar persoane, 3039
Total, Total, Giurgiu, 103693 IEPURESTI, Anul 2026, Numar persoane, 1769
Total, Total, Giurgiu, 179766 ISVOARELE, Anul 2026, Numar persoane, 1334
Total, Total, Giurgiu, 103899 IZVOARELE, Anul 2026, Numar persoane, 3003
Total, Total, Giurgiu, 103997 JOITA, Anul 2026, Numar persoane, 4321
Total, Total, Giurgiu, 104047 LETCA NOUA, Anul 2026, Numar persoane, 3344
Total, Total, Giurgiu, 179739 MALU, Anul 2026, Numar persoane, 1889
Total, Total, Giurgiu, 104225 MARSA, Anul 2026, Numar persoane, 2611
Total, Total, Giurgiu, 104118 MIHAI BRAVU, Anul 2026, Numar persoane, 2252
Total, Total, Giurgiu, 104485 OGREZENI, Anul 2026, Numar persoane, 4494
Total, Total, Giurgiu, 104519 OINACU, Anul 2026, Numar persoane, 3003
Total, Total, Giurgiu, 104680 PRUNDU, Anul 2026, Numar persoane, 3848
Total, Total, Giurgiu, 104715 PUTINEIU, Anul 2026, Numar persoane, 2075
Total, Total, Giurgiu, 104788 RASUCENI, Anul 2026, Numar persoane, 1922
