Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2026, Numar persoane, 39358
Total, Total, Harghita, 83561 MUNICIPIUL GHEORGHENI, Anul 2026, Numar persoane, 18429
Total, Total, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2026, Numar persoane, 35917
Total, Total, Harghita, 83632 MUNICIPIUL TOPLITA, Anul 2026, Numar persoane, 14715
Total, Total, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2026, Numar persoane, 1550
Total, Total, Harghita, 83464 ORAS BALAN, Anul 2026, Numar persoane, 7129
Total, Total, Harghita, 83491 ORAS BORSEC, Anul 2026, Numar persoane, 2572
Total, Total, Harghita, 83525 ORAS CRISTURU SECUIESC, Anul 2026, Numar persoane, 10616
Total, Total, Harghita, 83749 ORAS VLAHITA, Anul 2026, Numar persoane, 7516
Total, Total, Harghita, 83785 ATID, Anul 2026, Numar persoane, 3061
Total, Total, Harghita, 83847 AVRAMESTI, Anul 2026, Numar persoane, 2764
Total, Total, Harghita, 83936 BILBOR, Anul 2026, Numar persoane, 2411
Total, Total, Harghita, 83151 BRADESTI, Anul 2026, Numar persoane, 2212
Total, Total, Harghita, 83963 CAPALNITA, Anul 2026, Numar persoane, 2161
Total, Total, Harghita, 84102 CARTA, Anul 2026, Numar persoane, 2681
Total, Total, Harghita, 86461 CICEU, Anul 2026, Numar persoane, 2855
Total, Total, Harghita, 83981 CIUCSANGEORGIU, Anul 2026, Numar persoane, 5054
Total, Total, Harghita, 84086 CIUMANI, Anul 2026, Numar persoane, 4222
Total, Total, Harghita, 84148 CORBU, Anul 2026, Numar persoane, 1423
Total, Total, Harghita, 84175 CORUND, Anul 2026, Numar persoane, 6388
Total, Total, Harghita, 86446 COZMENI, Anul 2026, Numar persoane, 2246
Total, Total, Harghita, 84237 DANESTI, Anul 2026, Numar persoane, 2180
Total, Total, Harghita, 84380 DARJIU, Anul 2026, Numar persoane, 1010
Total, Total, Harghita, 84264 DEALU, Anul 2026, Numar persoane, 4287
Total, Total, Harghita, 84344 DITRAU, Anul 2026, Numar persoane, 5638
Total, Total, Harghita, 83197 FELICENI, Anul 2026, Numar persoane, 3743
Total, Total, Harghita, 84415 FRUMOASA, Anul 2026, Numar persoane, 3783
Total, Total, Harghita, 84460 GALAUTAS, Anul 2026, Numar persoane, 2235
Total, Total, Harghita, 84558 JOSENI, Anul 2026, Numar persoane, 5731
Total, Total, Harghita, 84594 LAZAREA, Anul 2026, Numar persoane, 3571
Total, Total, Harghita, 86479 LELICENI, Anul 2026, Numar persoane, 2580
Total, Total, Harghita, 84629 LUETA, Anul 2026, Numar persoane, 3599
Total, Total, Harghita, 84656 LUNCA DE JOS, Anul 2026, Numar persoane, 5549
Total, Total, Harghita, 84754 LUNCA DE SUS, Anul 2026, Numar persoane, 3343
Total, Total, Harghita, 84825 LUPENI, Anul 2026, Numar persoane, 4837
Total, Total, Harghita, 86438 MADARAS, Anul 2026, Numar persoane, 2180
Total, Total, Harghita, 84923 MARTINIS, Anul 2026, Numar persoane, 2922
Total, Total, Harghita, 85056 MERESTI, Anul 2026, Numar persoane, 1347
Total, Total, Harghita, 85074 MIHAILENI, Anul 2026, Numar persoane, 2741
Total, Total, Harghita, 85127 MUGENI, Anul 2026, Numar persoane, 3669
Total, Total, Harghita, 85243 OCLAND, Anul 2026, Numar persoane, 1278
Total, Total, Harghita, 83375 PAULENI-CIUC, Anul 2026, Numar persoane, 2277
Total, Total, Harghita, 85289 PLAIESII DE JOS, Anul 2026, Numar persoane, 2803
Total, Total, Harghita, 86487 PORUMBENI, Anul 2026, Numar persoane, 1978
Total, Total, Harghita, 85341 PRAID, Anul 2026, Numar persoane, 6938
Total, Total, Harghita, 86495 RACU, Anul 2026, Numar persoane, 1619
Total, Total, Harghita, 85412 REMETEA, Anul 2026, Numar persoane, 6301
Total, Total, Harghita, 85467 SACEL, Anul 2026, Numar persoane, 1144
Total, Total, Harghita, 85680 SANCRAIENI, Anul 2026, Numar persoane, 2707
Total, Total, Harghita, 85760 SANDOMINIC, Anul 2026, Numar persoane, 6170
Total, Total, Harghita, 85788 SANMARTIN, Anul 2026, Numar persoane, 2246
Total, Total, Harghita, 85840 SANSIMION, Anul 2026, Numar persoane, 3602
Total, Total, Harghita, 86519 SANTIMBRU, Anul 2026, Numar persoane, 2154
Total, Total, Harghita, 85528 SARMAS, Anul 2026, Numar persoane, 3604
Total, Total, Harghita, 86501 SATU MARE, Anul 2026, Numar persoane, 2076
Total, Total, Harghita, 85582 SECUIENI, Anul 2026, Numar persoane, 2818
Total, Total, Harghita, 85626 SICULENI, Anul 2026, Numar persoane, 2671
Total, Total, Harghita, 85984 SIMONESTI, Anul 2026, Numar persoane, 3828
Total, Total, Harghita, 85877 SUBCETATE, Anul 2026, Numar persoane, 1686
Total, Total, Harghita, 85920 SUSENI, Anul 2026, Numar persoane, 5144
Total, Total, Harghita, 86453 TOMESTI, Anul 2026, Numar persoane, 2578
Total, Total, Harghita, 86133 TULGHES, Anul 2026, Numar persoane, 3003
Total, Total, Harghita, 86188 TUSNAD, Anul 2026, Numar persoane, 2218
Total, Total, Harghita, 86222 ULIES, Anul 2026, Numar persoane, 1178
Total, Total, Harghita, 86311 VARSAG, Anul 2026, Numar persoane, 1771
Total, Total, Harghita, 86339 VOSLABENI, Anul 2026, Numar persoane, 1871
Total, Total, Harghita, 86366 ZETEA, Anul 2026, Numar persoane, 6000
65-69 ani, Total, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2026, Numar persoane, 2553
65-69 ani, Total, Harghita, 83561 MUNICIPIUL GHEORGHENI, Anul 2026, Numar persoane, 1168
65-69 ani, Total, Harghita, 83133 MUNICIPIUL ODORHEIU SECUIESC, Anul 2026, Numar persoane, 2352
65-69 ani, Total, Harghita, 83632 MUNICIPIUL TOPLITA, Anul 2026, Numar persoane, 988
65-69 ani, Total, Harghita, 83428 ORAS BAILE TUSNAD, Anul 2026, Numar persoane, 114
65-69 ani, Total, Harghita, 83464 ORAS BALAN, Anul 2026, Numar persoane, 422
65-69 ani, Total, Harghita, 83491 ORAS BORSEC, Anul 2026, Numar persoane, 167
65-69 ani, Total, Harghita, 83525 ORAS CRISTURU SECUIESC, Anul 2026, Numar persoane, 662
65-69 ani, Total, Harghita, 83749 ORAS VLAHITA, Anul 2026, Numar persoane, 393
65-69 ani, Total, Harghita, 83785 ATID, Anul 2026, Numar persoane, 102
65-69 ani, Total, Harghita, 83847 AVRAMESTI, Anul 2026, Numar persoane, 144
65-69 ani, Total, Harghita, 83936 BILBOR, Anul 2026, Numar persoane, 156
65-69 ani, Total, Harghita, 83151 BRADESTI, Anul 2026, Numar persoane, 93
65-69 ani, Total, Harghita, 83963 CAPALNITA, Anul 2026, Numar persoane, 104
65-69 ani, Total, Harghita, 84102 CARTA, Anul 2026, Numar persoane, 143
65-69 ani, Total, Harghita, 86461 CICEU, Anul 2026, Numar persoane, 148
65-69 ani, Total, Harghita, 83981 CIUCSANGEORGIU, Anul 2026, Numar persoane, 217
65-69 ani, Total, Harghita, 84086 CIUMANI, Anul 2026, Numar persoane, 192
65-69 ani, Total, Harghita, 84148 CORBU, Anul 2026, Numar persoane, 76
65-69 ani, Total, Harghita, 84175 CORUND, Anul 2026, Numar persoane, 261
65-69 ani, Total, Harghita, 86446 COZMENI, Anul 2026, Numar persoane, 90
65-69 ani, Total, Harghita, 84237 DANESTI, Anul 2026, Numar persoane, 106
65-69 ani, Total, Harghita, 84380 DARJIU, Anul 2026, Numar persoane, 38
65-69 ani, Total, Harghita, 84264 DEALU, Anul 2026, Numar persoane, 200
65-69 ani, Total, Harghita, 84344 DITRAU, Anul 2026, Numar persoane, 308
65-69 ani, Total, Harghita, 83197 FELICENI, Anul 2026, Numar persoane, 182
65-69 ani, Total, Harghita, 84415 FRUMOASA, Anul 2026, Numar persoane, 181
65-69 ani, Total, Harghita, 84460 GALAUTAS, Anul 2026, Numar persoane, 113
65-69 ani, Total, Harghita, 84558 JOSENI, Anul 2026, Numar persoane, 272
65-69 ani, Total, Harghita, 84594 LAZAREA, Anul 2026, Numar persoane, 175
65-69 ani, Total, Harghita, 86479 LELICENI, Anul 2026, Numar persoane, 105
65-69 ani, Total, Harghita, 84629 LUETA, Anul 2026, Numar persoane, 174
65-69 ani, Total, Harghita, 84656 LUNCA DE JOS, Anul 2026, Numar persoane, 280
65-69 ani, Total, Harghita, 84754 LUNCA DE SUS, Anul 2026, Numar persoane, 166
65-69 ani, Total, Harghita, 84825 LUPENI, Anul 2026, Numar persoane, 233
65-69 ani, Total, Harghita, 86438 MADARAS, Anul 2026, Numar persoane, 109
65-69 ani, Total, Harghita, 84923 MARTINIS, Anul 2026, Numar persoane, 142
65-69 ani, Total, Harghita, 85056 MERESTI, Anul 2026, Numar persoane, 82
65-69 ani, Total, Harghita, 85074 MIHAILENI, Anul 2026, Numar persoane, 141
65-69 ani, Total, Harghita, 85127 MUGENI, Anul 2026, Numar persoane, 180
65-69 ani, Total, Harghita, 85243 OCLAND, Anul 2026, Numar persoane, 66
65-69 ani, Total, Harghita, 83375 PAULENI-CIUC, Anul 2026, Numar persoane, 82
65-69 ani, Total, Harghita, 85289 PLAIESII DE JOS, Anul 2026, Numar persoane, 109
65-69 ani, Total, Harghita, 86487 PORUMBENI, Anul 2026, Numar persoane, 79
65-69 ani, Total, Harghita, 85341 PRAID, Anul 2026, Numar persoane, 301
65-69 ani, Total, Harghita, 86495 RACU, Anul 2026, Numar persoane, 73
65-69 ani, Total, Harghita, 85412 REMETEA, Anul 2026, Numar persoane, 276
65-69 ani, Total, Harghita, 85467 SACEL, Anul 2026, Numar persoane, 41
65-69 ani, Total, Harghita, 85680 SANCRAIENI, Anul 2026, Numar persoane, 116
65-69 ani, Total, Harghita, 85760 SANDOMINIC, Anul 2026, Numar persoane, 314
65-69 ani, Total, Harghita, 85788 SANMARTIN, Anul 2026, Numar persoane, 95
65-69 ani, Total, Harghita, 85840 SANSIMION, Anul 2026, Numar persoane, 159
65-69 ani, Total, Harghita, 86519 SANTIMBRU, Anul 2026, Numar persoane, 119
65-69 ani, Total, Harghita, 85528 SARMAS, Anul 2026, Numar persoane, 215
65-69 ani, Total, Harghita, 86501 SATU MARE, Anul 2026, Numar persoane, 85
65-69 ani, Total, Harghita, 85582 SECUIENI, Anul 2026, Numar persoane, 125
65-69 ani, Total, Harghita, 85626 SICULENI, Anul 2026, Numar persoane, 132
65-69 ani, Total, Harghita, 85984 SIMONESTI, Anul 2026, Numar persoane, 190
65-69 ani, Total, Harghita, 85877 SUBCETATE, Anul 2026, Numar persoane, 87
65-69 ani, Total, Harghita, 85920 SUSENI, Anul 2026, Numar persoane, 223
65-69 ani, Total, Harghita, 86453 TOMESTI, Anul 2026, Numar persoane, 127
65-69 ani, Total, Harghita, 86133 TULGHES, Anul 2026, Numar persoane, 146
65-69 ani, Total, Harghita, 86188 TUSNAD, Anul 2026, Numar persoane, 109
