Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Ilfov, 179221 ORAS BRAGADIRU, Anul 2026, Numar persoane, 38983
Total, Total, Ilfov, 100576 ORAS BUFTEA, Anul 2026, Numar persoane, 23360
Total, Total, Ilfov, 179285 ORAS CHITILA, Anul 2026, Numar persoane, 16320
Total, Total, Ilfov, 179409 ORAS MAGURELE, Anul 2026, Numar persoane, 14507
Total, Total, Ilfov, 179481 ORAS OTOPENI, Anul 2026, Numar persoane, 23276
Total, Total, Ilfov, 179515 ORAS PANTELIMON, Anul 2026, Numar persoane, 33263
Total, Total, Ilfov, 179533 ORAS POPESTI LEORDENI, Anul 2026, Numar persoane, 51701
Total, Total, Ilfov, 179551 ORAS VOLUNTARI, Anul 2026, Numar persoane, 50126
Total, Total, Ilfov, 102543 1 DECEMBRIE, Anul 2026, Numar persoane, 8962
Total, Total, Ilfov, 100834 AFUMATI, Anul 2026, Numar persoane, 8487
Total, Total, Ilfov, 100969 BALOTESTI, Anul 2026, Numar persoane, 10823
Total, Total, Ilfov, 101145 BERCENI, Anul 2026, Numar persoane, 13282
Total, Total, Ilfov, 101298 BRANESTI, Anul 2026, Numar persoane, 10089
Total, Total, Ilfov, 101742 CERNICA, Anul 2026, Numar persoane, 11480
Total, Total, Ilfov, 179249 CHIAJNA, Anul 2026, Numar persoane, 42968
Total, Total, Ilfov, 101902 CIOLPANI, Anul 2026, Numar persoane, 5219
Total, Total, Ilfov, 101957 CIOROGARLA, Anul 2026, Numar persoane, 6836
Total, Total, Ilfov, 102035 CLINCENI, Anul 2026, Numar persoane, 8791
Total, Total, Ilfov, 179588 COPACENI, Anul 2026, Numar persoane, 2805
Total, Total, Ilfov, 102160 CORBEANCA, Anul 2026, Numar persoane, 12101
Total, Total, Ilfov, 102213 CORNETU, Anul 2026, Numar persoane, 7046
Total, Total, Ilfov, 102525 DARASTI-ILFOV, Anul 2026, Numar persoane, 2572
Total, Total, Ilfov, 102473 DASCALU, Anul 2026, Numar persoane, 3270
Total, Total, Ilfov, 179310 DOBROESTI, Anul 2026, Numar persoane, 15547
Total, Total, Ilfov, 102570 DOMNESTI, Anul 2026, Numar persoane, 12524
Total, Total, Ilfov, 102605 DRAGOMIRESTI-VALE, Anul 2026, Numar persoane, 6705
Total, Total, Ilfov, 103130 GANEASA, Anul 2026, Numar persoane, 5672
Total, Total, Ilfov, 179347 GLINA, Anul 2026, Numar persoane, 8627
Total, Total, Ilfov, 103443 GRADISTEA, Anul 2026, Numar persoane, 3105
Total, Total, Ilfov, 103513 GRUIU, Anul 2026, Numar persoane, 7162
Total, Total, Ilfov, 179383 JILAVA, Anul 2026, Numar persoane, 10760
Total, Total, Ilfov, 104243 MOARA VLASIEI, Anul 2026, Numar persoane, 6792
Total, Total, Ilfov, 179463 MOGOSOAIA, Anul 2026, Numar persoane, 10216
Total, Total, Ilfov, 104421 NUCI, Anul 2026, Numar persoane, 2644
Total, Total, Ilfov, 104546 PERIS, Anul 2026, Numar persoane, 7261
Total, Total, Ilfov, 104582 PETRACHIOAIA, Anul 2026, Numar persoane, 3649
Total, Total, Ilfov, 105160 SNAGOV, Anul 2026, Numar persoane, 8389
Total, Total, Ilfov, 105419 STEFANESTII DE JOS, Anul 2026, Numar persoane, 12392
Total, Total, Ilfov, 105570 TUNARI, Anul 2026, Numar persoane, 10822
Total, Total, Ilfov, 105936 VIDRA, Anul 2026, Numar persoane, 9338
65-69 ani, Total, Ilfov, 179221 ORAS BRAGADIRU, Anul 2026, Numar persoane, 1331
65-69 ani, Total, Ilfov, 100576 ORAS BUFTEA, Anul 2026, Numar persoane, 1273
65-69 ani, Total, Ilfov, 179285 ORAS CHITILA, Anul 2026, Numar persoane, 803
65-69 ani, Total, Ilfov, 179409 ORAS MAGURELE, Anul 2026, Numar persoane, 757
65-69 ani, Total, Ilfov, 179481 ORAS OTOPENI, Anul 2026, Numar persoane, 970
65-69 ani, Total, Ilfov, 179515 ORAS PANTELIMON, Anul 2026, Numar persoane, 1642
65-69 ani, Total, Ilfov, 179533 ORAS POPESTI LEORDENI, Anul 2026, Numar persoane, 1859
65-69 ani, Total, Ilfov, 179551 ORAS VOLUNTARI, Anul 2026, Numar persoane, 2384
65-69 ani, Total, Ilfov, 102543 1 DECEMBRIE, Anul 2026, Numar persoane, 448
65-69 ani, Total, Ilfov, 100834 AFUMATI, Anul 2026, Numar persoane, 428
