Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2026, Numar persoane, 133356
Total, Total, Maramures, 106559 MUNICIPIUL SIGHETU MARMATIEI, Anul 2026, Numar persoane, 40600
Total, Total, Maramures, 106684 ORAS BAIA SPRIE, Anul 2026, Numar persoane, 16859
Total, Total, Maramures, 106746 ORAS BORSA, Anul 2026, Numar persoane, 28653
Total, Total, Maramures, 106782 ORAS CAVNIC, Anul 2026, Numar persoane, 4715
Total, Total, Maramures, 108017 ORAS DRAGOMIRESTI, Anul 2026, Numar persoane, 3012
Total, Total, Maramures, 108892 ORAS SALISTEA DE SUS, Anul 2026, Numar persoane, 4713
Total, Total, Maramures, 108963 ORAS SEINI, Anul 2026, Numar persoane, 9491
Total, Total, Maramures, 109176 ORAS SOMCUTA MARE, Anul 2026, Numar persoane, 8058
Total, Total, Maramures, 106817 ORAS TARGU LAPUS, Anul 2026, Numar persoane, 12456
Total, Total, Maramures, 106461 ORAS TAUTII-MAGHERAUS, Anul 2026, Numar persoane, 10219
Total, Total, Maramures, 109265 ORAS ULMENI, Anul 2026, Numar persoane, 7543
Total, Total, Maramures, 106979 ORAS VISEU DE SUS, Anul 2026, Numar persoane, 16904
Total, Total, Maramures, 107001 ARDUSAT, Anul 2026, Numar persoane, 2979
Total, Total, Maramures, 107047 ARINIS, Anul 2026, Numar persoane, 1079
Total, Total, Maramures, 107083 ASUAJU DE SUS, Anul 2026, Numar persoane, 1153
Total, Total, Maramures, 107118 BAITA DE SUB CODRU, Anul 2026, Numar persoane, 1922
Total, Total, Maramures, 107154 BAIUT, Anul 2026, Numar persoane, 2072
Total, Total, Maramures, 107314 BARSANA, Anul 2026, Numar persoane, 4582
Total, Total, Maramures, 107190 BASESTI, Anul 2026, Numar persoane, 1285
Total, Total, Maramures, 107234 BICAZ, Anul 2026, Numar persoane, 916
Total, Total, Maramures, 107270 BISTRA, Anul 2026, Numar persoane, 4156
Total, Total, Maramures, 107350 BOCICOIU MARE, Anul 2026, Numar persoane, 4502
Total, Total, Maramures, 107403 BOGDAN VODA, Anul 2026, Numar persoane, 2784
Total, Total, Maramures, 107430 BOIU MARE, Anul 2026, Numar persoane, 1076
Total, Total, Maramures, 107485 BOTIZA, Anul 2026, Numar persoane, 2385
Total, Total, Maramures, 107519 BUDESTI, Anul 2026, Numar persoane, 2790
Total, Total, Maramures, 107546 CALINESTI, Anul 2026, Numar persoane, 3069
Total, Total, Maramures, 107715 CAMPULUNG LA TISA, Anul 2026, Numar persoane, 2429
Total, Total, Maramures, 107582 CERNESTI, Anul 2026, Numar persoane, 3518
Total, Total, Maramures, 107662 CICARLAU, Anul 2026, Numar persoane, 4562
Total, Total, Maramures, 179837 COAS, Anul 2026, Numar persoane, 1444
Total, Total, Maramures, 179846 COLTAU, Anul 2026, Numar persoane, 3355
Total, Total, Maramures, 107733 COPALNIC-MANASTUR, Anul 2026, Numar persoane, 5574
Total, Total, Maramures, 107868 COROIENI, Anul 2026, Numar persoane, 2653
Total, Total, Maramures, 107920 CUPSENI, Anul 2026, Numar persoane, 3066
Total, Total, Maramures, 107975 DESESTI, Anul 2026, Numar persoane, 2202
Total, Total, Maramures, 108035 DUMBRAVITA, Anul 2026, Numar persoane, 4389
Total, Total, Maramures, 108106 FARCASA, Anul 2026, Numar persoane, 4234
Total, Total, Maramures, 179855 GARDANI, Anul 2026, Numar persoane, 1325
Total, Total, Maramures, 108151 GIULESTI, Anul 2026, Numar persoane, 3122
Total, Total, Maramures, 106363 GROSI, Anul 2026, Numar persoane, 4176
Total, Total, Maramures, 179622 GROSII TIBLESULUI, Anul 2026, Numar persoane, 2036
Total, Total, Maramures, 108204 IEUD, Anul 2026, Numar persoane, 4396
Total, Total, Maramures, 108222 LAPUS, Anul 2026, Numar persoane, 3410
Total, Total, Maramures, 108240 LEORDINA, Anul 2026, Numar persoane, 2342
Total, Total, Maramures, 108268 MIRESU MARE, Anul 2026, Numar persoane, 4656
Total, Total, Maramures, 108348 MOISEI, Anul 2026, Numar persoane, 9534
Total, Total, Maramures, 108366 OARTA DE JOS, Anul 2026, Numar persoane, 1091
Total, Total, Maramures, 108400 OCNA SUGATAG, Anul 2026, Numar persoane, 4122
Total, Total, Maramures, 179864 ONCESTI, Anul 2026, Numar persoane, 1479
Total, Total, Maramures, 108455 PETROVA, Anul 2026, Numar persoane, 2334
Total, Total, Maramures, 108473 POIENILE DE SUB MUNTE, Anul 2026, Numar persoane, 10223
Total, Total, Maramures, 179604 POIENILE IZEI, Anul 2026, Numar persoane, 740
Total, Total, Maramures, 106407 RECEA, Anul 2026, Numar persoane, 7693
Total, Total, Maramures, 108491 REMETEA CHIOARULUI, Anul 2026, Numar persoane, 2981
Total, Total, Maramures, 108552 REMETI, Anul 2026, Numar persoane, 3138
Total, Total, Maramures, 108598 REPEDEA, Anul 2026, Numar persoane, 5005
Total, Total, Maramures, 108614 RONA DE JOS, Anul 2026, Numar persoane, 1915
Total, Total, Maramures, 108632 RONA DE SUS, Anul 2026, Numar persoane, 4280
Total, Total, Maramures, 108669 ROZAVLEA, Anul 2026, Numar persoane, 3262
Total, Total, Maramures, 108696 RUSCOVA, Anul 2026, Numar persoane, 5508
Total, Total, Maramures, 108794 SACALASENI, Anul 2026, Numar persoane, 2573
Total, Total, Maramures, 108874 SACEL, Anul 2026, Numar persoane, 3109
Total, Total, Maramures, 108918 SALSIG, Anul 2026, Numar persoane, 1718
Total, Total, Maramures, 108945 SAPANTA, Anul 2026, Numar persoane, 3193
Total, Total, Maramures, 106620 SARASAU, Anul 2026, Numar persoane, 2854
Total, Total, Maramures, 108712 SATULUNG, Anul 2026, Numar persoane, 6992
Total, Total, Maramures, 179613 SIEU, Anul 2026, Numar persoane, 2322
Total, Total, Maramures, 109096 SISESTI, Anul 2026, Numar persoane, 5282
Total, Total, Maramures, 109005 STRAMTURA, Anul 2026, Numar persoane, 3266
Total, Total, Maramures, 109041 SUCIU DE SUS, Anul 2026, Numar persoane, 3723
Total, Total, Maramures, 106648 VADU IZEI, Anul 2026, Numar persoane, 2823
Total, Total, Maramures, 109354 VALEA CHIOARULUI, Anul 2026, Numar persoane, 1925
Total, Total, Maramures, 109425 VIMA MICA, Anul 2026, Numar persoane, 1280
Total, Total, Maramures, 109504 VISEU DE JOS, Anul 2026, Numar persoane, 4808
65-69 ani, Total, Maramures, 106318 MUNICIPIUL BAIA MARE, Anul 2026, Numar persoane, 8655
65-69 ani, Total, Maramures, 106559 MUNICIPIUL SIGHETU MARMATIEI, Anul 2026, Numar persoane, 2526
65-69 ani, Total, Maramures, 106684 ORAS BAIA SPRIE, Anul 2026, Numar persoane, 924
65-69 ani, Total, Maramures, 106746 ORAS BORSA, Anul 2026, Numar persoane, 1340
65-69 ani, Total, Maramures, 106782 ORAS CAVNIC, Anul 2026, Numar persoane, 271
65-69 ani, Total, Maramures, 108017 ORAS DRAGOMIRESTI, Anul 2026, Numar persoane, 166
65-69 ani, Total, Maramures, 108892 ORAS SALISTEA DE SUS, Anul 2026, Numar persoane, 287
65-69 ani, Total, Maramures, 108963 ORAS SEINI, Anul 2026, Numar persoane, 517
65-69 ani, Total, Maramures, 109176 ORAS SOMCUTA MARE, Anul 2026, Numar persoane, 409
65-69 ani, Total, Maramures, 106817 ORAS TARGU LAPUS, Anul 2026, Numar persoane, 779
65-69 ani, Total, Maramures, 106461 ORAS TAUTII-MAGHERAUS, Anul 2026, Numar persoane, 501
65-69 ani, Total, Maramures, 109265 ORAS ULMENI, Anul 2026, Numar persoane, 346
65-69 ani, Total, Maramures, 106979 ORAS VISEU DE SUS, Anul 2026, Numar persoane, 969
65-69 ani, Total, Maramures, 107001 ARDUSAT, Anul 2026, Numar persoane, 134
65-69 ani, Total, Maramures, 107047 ARINIS, Anul 2026, Numar persoane, 66
65-69 ani, Total, Maramures, 107083 ASUAJU DE SUS, Anul 2026, Numar persoane, 61
65-69 ani, Total, Maramures, 107118 BAITA DE SUB CODRU, Anul 2026, Numar persoane, 77
65-69 ani, Total, Maramures, 107154 BAIUT, Anul 2026, Numar persoane, 133
65-69 ani, Total, Maramures, 107314 BARSANA, Anul 2026, Numar persoane, 266
65-69 ani, Total, Maramures, 107190 BASESTI, Anul 2026, Numar persoane, 51
65-69 ani, Total, Maramures, 107234 BICAZ, Anul 2026, Numar persoane, 48
65-69 ani, Total, Maramures, 107270 BISTRA, Anul 2026, Numar persoane, 193
65-69 ani, Total, Maramures, 107350 BOCICOIU MARE, Anul 2026, Numar persoane, 250
65-69 ani, Total, Maramures, 107403 BOGDAN VODA, Anul 2026, Numar persoane, 159
65-69 ani, Total, Maramures, 107430 BOIU MARE, Anul 2026, Numar persoane, 69
65-69 ani, Total, Maramures, 107485 BOTIZA, Anul 2026, Numar persoane, 120
65-69 ani, Total, Maramures, 107519 BUDESTI, Anul 2026, Numar persoane, 160
65-69 ani, Total, Maramures, 107546 CALINESTI, Anul 2026, Numar persoane, 201
65-69 ani, Total, Maramures, 107715 CAMPULUNG LA TISA, Anul 2026, Numar persoane, 132
65-69 ani, Total, Maramures, 107582 CERNESTI, Anul 2026, Numar persoane, 168
65-69 ani, Total, Maramures, 107662 CICARLAU, Anul 2026, Numar persoane, 204
65-69 ani, Total, Maramures, 179837 COAS, Anul 2026, Numar persoane, 104
65-69 ani, Total, Maramures, 179846 COLTAU, Anul 2026, Numar persoane, 124
65-69 ani, Total, Maramures, 107733 COPALNIC-MANASTUR, Anul 2026, Numar persoane, 297
65-69 ani, Total, Maramures, 107868 COROIENI, Anul 2026, Numar persoane, 99
65-69 ani, Total, Maramures, 107920 CUPSENI, Anul 2026, Numar persoane, 207
65-69 ani, Total, Maramures, 107975 DESESTI, Anul 2026, Numar persoane, 122
65-69 ani, Total, Maramures, 108035 DUMBRAVITA, Anul 2026, Numar persoane, 250
65-69 ani, Total, Maramures, 108106 FARCASA, Anul 2026, Numar persoane, 216
65-69 ani, Total, Maramures, 179855 GARDANI, Anul 2026, Numar persoane, 78
65-69 ani, Total, Maramures, 108151 GIULESTI, Anul 2026, Numar persoane, 209
65-69 ani, Total, Maramures, 106363 GROSI, Anul 2026, Numar persoane, 205
65-69 ani, Total, Maramures, 179622 GROSII TIBLESULUI, Anul 2026, Numar persoane, 105
65-69 ani, Total, Maramures, 108204 IEUD, Anul 2026, Numar persoane, 192
65-69 ani, Total, Maramures, 108222 LAPUS, Anul 2026, Numar persoane, 187
65-69 ani, Total, Maramures, 108240 LEORDINA, Anul 2026, Numar persoane, 142
65-69 ani, Total, Maramures, 108268 MIRESU MARE, Anul 2026, Numar persoane, 258
65-69 ani, Total, Maramures, 108348 MOISEI, Anul 2026, Numar persoane, 506
65-69 ani, Total, Maramures, 108366 OARTA DE JOS, Anul 2026, Numar persoane, 71
65-69 ani, Total, Maramures, 108400 OCNA SUGATAG, Anul 2026, Numar persoane, 248
65-69 ani, Total, Maramures, 179864 ONCESTI, Anul 2026, Numar persoane, 93
65-69 ani, Total, Maramures, 108455 PETROVA, Anul 2026, Numar persoane, 124
65-69 ani, Total, Maramures, 108473 POIENILE DE SUB MUNTE, Anul 2026, Numar persoane, 352
65-69 ani, Total, Maramures, 179604 POIENILE IZEI, Anul 2026, Numar persoane, 56
65-69 ani, Total, Maramures, 106407 RECEA, Anul 2026, Numar persoane, 387
65-69 ani, Total, Maramures, 108491 REMETEA CHIOARULUI, Anul 2026, Numar persoane, 144
