Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Mehedinti, 109773 MUNICIPIUL DROBETA-TURNU SEVERIN, Anul 2026, Numar persoane, 96373
Total, Total, Mehedinti, 110063 MUNICIPIUL ORSOVA, Anul 2026, Numar persoane, 11031
Total, Total, Mehedinti, 109924 ORAS BAIA DE ARAMA, Anul 2026, Numar persoane, 5228
Total, Total, Mehedinti, 110116 ORAS STREHAIA, Anul 2026, Numar persoane, 10335
Total, Total, Mehedinti, 110232 ORAS VANJU MARE, Anul 2026, Numar persoane, 5648
Total, Total, Mehedinti, 110571 BACLES, Anul 2026, Numar persoane, 1537
Total, Total, Mehedinti, 110296 BALA, Anul 2026, Numar persoane, 3341
Total, Total, Mehedinti, 110535 BALACITA, Anul 2026, Numar persoane, 2395
Total, Total, Mehedinti, 110456 BALTA, Anul 2026, Numar persoane, 833
Total, Total, Mehedinti, 110688 BALVANESTI, Anul 2026, Numar persoane, 832
Total, Total, Mehedinti, 114060 BRANISTEA, Anul 2026, Numar persoane, 1682
Total, Total, Mehedinti, 110740 BREZNITA-MOTRU, Anul 2026, Numar persoane, 1163
Total, Total, Mehedinti, 110820 BREZNITA-OCOL, Anul 2026, Numar persoane, 3912
Total, Total, Mehedinti, 110875 BROSTENI, Anul 2026, Numar persoane, 2611
Total, Total, Mehedinti, 110946 BURILA MARE, Anul 2026, Numar persoane, 1902
Total, Total, Mehedinti, 111006 BUTOIESTI, Anul 2026, Numar persoane, 3116
Total, Total, Mehedinti, 111097 CAZANESTI, Anul 2026, Numar persoane, 1967
Total, Total, Mehedinti, 111220 CIRESU, Anul 2026, Numar persoane, 463
Total, Total, Mehedinti, 111275 CORCOVA, Anul 2026, Numar persoane, 5948
Total, Total, Mehedinti, 111417 CORLATEL, Anul 2026, Numar persoane, 1269
Total, Total, Mehedinti, 111444 CUJMIR, Anul 2026, Numar persoane, 3029
