Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Mures, 114319 MUNICIPIUL TARGU MURES, Anul 2026, Numar persoane, 137273
Total, Total, Mures, 114809 MUNICIPIUL REGHIN, Anul 2026, Numar persoane, 35137
Total, Total, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2026, Numar persoane, 31045
Total, Total, Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2026, Numar persoane, 23735
Total, Total, Mures, 117827 ORAS IERNUT, Anul 2026, Numar persoane, 9464
Total, Total, Mures, 114710 ORAS LUDUS, Anul 2026, Numar persoane, 16608
Total, Total, Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2026, Numar persoane, 5977
Total, Total, Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2026, Numar persoane, 5216
Total, Total, Mures, 119242 ORAS SARMASU, Anul 2026, Numar persoane, 6452
Total, Total, Mures, 114854 ORAS SOVATA, Anul 2026, Numar persoane, 9945
Total, Total, Mures, 119894 ORAS UNGHENI, Anul 2026, Numar persoane, 8045
Total, Total, Mures, 114970 ACATARI, Anul 2026, Numar persoane, 4793
Total, Total, Mures, 115076 ADAMUS, Anul 2026, Numar persoane, 5156
Total, Total, Mures, 114603 ALBESTI, Anul 2026, Numar persoane, 6306
Total, Total, Mures, 115147 ALUNIS, Anul 2026, Numar persoane, 2965
Total, Total, Mures, 115183 APOLD, Anul 2026, Numar persoane, 3303
Total, Total, Mures, 115236 ATINTIS, Anul 2026, Numar persoane, 1411
Total, Total, Mures, 115575 BAGACIU, Anul 2026, Numar persoane, 2595
Total, Total, Mures, 115307 BAHNEA, Anul 2026, Numar persoane, 3656
Total, Total, Mures, 115600 BALA, Anul 2026, Numar persoane, 535
Total, Total, Mures, 115637 BALAUSERI, Anul 2026, Numar persoane, 4838
Total, Total, Mures, 115389 BAND, Anul 2026, Numar persoane, 6697
Total, Total, Mures, 115520 BATOS, Anul 2026, Numar persoane, 4212
Total, Total, Mures, 115708 BEICA DE JOS, Anul 2026, Numar persoane, 2159
Total, Total, Mures, 120511 BERENI, Anul 2026, Numar persoane, 1250
Total, Total, Mures, 115771 BICHIS, Anul 2026, Numar persoane, 732
Total, Total, Mures, 115824 BOGATA, Anul 2026, Numar persoane, 1796
Total, Total, Mures, 115897 BRANCOVENESTI, Anul 2026, Numar persoane, 3729
Total, Total, Mures, 115851 BREAZA, Anul 2026, Numar persoane, 2421
Total, Total, Mures, 115959 CEUASU DE CAMPIE, Anul 2026, Numar persoane, 6269
Total, Total, Mures, 116046 CHETANI, Anul 2026, Numar persoane, 2416
Total, Total, Mures, 120478 CHIBED, Anul 2026, Numar persoane, 1730
Total, Total, Mures, 116126 CHIHERU DE JOS, Anul 2026, Numar persoane, 1507
Total, Total, Mures, 116171 COROISANMARTIN, Anul 2026, Numar persoane, 1523
Total, Total, Mures, 120487 CORUNCA, Anul 2026, Numar persoane, 4643
Total, Total, Mures, 116224 COZMA, Anul 2026, Numar persoane, 455
Total, Total, Mures, 116288 CRACIUNESTI, Anul 2026, Numar persoane, 4529
Total, Total, Mures, 116340 CRAIESTI, Anul 2026, Numar persoane, 778
Total, Total, Mures, 114355 CRISTESTI, Anul 2026, Numar persoane, 6147
Total, Total, Mures, 116395 CUCERDEA, Anul 2026, Numar persoane, 1235
Total, Total, Mures, 116439 CUCI, Anul 2026, Numar persoane, 1776
Total, Total, Mures, 116493 DANES, Anul 2026, Numar persoane, 5978
Total, Total, Mures, 116545 DEDA, Anul 2026, Numar persoane, 4139
Total, Total, Mures, 116590 EREMITU, Anul 2026, Numar persoane, 4024
Total, Total, Mures, 116652 ERNEI, Anul 2026, Numar persoane, 6392
Total, Total, Mures, 116796 FANTANELE, Anul 2026, Numar persoane, 4754
Total, Total, Mures, 116723 FARAGAU, Anul 2026, Numar persoane, 1703
Total, Total, Mures, 116867 GALESTI, Anul 2026, Numar persoane, 2361
Total, Total, Mures, 116938 GANESTI, Anul 2026, Numar persoane, 3427
Total, Total, Mures, 116983 GHEORGHE DOJA, Anul 2026, Numar persoane, 3055
Total, Total, Mures, 117042 GHINDARI, Anul 2026, Numar persoane, 3345
Total, Total, Mures, 117113 GLODENI, Anul 2026, Numar persoane, 3670
Total, Total, Mures, 117177 GORNESTI, Anul 2026, Numar persoane, 5529
Total, Total, Mures, 117275 GREBENISU DE CAMPIE, Anul 2026, Numar persoane, 1753
Total, Total, Mures, 117319 GURGHIU, Anul 2026, Numar persoane, 5919
Total, Total, Mures, 117426 HODAC, Anul 2026, Numar persoane, 5005
Total, Total, Mures, 117505 HODOSA, Anul 2026, Numar persoane, 1181
Total, Total, Mures, 117550 IBANESTI, Anul 2026, Numar persoane, 4194
Total, Total, Mures, 117667 ICLANZEL, Anul 2026, Numar persoane, 1920
Total, Total, Mures, 117783 IDECIU DE JOS, Anul 2026, Numar persoane, 2257
Total, Total, Mures, 117925 LIVEZENI, Anul 2026, Numar persoane, 4952
Total, Total, Mures, 117998 LUNCA, Anul 2026, Numar persoane, 2194
Total, Total, Mures, 118058 LUNCA BRADULUI, Anul 2026, Numar persoane, 1822
Total, Total, Mures, 120502 MADARAS, Anul 2026, Numar persoane, 1586
Total, Total, Mures, 118094 MAGHERANI, Anul 2026, Numar persoane, 1353
Total, Total, Mures, 118209 MICA, Anul 2026, Numar persoane, 4856
Total, Total, Mures, 118370 MIHESU DE CAMPIE, Anul 2026, Numar persoane, 2314
Total, Total, Mures, 118469 NADES, Anul 2026, Numar persoane, 3152
Total, Total, Mures, 118511 NEAUA, Anul 2026, Numar persoane, 1306
Total, Total, Mures, 118575 OGRA, Anul 2026, Numar persoane, 2674
Total, Total, Mures, 118691 PANET, Anul 2026, Numar persoane, 5982
Total, Total, Mures, 118637 PAPIU ILARIAN, Anul 2026, Numar persoane, 807
Total, Total, Mures, 118753 PASARENI, Anul 2026, Numar persoane, 1796
Total, Total, Mures, 118799 PETELEA, Anul 2026, Numar persoane, 3150
Total, Total, Mures, 118824 POGACEAUA, Anul 2026, Numar persoane, 1970
Total, Total, Mures, 118995 RACIU, Anul 2026, Numar persoane, 3502
Total, Total, Mures, 118931 RASTOLITA, Anul 2026, Numar persoane, 1728
Total, Total, Mures, 119153 RUSII-MUNTI, Anul 2026, Numar persoane, 2023
Total, Total, Mures, 114382 SANCRAIU DE MURES, Anul 2026, Numar persoane, 11605
Total, Total, Mures, 114417 SANGEORGIU DE MURES, Anul 2026, Numar persoane, 11207
Total, Total, Mures, 119386 SANGER, Anul 2026, Numar persoane, 2246
Total, Total, Mures, 119466 SANPAUL, Anul 2026, Numar persoane, 4577
Total, Total, Mures, 119527 SANPETRU DE CAMPIE, Anul 2026, Numar persoane, 2568
Total, Total, Mures, 114453 SANTANA DE MURES, Anul 2026, Numar persoane, 6743
Total, Total, Mures, 120496 SARATENI, Anul 2026, Numar persoane, 1650
Total, Total, Mures, 119206 SASCHIZ, Anul 2026, Numar persoane, 2192
Total, Total, Mures, 119750 SAULIA, Anul 2026, Numar persoane, 2011
