Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Neamt, 120726 MUNICIPIUL PIATRA-NEAMT, Anul 2026, Numar persoane, 104420
Total, Total, Neamt, 120860 MUNICIPIUL ROMAN, Anul 2026, Numar persoane, 63432
Total, Total, Neamt, 120968 ORAS BICAZ, Anul 2026, Numar persoane, 7496
Total, Total, Neamt, 124117 ORAS ROZNOV, Anul 2026, Numar persoane, 10168
Total, Total, Neamt, 121055 ORAS TARGU NEAMT, Anul 2026, Numar persoane, 22882
Total, Total, Neamt, 121108 AGAPIA, Anul 2026, Numar persoane, 4038
Total, Total, Neamt, 124938 ALEXANDRU CEL BUN, Anul 2026, Numar persoane, 6080
Total, Total, Neamt, 121153 BAHNA, Anul 2026, Numar persoane, 3133
Total, Total, Neamt, 121242 BALTATESTI, Anul 2026, Numar persoane, 3839
Total, Total, Neamt, 121466 BARGAUANI, Anul 2026, Numar persoane, 3078
Total, Total, Neamt, 121297 BICAZ-CHEI, Anul 2026, Numar persoane, 4311
Total, Total, Neamt, 121340 BICAZU ARDELEAN, Anul 2026, Numar persoane, 3443
Total, Total, Neamt, 121386 BIRA, Anul 2026, Numar persoane, 1850
Total, Total, Neamt, 121607 BODESTI, Anul 2026, Numar persoane, 4341
Total, Total, Neamt, 125178 BOGHICEA, Anul 2026, Numar persoane, 2530
Total, Total, Neamt, 121652 BORCA, Anul 2026, Numar persoane, 6235
Total, Total, Neamt, 121732 BORLESTI, Anul 2026, Numar persoane, 9006
Total, Total, Neamt, 121796 BOTESTI, Anul 2026, Numar persoane, 4870
Total, Total, Neamt, 121876 BOZIENI, Anul 2026, Numar persoane, 2711
Total, Total, Neamt, 121938 BRUSTURI, Anul 2026, Numar persoane, 3695
Total, Total, Neamt, 122061 CANDESTI, Anul 2026, Numar persoane, 3890
Total, Total, Neamt, 122025 CEAHLAU, Anul 2026, Numar persoane, 2313
Total, Total, Neamt, 120888 CORDUN, Anul 2026, Numar persoane, 8353
Total, Total, Neamt, 122132 COSTISA, Anul 2026, Numar persoane, 3327
Total, Total, Neamt, 122187 CRACAOANI, Anul 2026, Numar persoane, 4108
Total, Total, Neamt, 122249 DAMUC, Anul 2026, Numar persoane, 2845
Total, Total, Neamt, 122285 DOBRENI, Anul 2026, Numar persoane, 1823
Total, Total, Neamt, 125098 DOCHIA, Anul 2026, Numar persoane, 2431
Total, Total, Neamt, 122347 DOLJESTI, Anul 2026, Numar persoane, 7328
Total, Total, Neamt, 125132 DRAGANESTI, Anul 2026, Numar persoane, 1475
Total, Total, Neamt, 122392 DRAGOMIRESTI, Anul 2026, Numar persoane, 2020
Total, Total, Neamt, 122463 DULCESTI, Anul 2026, Numar persoane, 2395
Total, Total, Neamt, 120771 DUMBRAVA ROSIE, Anul 2026, Numar persoane, 8980
Total, Total, Neamt, 122551 FARCASA, Anul 2026, Numar persoane, 3003
Total, Total, Neamt, 122613 FAUREI, Anul 2026, Numar persoane, 1971
Total, Total, Neamt, 125150 GADINTI, Anul 2026, Numar persoane, 2392
Total, Total, Neamt, 122828 GARCINA, Anul 2026, Numar persoane, 4828
Total, Total, Neamt, 122668 GHERAESTI, Anul 2026, Numar persoane, 6509
Total, Total, Neamt, 125114 GHINDAOANI, Anul 2026, Numar persoane, 1709
Total, Total, Neamt, 122702 GIROV, Anul 2026, Numar persoane, 5071
Total, Total, Neamt, 122864 GRINTIES, Anul 2026, Numar persoane, 2247
Total, Total, Neamt, 122908 GRUMAZESTI, Anul 2026, Numar persoane, 4869
Total, Total, Neamt, 122953 HANGU, Anul 2026, Numar persoane, 3414
Total, Total, Neamt, 120922 HORIA, Anul 2026, Numar persoane, 7130
Total, Total, Neamt, 123013 ICUSESTI, Anul 2026, Numar persoane, 4692
Total, Total, Neamt, 123102 ION CREANGA, Anul 2026, Numar persoane, 5544
Total, Total, Neamt, 123175 MARGINENI, Anul 2026, Numar persoane, 3404
Total, Total, Neamt, 123228 MOLDOVENI, Anul 2026, Numar persoane, 1887
Total, Total, Neamt, 125169 NEGRESTI, Anul 2026, Numar persoane, 1680
Total, Total, Neamt, 123255 ONICENI, Anul 2026, Numar persoane, 3668
Total, Total, Neamt, 125141 PANCESTI, Anul 2026, Numar persoane, 1384
Total, Total, Neamt, 123601 PANGARATI, Anul 2026, Numar persoane, 5313
Total, Total, Neamt, 123371 PASTRAVENI, Anul 2026, Numar persoane, 3864
Total, Total, Neamt, 123424 PETRICANI, Anul 2026, Numar persoane, 6083
Total, Total, Neamt, 123479 PIATRA SOIMULUI, Anul 2026, Numar persoane, 8110
Total, Total, Neamt, 123521 PIPIRIG, Anul 2026, Numar persoane, 8842
Total, Total, Neamt, 123674 PODOLENI, Anul 2026, Numar persoane, 5204
Total, Total, Neamt, 123790 POIANA TEIULUI, Anul 2026, Numar persoane, 4577
Total, Total, Neamt, 123709 POIENARI, Anul 2026, Numar persoane, 1463
Total, Total, Neamt, 123914 RAUCESTI, Anul 2026, Numar persoane, 8129
Total, Total, Neamt, 123969 RAZBOIENI, Anul 2026, Numar persoane, 1942
Total, Total, Neamt, 124028 REDIU, Anul 2026, Numar persoane, 5118
Total, Total, Neamt, 124073 ROMANI, Anul 2026, Numar persoane, 3881
Total, Total, Neamt, 125105 RUGINOASA, Anul 2026, Numar persoane, 1683
Total, Total, Neamt, 124206 SABAOANI, Anul 2026, Numar persoane, 11592
Total, Total, Neamt, 124153 SAGNA, Anul 2026, Numar persoane, 5056
Total, Total, Neamt, 120824 SAVINESTI, Anul 2026, Numar persoane, 7277
