Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Prahova, 130534 MUNICIPIUL PLOIESTI, Anul 2026, Numar persoane, 205427
Total, Total, Prahova, 131256 MUNICIPIUL CAMPINA, Anul 2026, Numar persoane, 33272
Total, Total, Prahova, 130954 ORAS AZUGA, Anul 2026, Numar persoane, 4340
Total, Total, Prahova, 130981 ORAS BAICOI, Anul 2026, Numar persoane, 17754
Total, Total, Prahova, 131069 ORAS BOLDESTI-SCAENI, Anul 2026, Numar persoane, 11367
Total, Total, Prahova, 131103 ORAS BREAZA, Anul 2026, Numar persoane, 15069
Total, Total, Prahova, 131210 ORAS BUSTENI, Anul 2026, Numar persoane, 8738
Total, Total, Prahova, 131336 ORAS COMARNIC, Anul 2026, Numar persoane, 11147
Total, Total, Prahova, 131407 ORAS MIZIL, Anul 2026, Numar persoane, 15183
Total, Total, Prahova, 131443 ORAS PLOPENI, Anul 2026, Numar persoane, 7855
Total, Total, Prahova, 131540 ORAS SINAIA, Anul 2026, Numar persoane, 10091
Total, Total, Prahova, 131577 ORAS SLANIC, Anul 2026, Numar persoane, 4842
Total, Total, Prahova, 131620 ORAS URLATI, Anul 2026, Numar persoane, 10977
Total, Total, Prahova, 131817 ORAS VALENII DE MUNTE, Anul 2026, Numar persoane, 13172
Total, Total, Prahova, 131899 ADUNATI, Anul 2026, Numar persoane, 1868
Total, Total, Prahova, 131933 ALBESTI-PALEOLOGU, Anul 2026, Numar persoane, 5244
Total, Total, Prahova, 131988 ALUNIS, Anul 2026, Numar persoane, 3003
Total, Total, Prahova, 132011 APOSTOLACHE, Anul 2026, Numar persoane, 1877
Total, Total, Prahova, 132075 ARICESTII RAHTIVANI, Anul 2026, Numar persoane, 8009
Total, Total, Prahova, 132137 ARICESTII ZELETIN, Anul 2026, Numar persoane, 1023
Total, Total, Prahova, 132164 BABA ANA, Anul 2026, Numar persoane, 3944
Total, Total, Prahova, 132226 BALTA DOAMNEI, Anul 2026, Numar persoane, 2285
Total, Total, Prahova, 132271 BALTESTI, Anul 2026, Numar persoane, 3636
Total, Total, Prahova, 132315 BANESTI, Anul 2026, Numar persoane, 5418
Total, Total, Prahova, 130552 BARCANESTI, Anul 2026, Numar persoane, 9130
Total, Total, Prahova, 136278 BATRANI, Anul 2026, Numar persoane, 1929
Total, Total, Prahova, 130614 BERCENI, Anul 2026, Numar persoane, 6324
Total, Total, Prahova, 132342 BERTEA, Anul 2026, Numar persoane, 2793
Total, Total, Prahova, 130678 BLEJOI, Anul 2026, Numar persoane, 9915
Total, Total, Prahova, 132379 BOLDESTI-GRADISTEA, Anul 2026, Numar persoane, 1427
Total, Total, Prahova, 130712 BRAZI, Anul 2026, Numar persoane, 8288
Total, Total, Prahova, 132404 BREBU, Anul 2026, Numar persoane, 6734
Total, Total, Prahova, 130785 BUCOV, Anul 2026, Numar persoane, 11845
Total, Total, Prahova, 132459 CALUGARENI, Anul 2026, Numar persoane, 1072
Total, Total, Prahova, 132486 CARBUNESTI, Anul 2026, Numar persoane, 1571
Total, Total, Prahova, 132510 CEPTURA, Anul 2026, Numar persoane, 4182
Total, Total, Prahova, 132574 CERASU, Anul 2026, Numar persoane, 4192
Total, Total, Prahova, 132645 CHIOJDEANCA, Anul 2026, Numar persoane, 1437
Total, Total, Prahova, 132681 CIORANI, Anul 2026, Numar persoane, 6174
Total, Total, Prahova, 136241 COCORASTII COLT, Anul 2026, Numar persoane, 2790
Total, Total, Prahova, 132716 COCORASTII MISLII, Anul 2026, Numar persoane, 3136
Total, Total, Prahova, 132752 COLCEAG, Anul 2026, Numar persoane, 4330
Total, Total, Prahova, 132805 CORNU, Anul 2026, Numar persoane, 4120
Total, Total, Prahova, 132841 COSMINELE, Anul 2026, Numar persoane, 883
Total, Total, Prahova, 133018 DRAGANESTI, Anul 2026, Numar persoane, 4573
Total, Total, Prahova, 132896 DRAJNA, Anul 2026, Numar persoane, 5165
Total, Total, Prahova, 133090 DUMBRAVA, Anul 2026, Numar persoane, 4434
Total, Total, Prahova, 131461 DUMBRAVESTI, Anul 2026, Numar persoane, 3429
Total, Total, Prahova, 133278 FANTANELE, Anul 2026, Numar persoane, 1849
Total, Total, Prahova, 133161 FILIPESTII DE PADURE, Anul 2026, Numar persoane, 10144
Total, Total, Prahova, 133214 FILIPESTII DE TARG, Anul 2026, Numar persoane, 8174
Total, Total, Prahova, 133330 FLORESTI, Anul 2026, Numar persoane, 7371
Total, Total, Prahova, 133394 FULGA, Anul 2026, Numar persoane, 2867
Total, Total, Prahova, 133429 GHERGHITA, Anul 2026, Numar persoane, 1945
Total, Total, Prahova, 133508 GORGOTA, Anul 2026, Numar persoane, 4587
Total, Total, Prahova, 133562 GORNET, Anul 2026, Numar persoane, 2644
Total, Total, Prahova, 133615 GORNET-CRICOV, Anul 2026, Numar persoane, 2012
Total, Total, Prahova, 133688 GURA VADULUI, Anul 2026, Numar persoane, 1978
Total, Total, Prahova, 131835 GURA VITIOAREI, Anul 2026, Numar persoane, 5695
Total, Total, Prahova, 133722 IORDACHEANU, Anul 2026, Numar persoane, 5136
Total, Total, Prahova, 133795 IZVOARELE, Anul 2026, Numar persoane, 6052
Total, Total, Prahova, 133866 JUGURENI, Anul 2026, Numar persoane, 455
Total, Total, Prahova, 133919 LAPOS, Anul 2026, Numar persoane, 975
Total, Total, Prahova, 133964 LIPANESTI, Anul 2026, Numar persoane, 5221
Total, Total, Prahova, 134014 MAGURELE, Anul 2026, Numar persoane, 4396
Total, Total, Prahova, 134050 MAGURENI, Anul 2026, Numar persoane, 6103
Total, Total, Prahova, 134096 MANECIU, Anul 2026, Numar persoane, 9777
Total, Total, Prahova, 134194 MANESTI, Anul 2026, Numar persoane, 3823
