Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2026, Numar persoane, 66139
Total, Total, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2026, Numar persoane, 7054
Total, Total, Salaj, 139811 ORAS JIBOU, Anul 2026, Numar persoane, 10992
Total, Total, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2026, Numar persoane, 16717
Total, Total, Salaj, 139937 AGRIJ, Anul 2026, Numar persoane, 1420
Total, Total, Salaj, 139982 ALMASU, Anul 2026, Numar persoane, 1851
Total, Total, Salaj, 140084 BABENI, Anul 2026, Numar persoane, 1502
Total, Total, Salaj, 140146 BALAN, Anul 2026, Numar persoane, 3703
Total, Total, Salaj, 140208 BANISOR, Anul 2026, Numar persoane, 1770
Total, Total, Salaj, 140244 BENESAT, Anul 2026, Numar persoane, 1335
Total, Total, Salaj, 140280 BOBOTA, Anul 2026, Numar persoane, 3672
Total, Total, Salaj, 140324 BOCSA, Anul 2026, Numar persoane, 3332
Total, Total, Salaj, 180037 BOGHIS, Anul 2026, Numar persoane, 1977
Total, Total, Salaj, 140379 BUCIUMI, Anul 2026, Numar persoane, 2501
Total, Total, Salaj, 140440 CAMAR, Anul 2026, Numar persoane, 1620
Total, Total, Salaj, 140477 CARASTELEC, Anul 2026, Numar persoane, 1057
Total, Total, Salaj, 140501 CHIESD, Anul 2026, Numar persoane, 2475
Total, Total, Salaj, 140547 CIZER, Anul 2026, Numar persoane, 2230
Total, Total, Salaj, 140583 COSEIU, Anul 2026, Numar persoane, 1161
Total, Total, Salaj, 140627 CRASNA, Anul 2026, Numar persoane, 6651
Total, Total, Salaj, 140672 CREACA, Anul 2026, Numar persoane, 2837
Total, Total, Salaj, 140823 CRISENI, Anul 2026, Numar persoane, 3583
Total, Total, Salaj, 140770 CRISTOLT, Anul 2026, Numar persoane, 1034
Total, Total, Salaj, 140869 CUZAPLAC, Anul 2026, Numar persoane, 1465
Total, Total, Salaj, 140958 DOBRIN, Anul 2026, Numar persoane, 1560
Total, Total, Salaj, 141027 DRAGU, Anul 2026, Numar persoane, 1440
Total, Total, Salaj, 141081 FILDU DE JOS, Anul 2026, Numar persoane, 1298
Total, Total, Salaj, 141134 GALGAU, Anul 2026, Numar persoane, 2263
Total, Total, Salaj, 141232 GARBOU, Anul 2026, Numar persoane, 1806
Total, Total, Salaj, 141312 HALMASD, Anul 2026, Numar persoane, 2229
Total, Total, Salaj, 141376 HERECLEAN, Anul 2026, Numar persoane, 4047
Total, Total, Salaj, 141447 HIDA, Anul 2026, Numar persoane, 2558
Total, Total, Salaj, 141535 HOROATU CRASNEI, Anul 2026, Numar persoane, 2530
Total, Total, Salaj, 141580 ILEANDA, Anul 2026, Numar persoane, 2304
Total, Total, Salaj, 141722 IP, Anul 2026, Numar persoane, 3454
Total, Total, Salaj, 141786 LETCA, Anul 2026, Numar persoane, 1529
Total, Total, Salaj, 141884 LOZNA, Anul 2026, Numar persoane, 874
Total, Total, Salaj, 142006 MAERISTE, Anul 2026, Numar persoane, 2810
Total, Total, Salaj, 141946 MARCA, Anul 2026, Numar persoane, 2374
Total, Total, Salaj, 142079 MESESENII DE JOS, Anul 2026, Numar persoane, 3339
Total, Total, Salaj, 142122 MIRSID, Anul 2026, Numar persoane, 2449
Total, Total, Salaj, 142177 NAPRADEA, Anul 2026, Numar persoane, 2580
Total, Total, Salaj, 142239 NUSFALAU, Anul 2026, Numar persoane, 3997
Total, Total, Salaj, 142284 PERICEI, Anul 2026, Numar persoane, 3627
Total, Total, Salaj, 142337 PLOPIS, Anul 2026, Numar persoane, 2423
Total, Total, Salaj, 142373 POIANA BLENCHII, Anul 2026, Numar persoane, 1092
Total, Total, Salaj, 142426 ROMANASI, Anul 2026, Numar persoane, 3394
Total, Total, Salaj, 142499 RUS, Anul 2026, Numar persoane, 941
Total, Total, Salaj, 142612 SAG, Anul 2026, Numar persoane, 3297
Total, Total, Salaj, 142550 SALATIG, Anul 2026, Numar persoane, 2461
Total, Total, Salaj, 142854 SAMSUD, Anul 2026, Numar persoane, 1888
Total, Total, Salaj, 142676 SANMIHAIU ALMASULUI, Anul 2026, Numar persoane, 1636
Total, Total, Salaj, 142881 SARMASAG, Anul 2026, Numar persoane, 6466
Total, Total, Salaj, 179695 SIMISNA, Anul 2026, Numar persoane, 1055
Total, Total, Salaj, 142710 SOMES-ODORHEI, Anul 2026, Numar persoane, 2833
Total, Total, Salaj, 142774 SURDUC, Anul 2026, Numar persoane, 3560
Total, Total, Salaj, 179631 TREZNEA, Anul 2026, Numar persoane, 1038
Total, Total, Salaj, 142952 VALCAU DE JOS, Anul 2026, Numar persoane, 3043
Total, Total, Salaj, 143021 VARSOLT, Anul 2026, Numar persoane, 2237
Total, Total, Salaj, 143067 ZALHA, Anul 2026, Numar persoane, 756
Total, Total, Salaj, 143147 ZIMBOR, Anul 2026, Numar persoane, 870
65-69 ani, Total, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2026, Numar persoane, 4539
65-69 ani, Total, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2026, Numar persoane, 466
65-69 ani, Total, Salaj, 139811 ORAS JIBOU, Anul 2026, Numar persoane, 646
65-69 ani, Total, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2026, Numar persoane, 951
65-69 ani, Total, Salaj, 139937 AGRIJ, Anul 2026, Numar persoane, 77
65-69 ani, Total, Salaj, 139982 ALMASU, Anul 2026, Numar persoane, 112
65-69 ani, Total, Salaj, 140084 BABENI, Anul 2026, Numar persoane, 90
65-69 ani, Total, Salaj, 140146 BALAN, Anul 2026, Numar persoane, 186
65-69 ani, Total, Salaj, 140208 BANISOR, Anul 2026, Numar persoane, 102
65-69 ani, Total, Salaj, 140244 BENESAT, Anul 2026, Numar persoane, 81
65-69 ani, Total, Salaj, 140280 BOBOTA, Anul 2026, Numar persoane, 157
65-69 ani, Total, Salaj, 140324 BOCSA, Anul 2026, Numar persoane, 173
65-69 ani, Total, Salaj, 180037 BOGHIS, Anul 2026, Numar persoane, 101
65-69 ani, Total, Salaj, 140379 BUCIUMI, Anul 2026, Numar persoane, 111
65-69 ani, Total, Salaj, 140440 CAMAR, Anul 2026, Numar persoane, 73
65-69 ani, Total, Salaj, 140477 CARASTELEC, Anul 2026, Numar persoane, 45
65-69 ani, Total, Salaj, 140501 CHIESD, Anul 2026, Numar persoane, 80
65-69 ani, Total, Salaj, 140547 CIZER, Anul 2026, Numar persoane, 103
65-69 ani, Total, Salaj, 140583 COSEIU, Anul 2026, Numar persoane, 52
65-69 ani, Total, Salaj, 140627 CRASNA, Anul 2026, Numar persoane, 305
65-69 ani, Total, Salaj, 140672 CREACA, Anul 2026, Numar persoane, 128
65-69 ani, Total, Salaj, 140823 CRISENI, Anul 2026, Numar persoane, 159
65-69 ani, Total, Salaj, 140770 CRISTOLT, Anul 2026, Numar persoane, 62
65-69 ani, Total, Salaj, 140869 CUZAPLAC, Anul 2026, Numar persoane, 71
65-69 ani, Total, Salaj, 140958 DOBRIN, Anul 2026, Numar persoane, 83
65-69 ani, Total, Salaj, 141027 DRAGU, Anul 2026, Numar persoane, 44
65-69 ani, Total, Salaj, 141081 FILDU DE JOS, Anul 2026, Numar persoane, 45
65-69 ani, Total, Salaj, 141134 GALGAU, Anul 2026, Numar persoane, 110
65-69 ani, Total, Salaj, 141232 GARBOU, Anul 2026, Numar persoane, 86
65-69 ani, Total, Salaj, 141312 HALMASD, Anul 2026, Numar persoane, 86
65-69 ani, Total, Salaj, 141376 HERECLEAN, Anul 2026, Numar persoane, 228
65-69 ani, Total, Salaj, 141447 HIDA, Anul 2026, Numar persoane, 119
65-69 ani, Total, Salaj, 141535 HOROATU CRASNEI, Anul 2026, Numar persoane, 130
65-69 ani, Total, Salaj, 141580 ILEANDA, Anul 2026, Numar persoane, 99
65-69 ani, Total, Salaj, 141722 IP, Anul 2026, Numar persoane, 155
65-69 ani, Total, Salaj, 141786 LETCA, Anul 2026, Numar persoane, 92
65-69 ani, Total, Salaj, 141884 LOZNA, Anul 2026, Numar persoane, 44
65-69 ani, Total, Salaj, 142006 MAERISTE, Anul 2026, Numar persoane, 149
65-69 ani, Total, Salaj, 141946 MARCA, Anul 2026, Numar persoane, 108
65-69 ani, Total, Salaj, 142079 MESESENII DE JOS, Anul 2026, Numar persoane, 153
65-69 ani, Total, Salaj, 142122 MIRSID, Anul 2026, Numar persoane, 120
65-69 ani, Total, Salaj, 142177 NAPRADEA, Anul 2026, Numar persoane, 106
65-69 ani, Total, Salaj, 142239 NUSFALAU, Anul 2026, Numar persoane, 170
65-69 ani, Total, Salaj, 142284 PERICEI, Anul 2026, Numar persoane, 174
65-69 ani, Total, Salaj, 142337 PLOPIS, Anul 2026, Numar persoane, 92
65-69 ani, Total, Salaj, 142373 POIANA BLENCHII, Anul 2026, Numar persoane, 50
65-69 ani, Total, Salaj, 142426 ROMANASI, Anul 2026, Numar persoane, 121
65-69 ani, Total, Salaj, 142499 RUS, Anul 2026, Numar persoane, 46
65-69 ani, Total, Salaj, 142612 SAG, Anul 2026, Numar persoane, 148
65-69 ani, Total, Salaj, 142550 SALATIG, Anul 2026, Numar persoane, 132
65-69 ani, Total, Salaj, 142854 SAMSUD, Anul 2026, Numar persoane, 68
65-69 ani, Total, Salaj, 142676 SANMIHAIU ALMASULUI, Anul 2026, Numar persoane, 80
65-69 ani, Total, Salaj, 142881 SARMASAG, Anul 2026, Numar persoane, 316
65-69 ani, Total, Salaj, 179695 SIMISNA, Anul 2026, Numar persoane, 47
65-69 ani, Total, Salaj, 142710 SOMES-ODORHEI, Anul 2026, Numar persoane, 127
65-69 ani, Total, Salaj, 142774 SURDUC, Anul 2026, Numar persoane, 188
65-69 ani, Total, Salaj, 179631 TREZNEA, Anul 2026, Numar persoane, 48
65-69 ani, Total, Salaj, 142952 VALCAU DE JOS, Anul 2026, Numar persoane, 137
65-69 ani, Total, Salaj, 143021 VARSOLT, Anul 2026, Numar persoane, 125
65-69 ani, Total, Salaj, 143067 ZALHA, Anul 2026, Numar persoane, 33
65-69 ani, Total, Salaj, 143147 ZIMBOR, Anul 2026, Numar persoane, 45
70-74 ani, Total, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2026, Numar persoane, 3624
70-74 ani, Total, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2026, Numar persoane, 411
70-74 ani, Total, Salaj, 139811 ORAS JIBOU, Anul 2026, Numar persoane, 551
70-74 ani, Total, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2026, Numar persoane, 755
70-74 ani, Total, Salaj, 139937 AGRIJ, Anul 2026, Numar persoane, 64
70-74 ani, Total, Salaj, 139982 ALMASU, Anul 2026, Numar persoane, 114
70-74 ani, Total, Salaj, 140084 BABENI, Anul 2026, Numar persoane, 121
70-74 ani, Total, Salaj, 140146 BALAN, Anul 2026, Numar persoane, 155
70-74 ani, Total, Salaj, 140208 BANISOR, Anul 2026, Numar persoane, 122
70-74 ani, Total, Salaj, 140244 BENESAT, Anul 2026, Numar persoane, 67
70-74 ani, Total, Salaj, 140280 BOBOTA, Anul 2026, Numar persoane, 125
70-74 ani, Total, Salaj, 140324 BOCSA, Anul 2026, Numar persoane, 141
70-74 ani, Total, Salaj, 180037 BOGHIS, Anul 2026, Numar persoane, 81
70-74 ani, Total, Salaj, 140379 BUCIUMI, Anul 2026, Numar persoane, 158
70-74 ani, Total, Salaj, 140440 CAMAR, Anul 2026, Numar persoane, 63
70-74 ani, Total, Salaj, 140477 CARASTELEC, Anul 2026, Numar persoane, 65
70-74 ani, Total, Salaj, 140501 CHIESD, Anul 2026, Numar persoane, 78
70-74 ani, Total, Salaj, 140547 CIZER, Anul 2026, Numar persoane, 134
70-74 ani, Total, Salaj, 140583 COSEIU, Anul 2026, Numar persoane, 65
70-74 ani, Total, Salaj, 140627 CRASNA, Anul 2026, Numar persoane, 294
70-74 ani, Total, Salaj, 140672 CREACA, Anul 2026, Numar persoane, 105
70-74 ani, Total, Salaj, 140823 CRISENI, Anul 2026, Numar persoane, 159
70-74 ani, Total, Salaj, 140770 CRISTOLT, Anul 2026, Numar persoane, 55
70-74 ani, Total, Salaj, 140869 CUZAPLAC, Anul 2026, Numar persoane, 78
70-74 ani, Total, Salaj, 140958 DOBRIN, Anul 2026, Numar persoane, 68
70-74 ani, Total, Salaj, 141027 DRAGU, Anul 2026, Numar persoane, 38
70-74 ani, Total, Salaj, 141081 FILDU DE JOS, Anul 2026, Numar persoane, 58
70-74 ani, Total, Salaj, 141134 GALGAU, Anul 2026, Numar persoane, 107
70-74 ani, Total, Salaj, 141232 GARBOU, Anul 2026, Numar persoane, 95
70-74 ani, Total, Salaj, 141312 HALMASD, Anul 2026, Numar persoane, 107
70-74 ani, Total, Salaj, 141376 HERECLEAN, Anul 2026, Numar persoane, 201
70-74 ani, Total, Salaj, 141447 HIDA, Anul 2026, Numar persoane, 126
70-74 ani, Total, Salaj, 141535 HOROATU CRASNEI, Anul 2026, Numar persoane, 96
70-74 ani, Total, Salaj, 141580 ILEANDA, Anul 2026, Numar persoane, 96
70-74 ani, Total, Salaj, 141722 IP, Anul 2026, Numar persoane, 142
70-74 ani, Total, Salaj, 141786 LETCA, Anul 2026, Numar persoane, 96
70-74 ani, Total, Salaj, 141884 LOZNA, Anul 2026, Numar persoane, 58
70-74 ani, Total, Salaj, 142006 MAERISTE, Anul 2026, Numar persoane, 114
70-74 ani, Total, Salaj, 141946 MARCA, Anul 2026, Numar persoane, 110
70-74 ani, Total, Salaj, 142079 MESESENII DE JOS, Anul 2026, Numar persoane, 157
70-74 ani, Total, Salaj, 142122 MIRSID, Anul 2026, Numar persoane, 110
70-74 ani, Total, Salaj, 142177 NAPRADEA, Anul 2026, Numar persoane, 109
70-74 ani, Total, Salaj, 142239 NUSFALAU, Anul 2026, Numar persoane, 149
70-74 ani, Total, Salaj, 142284 PERICEI, Anul 2026, Numar persoane, 166
70-74 ani, Total, Salaj, 142337 PLOPIS, Anul 2026, Numar persoane, 88
70-74 ani, Total, Salaj, 142373 POIANA BLENCHII, Anul 2026, Numar persoane, 46
70-74 ani, Total, Salaj, 142426 ROMANASI, Anul 2026, Numar persoane, 103
70-74 ani, Total, Salaj, 142499 RUS, Anul 2026, Numar persoane, 57
70-74 ani, Total, Salaj, 142612 SAG, Anul 2026, Numar persoane, 142
70-74 ani, Total, Salaj, 142550 SALATIG, Anul 2026, Numar persoane, 153
70-74 ani, Total, Salaj, 142854 SAMSUD, Anul 2026, Numar persoane, 74
70-74 ani, Total, Salaj, 142676 SANMIHAIU ALMASULUI, Anul 2026, Numar persoane, 56
70-74 ani, Total, Salaj, 142881 SARMASAG, Anul 2026, Numar persoane, 285
70-74 ani, Total, Salaj, 179695 SIMISNA, Anul 2026, Numar persoane, 64
70-74 ani, Total, Salaj, 142710 SOMES-ODORHEI, Anul 2026, Numar persoane, 108
70-74 ani, Total, Salaj, 142774 SURDUC, Anul 2026, Numar persoane, 175
70-74 ani, Total, Salaj, 179631 TREZNEA, Anul 2026, Numar persoane, 58
70-74 ani, Total, Salaj, 142952 VALCAU DE JOS, Anul 2026, Numar persoane, 122
70-74 ani, Total, Salaj, 143021 VARSOLT, Anul 2026, Numar persoane, 113
70-74 ani, Total, Salaj, 143067 ZALHA, Anul 2026, Numar persoane, 45
70-74 ani, Total, Salaj, 143147 ZIMBOR, Anul 2026, Numar persoane, 26
75-79 ani, Total, Salaj, 139704 MUNICIPIUL ZALAU, Anul 2026, Numar persoane, 2019
75-79 ani, Total, Salaj, 139740 ORAS CEHU SILVANIEI, Anul 2026, Numar persoane, 279
75-79 ani, Total, Salaj, 139811 ORAS JIBOU, Anul 2026, Numar persoane, 375
75-79 ani, Total, Salaj, 139884 ORAS SIMLEU SILVANIEI, Anul 2026, Numar persoane, 520
75-79 ani, Total, Salaj, 139937 AGRIJ, Anul 2026, Numar persoane, 48
75-79 ani, Total, Salaj, 139982 ALMASU, Anul 2026, Numar persoane, 116
75-79 ani, Total, Salaj, 140084 BABENI, Anul 2026, Numar persoane, 109
75-79 ani, Total, Salaj, 140146 BALAN, Anul 2026, Numar persoane, 171
75-79 ani, Total, Salaj, 140208 BANISOR, Anul 2026, Numar persoane, 105
75-79 ani, Total, Salaj, 140244 BENESAT, Anul 2026, Numar persoane, 78
75-79 ani, Total, Salaj, 140280 BOBOTA, Anul 2026, Numar persoane, 130
75-79 ani, Total, Salaj, 140324 BOCSA, Anul 2026, Numar persoane, 119
75-79 ani, Total, Salaj, 180037 BOGHIS, Anul 2026, Numar persoane, 58
75-79 ani, Total, Salaj, 140379 BUCIUMI, Anul 2026, Numar persoane, 157
75-79 ani, Total, Salaj, 140440 CAMAR, Anul 2026, Numar persoane, 51
75-79 ani, Total, Salaj, 140477 CARASTELEC, Anul 2026, Numar persoane, 39
