Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2026, Numar persoane, 160228
Total, Total, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2026, Numar persoane, 52769
Total, Total, Sibiu, 143682 ORAS AGNITA, Anul 2026, Numar persoane, 10873
Total, Total, Sibiu, 144054 ORAS AVRIG, Anul 2026, Numar persoane, 15216
Total, Total, Sibiu, 143735 ORAS CISNADIE, Anul 2026, Numar persoane, 27484
Total, Total, Sibiu, 143771 ORAS COPSA MICA, Anul 2026, Numar persoane, 5557
Total, Total, Sibiu, 143806 ORAS DUMBRAVENI, Anul 2026, Numar persoane, 8009
Total, Total, Sibiu, 144928 ORAS MIERCUREA SIBIULUI, Anul 2026, Numar persoane, 4709
Total, Total, Sibiu, 143851 ORAS OCNA SIBIULUI, Anul 2026, Numar persoane, 4201
Total, Total, Sibiu, 145499 ORAS SALISTE, Anul 2026, Numar persoane, 6158
Total, Total, Sibiu, 145827 ORAS TALMACIU, Anul 2026, Numar persoane, 8119
Total, Total, Sibiu, 146012 ALMA, Anul 2026, Numar persoane, 1783
Total, Total, Sibiu, 143888 ALTINA, Anul 2026, Numar persoane, 1884
Total, Total, Sibiu, 143922 APOLDU DE JOS, Anul 2026, Numar persoane, 1222
Total, Total, Sibiu, 143959 ARPASU DE JOS, Anul 2026, Numar persoane, 2791
Total, Total, Sibiu, 143995 ATEL, Anul 2026, Numar persoane, 1660
Total, Total, Sibiu, 144116 AXENTE SEVER, Anul 2026, Numar persoane, 4209
Total, Total, Sibiu, 144232 BARGHIS, Anul 2026, Numar persoane, 2191
Total, Total, Sibiu, 144152 BAZNA, Anul 2026, Numar persoane, 3922
Total, Total, Sibiu, 144198 BIERTAN, Anul 2026, Numar persoane, 2962
Total, Total, Sibiu, 144303 BLAJEL, Anul 2026, Numar persoane, 2227
Total, Total, Sibiu, 146021 BOITA, Anul 2026, Numar persoane, 1502
Total, Total, Sibiu, 144376 BRADENI, Anul 2026, Numar persoane, 1701
Total, Total, Sibiu, 144349 BRATEIU, Anul 2026, Numar persoane, 4239
Total, Total, Sibiu, 144410 BRUIU, Anul 2026, Numar persoane, 942
Total, Total, Sibiu, 144508 CARTA, Anul 2026, Numar persoane, 1259
Total, Total, Sibiu, 144535 CARTISOARA, Anul 2026, Numar persoane, 1403
Total, Total, Sibiu, 144456 CHIRPAR, Anul 2026, Numar persoane, 1892
Total, Total, Sibiu, 143487 CRISTIAN, Anul 2026, Numar persoane, 4959
Total, Total, Sibiu, 144553 DARLOS, Anul 2026, Numar persoane, 3522
Total, Total, Sibiu, 144599 GURA RAULUI, Anul 2026, Numar persoane, 3909
Total, Total, Sibiu, 144615 HOGHILAG, Anul 2026, Numar persoane, 2556
Total, Total, Sibiu, 144651 IACOBENI, Anul 2026, Numar persoane, 3481
Total, Total, Sibiu, 144713 JINA, Anul 2026, Numar persoane, 3499
Total, Total, Sibiu, 144731 LASLEA, Anul 2026, Numar persoane, 4394
Total, Total, Sibiu, 144795 LOAMNES, Anul 2026, Numar persoane, 2886
Total, Total, Sibiu, 144866 LUDOS, Anul 2026, Numar persoane, 615
Total, Total, Sibiu, 144893 MARPOD, Anul 2026, Numar persoane, 1031
Total, Total, Sibiu, 144964 MERGHINDEAL, Anul 2026, Numar persoane, 1582
Total, Total, Sibiu, 144991 MICASASA, Anul 2026, Numar persoane, 1955
Total, Total, Sibiu, 145042 MIHAILENI, Anul 2026, Numar persoane, 1143
Total, Total, Sibiu, 145104 MOSNA, Anul 2026, Numar persoane, 3651
Total, Total, Sibiu, 145140 NOCRICH, Anul 2026, Numar persoane, 3564
Total, Total, Sibiu, 145202 ORLAT, Anul 2026, Numar persoane, 3356
Total, Total, Sibiu, 145220 PAUCA, Anul 2026, Numar persoane, 1742
Total, Total, Sibiu, 145275 POIANA SIBIULUI, Anul 2026, Numar persoane, 2386
Total, Total, Sibiu, 143502 POPLACA, Anul 2026, Numar persoane, 1865
Total, Total, Sibiu, 145293 PORUMBACU DE JOS, Anul 2026, Numar persoane, 3250
Total, Total, Sibiu, 145355 RACOVITA, Anul 2026, Numar persoane, 2905
Total, Total, Sibiu, 143520 RASINARI, Anul 2026, Numar persoane, 5566
Total, Total, Sibiu, 145382 RAU SADULUI, Anul 2026, Numar persoane, 568
Total, Total, Sibiu, 145408 ROSIA, Anul 2026, Numar persoane, 6654
Total, Total, Sibiu, 145471 SADU, Anul 2026, Numar persoane, 2827
Total, Total, Sibiu, 145667 SEICA MARE, Anul 2026, Numar persoane, 4524
Total, Total, Sibiu, 145738 SEICA MICA, Anul 2026, Numar persoane, 1773
Total, Total, Sibiu, 143557 SELIMBAR, Anul 2026, Numar persoane, 20651
Total, Total, Sibiu, 145603 SLIMNIC, Anul 2026, Numar persoane, 4013
Total, Total, Sibiu, 145765 SURA MARE, Anul 2026, Numar persoane, 5769
Total, Total, Sibiu, 145792 SURA MICA, Anul 2026, Numar persoane, 3835
Total, Total, Sibiu, 143646 TARNAVA, Anul 2026, Numar persoane, 3339
Total, Total, Sibiu, 145907 TILISCA, Anul 2026, Numar persoane, 1364
Total, Total, Sibiu, 145934 TURNU ROSU, Anul 2026, Numar persoane, 2478
Total, Total, Sibiu, 145961 VALEA VIILOR, Anul 2026, Numar persoane, 2193
Total, Total, Sibiu, 145998 VURPAR, Anul 2026, Numar persoane, 3096
65-69 ani, Total, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2026, Numar persoane, 10815
65-69 ani, Total, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2026, Numar persoane, 3531
65-69 ani, Total, Sibiu, 143682 ORAS AGNITA, Anul 2026, Numar persoane, 790
65-69 ani, Total, Sibiu, 144054 ORAS AVRIG, Anul 2026, Numar persoane, 928
65-69 ani, Total, Sibiu, 143735 ORAS CISNADIE, Anul 2026, Numar persoane, 1392
65-69 ani, Total, Sibiu, 143771 ORAS COPSA MICA, Anul 2026, Numar persoane, 262
65-69 ani, Total, Sibiu, 143806 ORAS DUMBRAVENI, Anul 2026, Numar persoane, 464
65-69 ani, Total, Sibiu, 144928 ORAS MIERCUREA SIBIULUI, Anul 2026, Numar persoane, 258
65-69 ani, Total, Sibiu, 143851 ORAS OCNA SIBIULUI, Anul 2026, Numar persoane, 238
65-69 ani, Total, Sibiu, 145499 ORAS SALISTE, Anul 2026, Numar persoane, 327
65-69 ani, Total, Sibiu, 145827 ORAS TALMACIU, Anul 2026, Numar persoane, 418
65-69 ani, Total, Sibiu, 146012 ALMA, Anul 2026, Numar persoane, 96
65-69 ani, Total, Sibiu, 143888 ALTINA, Anul 2026, Numar persoane, 81
65-69 ani, Total, Sibiu, 143922 APOLDU DE JOS, Anul 2026, Numar persoane, 84
65-69 ani, Total, Sibiu, 143959 ARPASU DE JOS, Anul 2026, Numar persoane, 143
65-69 ani, Total, Sibiu, 143995 ATEL, Anul 2026, Numar persoane, 105
65-69 ani, Total, Sibiu, 144116 AXENTE SEVER, Anul 2026, Numar persoane, 242
65-69 ani, Total, Sibiu, 144232 BARGHIS, Anul 2026, Numar persoane, 108
65-69 ani, Total, Sibiu, 144152 BAZNA, Anul 2026, Numar persoane, 183
65-69 ani, Total, Sibiu, 144198 BIERTAN, Anul 2026, Numar persoane, 151
65-69 ani, Total, Sibiu, 144303 BLAJEL, Anul 2026, Numar persoane, 114
65-69 ani, Total, Sibiu, 146021 BOITA, Anul 2026, Numar persoane, 91
65-69 ani, Total, Sibiu, 144376 BRADENI, Anul 2026, Numar persoane, 64
65-69 ani, Total, Sibiu, 144349 BRATEIU, Anul 2026, Numar persoane, 155
65-69 ani, Total, Sibiu, 144410 BRUIU, Anul 2026, Numar persoane, 56
65-69 ani, Total, Sibiu, 144508 CARTA, Anul 2026, Numar persoane, 61
65-69 ani, Total, Sibiu, 144535 CARTISOARA, Anul 2026, Numar persoane, 76
65-69 ani, Total, Sibiu, 144456 CHIRPAR, Anul 2026, Numar persoane, 89
65-69 ani, Total, Sibiu, 143487 CRISTIAN, Anul 2026, Numar persoane, 264
65-69 ani, Total, Sibiu, 144553 DARLOS, Anul 2026, Numar persoane, 171
65-69 ani, Total, Sibiu, 144599 GURA RAULUI, Anul 2026, Numar persoane, 177
65-69 ani, Total, Sibiu, 144615 HOGHILAG, Anul 2026, Numar persoane, 88
65-69 ani, Total, Sibiu, 144651 IACOBENI, Anul 2026, Numar persoane, 137
65-69 ani, Total, Sibiu, 144713 JINA, Anul 2026, Numar persoane, 163
65-69 ani, Total, Sibiu, 144731 LASLEA, Anul 2026, Numar persoane, 187
65-69 ani, Total, Sibiu, 144795 LOAMNES, Anul 2026, Numar persoane, 146
65-69 ani, Total, Sibiu, 144866 LUDOS, Anul 2026, Numar persoane, 32
65-69 ani, Total, Sibiu, 144893 MARPOD, Anul 2026, Numar persoane, 41
65-69 ani, Total, Sibiu, 144964 MERGHINDEAL, Anul 2026, Numar persoane, 79
65-69 ani, Total, Sibiu, 144991 MICASASA, Anul 2026, Numar persoane, 121
65-69 ani, Total, Sibiu, 145042 MIHAILENI, Anul 2026, Numar persoane, 58
65-69 ani, Total, Sibiu, 145104 MOSNA, Anul 2026, Numar persoane, 171
65-69 ani, Total, Sibiu, 145140 NOCRICH, Anul 2026, Numar persoane, 153
65-69 ani, Total, Sibiu, 145202 ORLAT, Anul 2026, Numar persoane, 194
65-69 ani, Total, Sibiu, 145220 PAUCA, Anul 2026, Numar persoane, 85
65-69 ani, Total, Sibiu, 145275 POIANA SIBIULUI, Anul 2026, Numar persoane, 114
65-69 ani, Total, Sibiu, 143502 POPLACA, Anul 2026, Numar persoane, 84
65-69 ani, Total, Sibiu, 145293 PORUMBACU DE JOS, Anul 2026, Numar persoane, 191
65-69 ani, Total, Sibiu, 145355 RACOVITA, Anul 2026, Numar persoane, 173
65-69 ani, Total, Sibiu, 143520 RASINARI, Anul 2026, Numar persoane, 297
65-69 ani, Total, Sibiu, 145382 RAU SADULUI, Anul 2026, Numar persoane, 43
65-69 ani, Total, Sibiu, 145408 ROSIA, Anul 2026, Numar persoane, 205
65-69 ani, Total, Sibiu, 145471 SADU, Anul 2026, Numar persoane, 162
65-69 ani, Total, Sibiu, 145667 SEICA MARE, Anul 2026, Numar persoane, 248
65-69 ani, Total, Sibiu, 145738 SEICA MICA, Anul 2026, Numar persoane, 114
65-69 ani, Total, Sibiu, 143557 SELIMBAR, Anul 2026, Numar persoane, 621
65-69 ani, Total, Sibiu, 145603 SLIMNIC, Anul 2026, Numar persoane, 241
65-69 ani, Total, Sibiu, 145765 SURA MARE, Anul 2026, Numar persoane, 246
65-69 ani, Total, Sibiu, 145792 SURA MICA, Anul 2026, Numar persoane, 200
65-69 ani, Total, Sibiu, 143646 TARNAVA, Anul 2026, Numar persoane, 165
65-69 ani, Total, Sibiu, 145907 TILISCA, Anul 2026, Numar persoane, 77
65-69 ani, Total, Sibiu, 145934 TURNU ROSU, Anul 2026, Numar persoane, 130
65-69 ani, Total, Sibiu, 145961 VALEA VIILOR, Anul 2026, Numar persoane, 143
65-69 ani, Total, Sibiu, 145998 VURPAR, Anul 2026, Numar persoane, 105
70-74 ani, Total, Sibiu, 143450 MUNICIPIUL SIBIU, Anul 2026, Numar persoane, 10426
70-74 ani, Total, Sibiu, 143619 MUNICIPIUL MEDIAS, Anul 2026, Numar persoane, 3288
70-74 ani, Total, Sibiu, 143682 ORAS AGNITA, Anul 2026, Numar persoane, 726
70-74 ani, Total, Sibiu, 144054 ORAS AVRIG, Anul 2026, Numar persoane, 742
70-74 ani, Total, Sibiu, 143735 ORAS CISNADIE, Anul 2026, Numar persoane, 1226
70-74 ani, Total, Sibiu, 143771 ORAS COPSA MICA, Anul 2026, Numar persoane, 202
70-74 ani, Total, Sibiu, 143806 ORAS DUMBRAVENI, Anul 2026, Numar persoane, 404
70-74 ani, Total, Sibiu, 144928 ORAS MIERCUREA SIBIULUI, Anul 2026, Numar persoane, 213
70-74 ani, Total, Sibiu, 143851 ORAS OCNA SIBIULUI, Anul 2026, Numar persoane, 216
70-74 ani, Total, Sibiu, 145499 ORAS SALISTE, Anul 2026, Numar persoane, 280
70-74 ani, Total, Sibiu, 145827 ORAS TALMACIU, Anul 2026, Numar persoane, 358
70-74 ani, Total, Sibiu, 146012 ALMA, Anul 2026, Numar persoane, 104
70-74 ani, Total, Sibiu, 143888 ALTINA, Anul 2026, Numar persoane, 49
70-74 ani, Total, Sibiu, 143922 APOLDU DE JOS, Anul 2026, Numar persoane, 68
70-74 ani, Total, Sibiu, 143959 ARPASU DE JOS, Anul 2026, Numar persoane, 148
70-74 ani, Total, Sibiu, 143995 ATEL, Anul 2026, Numar persoane, 70
70-74 ani, Total, Sibiu, 144116 AXENTE SEVER, Anul 2026, Numar persoane, 193
70-74 ani, Total, Sibiu, 144232 BARGHIS, Anul 2026, Numar persoane, 89
70-74 ani, Total, Sibiu, 144152 BAZNA, Anul 2026, Numar persoane, 141
70-74 ani, Total, Sibiu, 144198 BIERTAN, Anul 2026, Numar persoane, 111
70-74 ani, Total, Sibiu, 144303 BLAJEL, Anul 2026, Numar persoane, 121
70-74 ani, Total, Sibiu, 146021 BOITA, Anul 2026, Numar persoane, 78
70-74 ani, Total, Sibiu, 144376 BRADENI, Anul 2026, Numar persoane, 41
70-74 ani, Total, Sibiu, 144349 BRATEIU, Anul 2026, Numar persoane, 110
70-74 ani, Total, Sibiu, 144410 BRUIU, Anul 2026, Numar persoane, 36
70-74 ani, Total, Sibiu, 144508 CARTA, Anul 2026, Numar persoane, 62
70-74 ani, Total, Sibiu, 144535 CARTISOARA, Anul 2026, Numar persoane, 81
70-74 ani, Total, Sibiu, 144456 CHIRPAR, Anul 2026, Numar persoane, 73
70-74 ani, Total, Sibiu, 143487 CRISTIAN, Anul 2026, Numar persoane, 212
70-74 ani, Total, Sibiu, 144553 DARLOS, Anul 2026, Numar persoane, 158
70-74 ani, Total, Sibiu, 144599 GURA RAULUI, Anul 2026, Numar persoane, 142
70-74 ani, Total, Sibiu, 144615 HOGHILAG, Anul 2026, Numar persoane, 83
70-74 ani, Total, Sibiu, 144651 IACOBENI, Anul 2026, Numar persoane, 71
70-74 ani, Total, Sibiu, 144713 JINA, Anul 2026, Numar persoane, 126
70-74 ani, Total, Sibiu, 144731 LASLEA, Anul 2026, Numar persoane, 115
70-74 ani, Total, Sibiu, 144795 LOAMNES, Anul 2026, Numar persoane, 138
70-74 ani, Total, Sibiu, 144866 LUDOS, Anul 2026, Numar persoane, 29
70-74 ani, Total, Sibiu, 144893 MARPOD, Anul 2026, Numar persoane, 31
70-74 ani, Total, Sibiu, 144964 MERGHINDEAL, Anul 2026, Numar persoane, 59
70-74 ani, Total, Sibiu, 144991 MICASASA, Anul 2026, Numar persoane, 82
70-74 ani, Total, Sibiu, 145042 MIHAILENI, Anul 2026, Numar persoane, 29
70-74 ani, Total, Sibiu, 145104 MOSNA, Anul 2026, Numar persoane, 128
70-74 ani, Total, Sibiu, 145140 NOCRICH, Anul 2026, Numar persoane, 90
