Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Teleorman, 151790 MUNICIPIUL ALEXANDRIA, Anul 2026, Numar persoane, 44451
Total, Total, Teleorman, 151870 MUNICIPIUL ROSIORI DE VEDE, Anul 2026, Numar persoane, 27158
Total, Total, Teleorman, 151683 MUNICIPIUL TURNU MAGURELE, Anul 2026, Numar persoane, 24867
Total, Total, Teleorman, 151905 ORAS VIDELE, Anul 2026, Numar persoane, 10520
Total, Total, Teleorman, 151978 ORAS ZIMNICEA, Anul 2026, Numar persoane, 13292
Total, Total, Teleorman, 152038 BABAITA, Anul 2026, Numar persoane, 2493
Total, Total, Teleorman, 151996 BALACI, Anul 2026, Numar persoane, 1324
Total, Total, Teleorman, 155083 BECIU, Anul 2026, Numar persoane, 1524
Total, Total, Teleorman, 155092 BEUCA, Anul 2026, Numar persoane, 1143
Total, Total, Teleorman, 152083 BLEJESTI, Anul 2026, Numar persoane, 3538
Total, Total, Teleorman, 152127 BOGDANA, Anul 2026, Numar persoane, 1809
Total, Total, Teleorman, 152172 BOTOROAGA, Anul 2026, Numar persoane, 4082
Total, Total, Teleorman, 152234 BRAGADIRU, Anul 2026, Numar persoane, 3113
Total, Total, Teleorman, 152252 BRANCENI, Anul 2026, Numar persoane, 2523
Total, Total, Teleorman, 152270 BUJORENI, Anul 2026, Numar persoane, 859
Total, Total, Teleorman, 152314 BUJORU, Anul 2026, Numar persoane, 1774
Total, Total, Teleorman, 152332 BUZESCU, Anul 2026, Numar persoane, 4130
Total, Total, Teleorman, 152350 CALINESTI, Anul 2026, Numar persoane, 2652
Total, Total, Teleorman, 152412 CALMATUIU, Anul 2026, Numar persoane, 1394
Total, Total, Teleorman, 152467 CALMATUIU DE SUS, Anul 2026, Numar persoane, 1800
Total, Total, Teleorman, 152500 CERVENIA, Anul 2026, Numar persoane, 2487
Total, Total, Teleorman, 152528 CIOLANESTI, Anul 2026, Numar persoane, 2199
Total, Total, Teleorman, 151709 CIUPERCENI, Anul 2026, Numar persoane, 1316
Total, Total, Teleorman, 152564 CONTESTI, Anul 2026, Numar persoane, 2765
Total, Total, Teleorman, 152582 COSMESTI, Anul 2026, Numar persoane, 2504
Total, Total, Teleorman, 152617 CRANGENI, Anul 2026, Numar persoane, 2185
Total, Total, Teleorman, 152662 CRANGU, Anul 2026, Numar persoane, 1228
Total, Total, Teleorman, 151932 CREVENICU, Anul 2026, Numar persoane, 1237
Total, Total, Teleorman, 152724 DIDESTI, Anul 2026, Numar persoane, 974
Total, Total, Teleorman, 152760 DOBROTESTI, Anul 2026, Numar persoane, 3844
Total, Total, Teleorman, 155109 DRACEA, Anul 2026, Numar persoane, 1399
Total, Total, Teleorman, 152797 DRACSENEI, Anul 2026, Numar persoane, 1462
Total, Total, Teleorman, 152868 DRAGANESTI DE VEDE, Anul 2026, Numar persoane, 1954
Total, Total, Teleorman, 152902 DRAGANESTI-VLASCA, Anul 2026, Numar persoane, 3617
Total, Total, Teleorman, 155118 FANTANELE, Anul 2026, Numar persoane, 1248
