Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2026, Numar persoane, 292819
Total, Total, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2026, Numar persoane, 43052
Total, Total, Timis, 155403 ORAS BUZIAS, Anul 2026, Numar persoane, 8007
Total, Total, Timis, 156357 ORAS CIACOVA, Anul 2026, Numar persoane, 5603
Total, Total, Timis, 155458 ORAS DETA, Anul 2026, Numar persoane, 7499
Total, Total, Timis, 156801 ORAS FAGET, Anul 2026, Numar persoane, 7544
Total, Total, Timis, 157086 ORAS GATAIA, Anul 2026, Numar persoane, 6413
Total, Total, Timis, 155494 ORAS JIMBOLIA, Anul 2026, Numar persoane, 12794
Total, Total, Timis, 158314 ORAS RECAS, Anul 2026, Numar persoane, 10565
Total, Total, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2026, Numar persoane, 13721
Total, Total, Timis, 155546 BALINT, Anul 2026, Numar persoane, 1519
Total, Total, Timis, 155591 BANLOC, Anul 2026, Numar persoane, 3007
Total, Total, Timis, 155662 BARA, Anul 2026, Numar persoane, 358
Total, Total, Timis, 155957 BARNA, Anul 2026, Numar persoane, 1437
Total, Total, Timis, 155724 BEBA VECHE, Anul 2026, Numar persoane, 1455
Total, Total, Timis, 155760 BECICHERECU MIC, Anul 2026, Numar persoane, 3434
Total, Total, Timis, 155797 BELINT, Anul 2026, Numar persoane, 2376
Total, Total, Timis, 155840 BETHAUSEN, Anul 2026, Numar persoane, 2873
Total, Total, Timis, 155911 BILED, Anul 2026, Numar persoane, 4243
Total, Total, Timis, 159366 BIRDA, Anul 2026, Numar persoane, 2089
Total, Total, Timis, 156035 BOGDA, Anul 2026, Numar persoane, 537
Total, Total, Timis, 156106 BOLDUR, Anul 2026, Numar persoane, 2352
Total, Total, Timis, 156151 BRESTOVAT, Anul 2026, Numar persoane, 665
Total, Total, Timis, 159516 BUCOVAT, Anul 2026, Numar persoane, 3303
Total, Total, Timis, 156213 CARPINIS, Anul 2026, Numar persoane, 5835
Total, Total, Timis, 156259 CENAD, Anul 2026, Numar persoane, 4642
Total, Total, Timis, 156277 CENEI, Anul 2026, Numar persoane, 3065
Total, Total, Timis, 159375 CHECEA, Anul 2026, Numar persoane, 2390
Total, Total, Timis, 156311 CHEVERESU MARE, Anul 2026, Numar persoane, 2596
Total, Total, Timis, 156437 COMLOSU MARE, Anul 2026, Numar persoane, 5351
Total, Total, Timis, 156473 COSTEIU, Anul 2026, Numar persoane, 3871
Total, Total, Timis, 156534 CRICIOVA, Anul 2026, Numar persoane, 1642
Total, Total, Timis, 156589 CURTEA, Anul 2026, Numar persoane, 1277
Total, Total, Timis, 156623 DAROVA, Anul 2026, Numar persoane, 3362
Total, Total, Timis, 156669 DENTA, Anul 2026, Numar persoane, 3185
Total, Total, Timis, 159384 DUDESTII NOI, Anul 2026, Numar persoane, 4066
Total, Total, Timis, 156712 DUDESTII VECHI, Anul 2026, Numar persoane, 4335
Total, Total, Timis, 156767 DUMBRAVA, Anul 2026, Numar persoane, 2688
Total, Total, Timis, 155261 DUMBRAVITA, Anul 2026, Numar persoane, 23629
Total, Total, Timis, 156927 FARDEA, Anul 2026, Numar persoane, 1605
Total, Total, Timis, 159393 FIBIS, Anul 2026, Numar persoane, 1788
Total, Total, Timis, 157004 FOENI, Anul 2026, Numar persoane, 1720
Total, Total, Timis, 157031 GAVOJDIA, Anul 2026, Numar persoane, 2853
Total, Total, Timis, 159400 GHILAD, Anul 2026, Numar persoane, 2136
Total, Total, Timis, 155289 GHIRODA, Anul 2026, Numar persoane, 10144
Total, Total, Timis, 157193 GHIZELA, Anul 2026, Numar persoane, 1181
Total, Total, Timis, 157246 GIARMATA, Anul 2026, Numar persoane, 8397
Total, Total, Timis, 157273 GIERA, Anul 2026, Numar persoane, 1404
Total, Total, Timis, 155314 GIROC, Anul 2026, Numar persoane, 28883
Total, Total, Timis, 157317 GIULVAZ, Anul 2026, Numar persoane, 3266
Total, Total, Timis, 159419 GOTTLOB, Anul 2026, Numar persoane, 2566
Total, Total, Timis, 159428 IECEA MARE, Anul 2026, Numar persoane, 2883
Total, Total, Timis, 157362 JAMU MARE, Anul 2026, Numar persoane, 2816
Total, Total, Timis, 157424 JEBEL, Anul 2026, Numar persoane, 3844
Total, Total, Timis, 157451 LENAUHEIM, Anul 2026, Numar persoane, 6253
Total, Total, Timis, 157497 LIEBLING, Anul 2026, Numar persoane, 4040
Total, Total, Timis, 159491 LIVEZILE, Anul 2026, Numar persoane, 1595
Total, Total, Timis, 157530 LOVRIN, Anul 2026, Numar persoane, 4043
Total, Total, Timis, 157736 MANASTIUR, Anul 2026, Numar persoane, 1676
Total, Total, Timis, 157585 MARGINA, Anul 2026, Numar persoane, 2176
Total, Total, Timis, 157683 MASLOC, Anul 2026, Numar persoane, 2427
Total, Total, Timis, 157781 MORAVITA, Anul 2026, Numar persoane, 2632
Total, Total, Timis, 157834 MOSNITA NOUA, Anul 2026, Numar persoane, 22118
Total, Total, Timis, 157898 NADRAG, Anul 2026, Numar persoane, 2622
Total, Total, Timis, 157923 NITCHIDORF, Anul 2026, Numar persoane, 1652
Total, Total, Timis, 157969 OHABA LUNGA, Anul 2026, Numar persoane, 914
Total, Total, Timis, 158010 ORTISOARA, Anul 2026, Numar persoane, 4852
Total, Total, Timis, 159525 OTELEC, Anul 2026, Numar persoane, 1805
Total, Total, Timis, 159446 PADURENI, Anul 2026, Numar persoane, 2216
Total, Total, Timis, 159437 PARTA, Anul 2026, Numar persoane, 2830
Total, Total, Timis, 158065 PECIU NOU, Anul 2026, Numar persoane, 5942
Total, Total, Timis, 158109 PERIAM, Anul 2026, Numar persoane, 5055
Total, Total, Timis, 159507 PESAC, Anul 2026, Numar persoane, 2365
Total, Total, Timis, 158136 PIETROASA, Anul 2026, Numar persoane, 1081
Total, Total, Timis, 158181 PISCHIA, Anul 2026, Numar persoane, 3289
Total, Total, Timis, 158243 RACOVITA, Anul 2026, Numar persoane, 2882
Total, Total, Timis, 158396 REMETEA MARE, Anul 2026, Numar persoane, 3407
Total, Total, Timis, 158564 SACALAZ, Anul 2026, Numar persoane, 12573
Total, Total, Timis, 158449 SACOSU TURCESC, Anul 2026, Numar persoane, 3524
Total, Total, Timis, 158779 SAG, Anul 2026, Numar persoane, 5960
Total, Total, Timis, 158653 SANANDREI, Anul 2026, Numar persoane, 9113
Total, Total, Timis, 159464 SANDRA, Anul 2026, Numar persoane, 3140
Total, Total, Timis, 158699 SANMIHAIU ROMAN, Anul 2026, Numar persoane, 10079
Total, Total, Timis, 158733 SANPETRU MARE, Anul 2026, Numar persoane, 3463
Total, Total, Timis, 159455 SARAVALE, Anul 2026, Numar persoane, 2986
Total, Total, Timis, 158528 SATCHINEZ, Anul 2026, Numar persoane, 5258
Total, Total, Timis, 158608 SECAS, Anul 2026, Numar persoane, 350
Total, Total, Timis, 158804 STIUCA, Anul 2026, Numar persoane, 2311
Total, Total, Timis, 158859 TEREMIA MARE, Anul 2026, Numar persoane, 4604
Total, Total, Timis, 158895 TOMESTI, Anul 2026, Numar persoane, 1868
Total, Total, Timis, 159473 TOMNATIC, Anul 2026, Numar persoane, 3732
Total, Total, Timis, 158966 TOPOLOVATU MARE, Anul 2026, Numar persoane, 2619
Total, Total, Timis, 159035 TORMAC, Anul 2026, Numar persoane, 2888
Total, Total, Timis, 159071 TRAIAN VUIA, Anul 2026, Numar persoane, 2138
Total, Total, Timis, 159142 UIVAR, Anul 2026, Numar persoane, 3154
Total, Total, Timis, 159482 VALCANI, Anul 2026, Numar persoane, 1323
Total, Total, Timis, 159213 VARIAS, Anul 2026, Numar persoane, 6496
Total, Total, Timis, 159259 VICTOR VLAD DELAMARINA, Anul 2026, Numar persoane, 2854
Total, Total, Timis, 159339 VOITEG, Anul 2026, Numar persoane, 2373
65-69 ani, Total, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2026, Numar persoane, 20212
65-69 ani, Total, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2026, Numar persoane, 3155
65-69 ani, Total, Timis, 155403 ORAS BUZIAS, Anul 2026, Numar persoane, 484
65-69 ani, Total, Timis, 156357 ORAS CIACOVA, Anul 2026, Numar persoane, 298
65-69 ani, Total, Timis, 155458 ORAS DETA, Anul 2026, Numar persoane, 397
65-69 ani, Total, Timis, 156801 ORAS FAGET, Anul 2026, Numar persoane, 387
65-69 ani, Total, Timis, 157086 ORAS GATAIA, Anul 2026, Numar persoane, 369
65-69 ani, Total, Timis, 155494 ORAS JIMBOLIA, Anul 2026, Numar persoane, 737
65-69 ani, Total, Timis, 158314 ORAS RECAS, Anul 2026, Numar persoane, 554
65-69 ani, Total, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2026, Numar persoane, 854
65-69 ani, Total, Timis, 155546 BALINT, Anul 2026, Numar persoane, 85
65-69 ani, Total, Timis, 155591 BANLOC, Anul 2026, Numar persoane, 153
