Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2026, Numar persoane, 77647
Total, Total, Tulcea, 159650 ORAS BABADAG, Anul 2026, Numar persoane, 10014
Total, Total, Tulcea, 159687 ORAS ISACCEA, Anul 2026, Numar persoane, 4872
Total, Total, Tulcea, 159730 ORAS MACIN, Anul 2026, Numar persoane, 9538
Total, Total, Tulcea, 159767 ORAS SULINA, Anul 2026, Numar persoane, 3425
Total, Total, Tulcea, 159785 BAIA, Anul 2026, Numar persoane, 4387
Total, Total, Tulcea, 159847 BEIDAUD, Anul 2026, Numar persoane, 1560
Total, Total, Tulcea, 161552 BESTEPE, Anul 2026, Numar persoane, 1621
Total, Total, Tulcea, 159883 C.A. ROSETTI, Anul 2026, Numar persoane, 634
Total, Total, Tulcea, 159945 CARCALIU, Anul 2026, Numar persoane, 2608
Total, Total, Tulcea, 159963 CASIMCEA, Anul 2026, Numar persoane, 2724
Total, Total, Tulcea, 160092 CEAMURLIA DE JOS, Anul 2026, Numar persoane, 2314
Total, Total, Tulcea, 160047 CEATALCHIOI, Anul 2026, Numar persoane, 646
Total, Total, Tulcea, 160127 CERNA, Anul 2026, Numar persoane, 3321
Total, Total, Tulcea, 160172 CHILIA VECHE, Anul 2026, Numar persoane, 1695
Total, Total, Tulcea, 160225 CIUCUROVA, Anul 2026, Numar persoane, 2098
Total, Total, Tulcea, 160261 CRISAN, Anul 2026, Numar persoane, 1071
Total, Total, Tulcea, 160305 DAENI, Anul 2026, Numar persoane, 1803
Total, Total, Tulcea, 160323 DOROBANTU, Anul 2026, Numar persoane, 1230
Total, Total, Tulcea, 160387 FRECATEI, Anul 2026, Numar persoane, 3390
Total, Total, Tulcea, 160430 GRECI, Anul 2026, Numar persoane, 4726
Total, Total, Tulcea, 160458 GRINDU, Anul 2026, Numar persoane, 1216
Total, Total, Tulcea, 160476 HAMCEARCA, Anul 2026, Numar persoane, 1193
Total, Total, Tulcea, 160528 HORIA, Anul 2026, Numar persoane, 1325
Total, Total, Tulcea, 161525 I.C.BRATIANU, Anul 2026, Numar persoane, 1056
Total, Total, Tulcea, 160564 IZVOARELE, Anul 2026, Numar persoane, 1815
Total, Total, Tulcea, 160617 JIJILA, Anul 2026, Numar persoane, 5049
Total, Total, Tulcea, 160644 JURILOVCA, Anul 2026, Numar persoane, 3989
Total, Total, Tulcea, 160680 LUNCAVITA, Anul 2026, Numar persoane, 4046
Total, Total, Tulcea, 160724 MAHMUDIA, Anul 2026, Numar persoane, 2339
Total, Total, Tulcea, 160779 MALIUC, Anul 2026, Numar persoane, 791
Total, Total, Tulcea, 160831 MIHAI BRAVU, Anul 2026, Numar persoane, 2545
Total, Total, Tulcea, 160877 MIHAIL KOGALNICEANU, Anul 2026, Numar persoane, 3074
Total, Total, Tulcea, 160911 MURIGHIOL, Anul 2026, Numar persoane, 3235
Total, Total, Tulcea, 160993 NALBANT, Anul 2026, Numar persoane, 2689
Total, Total, Tulcea, 161035 NICULITEL, Anul 2026, Numar persoane, 4276
Total, Total, Tulcea, 161053 NUFARU, Anul 2026, Numar persoane, 2758
Total, Total, Tulcea, 161106 OSTROV, Anul 2026, Numar persoane, 1822
Total, Total, Tulcea, 161133 PARDINA, Anul 2026, Numar persoane, 541
Total, Total, Tulcea, 161151 PECENEAGA, Anul 2026, Numar persoane, 1562
Total, Total, Tulcea, 161179 SARICHIOI, Anul 2026, Numar persoane, 6200
Total, Total, Tulcea, 161231 SFANTU GHEORGHE, Anul 2026, Numar persoane, 766
Total, Total, Tulcea, 161259 SLAVA CERCHEZA, Anul 2026, Numar persoane, 2051
Total, Total, Tulcea, 161286 SMARDAN, Anul 2026, Numar persoane, 1081
Total, Total, Tulcea, 161302 SOMOVA, Anul 2026, Numar persoane, 5299
Total, Total, Tulcea, 161348 STEJARU, Anul 2026, Numar persoane, 1386
Total, Total, Tulcea, 161384 TOPOLOG, Anul 2026, Numar persoane, 4223
Total, Total, Tulcea, 161464 TURCOAIA, Anul 2026, Numar persoane, 3011
Total, Total, Tulcea, 161543 VACARENI, Anul 2026, Numar persoane, 2050
Total, Total, Tulcea, 161482 VALEA NUCARILOR, Anul 2026, Numar persoane, 3183
Total, Total, Tulcea, 161561 VALEA TEILOR, Anul 2026, Numar persoane, 1417
65-69 ani, Total, Tulcea, 159614 MUNICIPIUL TULCEA, Anul 2026, Numar persoane, 5646
65-69 ani, Total, Tulcea, 159650 ORAS BABADAG, Anul 2026, Numar persoane, 530
65-69 ani, Total, Tulcea, 159687 ORAS ISACCEA, Anul 2026, Numar persoane, 300
