Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
Total, Total, Valcea, 167473 MUNICIPIUL RAMNICU VALCEA, Anul 2026, Numar persoane, 111574
Total, Total, Valcea, 167981 MUNICIPIUL DRAGASANI, Anul 2026, Numar persoane, 18483
Total, Total, Valcea, 168372 ORAS BABENI, Anul 2026, Numar persoane, 8698
Total, Total, Valcea, 167641 ORAS BAILE GOVORA, Anul 2026, Numar persoane, 2448
Total, Total, Valcea, 167696 ORAS BAILE OLANESTI, Anul 2026, Numar persoane, 4235
Total, Total, Valcea, 168452 ORAS BALCESTI, Anul 2026, Numar persoane, 4925
Total, Total, Valcea, 168602 ORAS BERBESTI, Anul 2026, Numar persoane, 5005
Total, Total, Valcea, 167794 ORAS BREZOI, Anul 2026, Numar persoane, 6936
Total, Total, Valcea, 167909 ORAS CALIMANESTI, Anul 2026, Numar persoane, 8397
Total, Total, Valcea, 168041 ORAS HOREZU, Anul 2026, Numar persoane, 6601
Total, Total, Valcea, 168130 ORAS OCNELE MARI, Anul 2026, Numar persoane, 3482
Total, Total, Valcea, 168229 ALUNU, Anul 2026, Numar persoane, 3896
Total, Total, Valcea, 168309 AMARASTI, Anul 2026, Numar persoane, 1553
Total, Total, Valcea, 168559 BARBATESTI, Anul 2026, Numar persoane, 3018
Total, Total, Valcea, 168675 BERISLAVESTI, Anul 2026, Numar persoane, 2637
Total, Total, Valcea, 168755 BOISOARA, Anul 2026, Numar persoane, 1077
Total, Total, Valcea, 168791 BUDESTI, Anul 2026, Numar persoane, 6814
Total, Total, Valcea, 168880 BUJORENI, Anul 2026, Numar persoane, 5515
Total, Total, Valcea, 168960 BUNESTI, Anul 2026, Numar persoane, 2658
Total, Total, Valcea, 169119 CAINENI, Anul 2026, Numar persoane, 2358
Total, Total, Valcea, 169039 CERNISOARA, Anul 2026, Numar persoane, 3154
Total, Total, Valcea, 169182 COPACENI, Anul 2026, Numar persoane, 2727
Total, Total, Valcea, 169253 COSTESTI, Anul 2026, Numar persoane, 3003
Total, Total, Valcea, 169306 CRETENI, Anul 2026, Numar persoane, 2072
Total, Total, Valcea, 169351 DAESTI, Anul 2026, Numar persoane, 3213
Total, Total, Valcea, 169404 DANICEI, Anul 2026, Numar persoane, 1841
Total, Total, Valcea, 174502 DICULESTI, Anul 2026, Numar persoane, 1906
Total, Total, Valcea, 169547 DRAGOESTI, Anul 2026, Numar persoane, 1746
Total, Total, Valcea, 169681 FARTATESTI, Anul 2026, Numar persoane, 3641
Total, Total, Valcea, 169583 FAURESTI, Anul 2026, Numar persoane, 1485
Total, Total, Valcea, 169896 FRANCESTI, Anul 2026, Numar persoane, 5070
Total, Total, Valcea, 169994 GALICEA, Anul 2026, Numar persoane, 3716
Total, Total, Valcea, 170097 GHIOROIU, Anul 2026, Numar persoane, 1289
Total, Total, Valcea, 170168 GLAVILE, Anul 2026, Numar persoane, 1792
Total, Total, Valcea, 170220 GOLESTI, Anul 2026, Numar persoane, 2656
Total, Total, Valcea, 170346 GRADISTEA, Anul 2026, Numar persoane, 2531
Total, Total, Valcea, 170444 GUSOENI, Anul 2026, Numar persoane, 1199
