Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arad, 9538 ORAS INEU, Anul 2024, Numar, 2
Spitale, Proprietate publica, Arad, 9574 ORAS LIPOVA, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arad, 9690 ORAS SEBIS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arad, 10006 BIRCHIS, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arad, 10649 DEZNA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 2
Spitale, Proprietate privata, Arad, 9459 ORAS CHISINEU-CRIS, Anul 2024, Numar, 1
Spitale, Proprietate privata, Arad, 9538 ORAS INEU, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 4
Ambulatorii de specialitate, Proprietate privata, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arad, 9538 ORAS INEU, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arad, 9574 ORAS LIPOVA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arad, 9690 ORAS SEBIS, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arad, 10649 DEZNA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Arad, 9459 ORAS CHISINEU-CRIS, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arad, 9538 ORAS INEU, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arad, 9574 ORAS LIPOVA, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arad, 9690 ORAS SEBIS, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Arad, 11842 SAVARSIN, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate publica, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 10
Centre medicale de specialitate, Proprietate privata, Arad, 9538 ORAS INEU, Anul 2024, Numar, 1
Centre medicale de specialitate, Proprietate privata, Arad, 9690 ORAS SEBIS, Anul 2024, Numar, 1
Puncte de lucru ale centrelor de dializa, Proprietate privata, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Arad, 9262 MUNICIPIUL ARAD, Anul 2024, Numar, 67
Cabinete medicale scolare, Proprietate publica, Arad, 9459 ORAS CHISINEU-CRIS, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Arad, 9495 ORAS CURTICI, Anul 2024, Numar, 2
Cabinete medicale scolare, Proprietate publica, Arad, 9538 ORAS INEU, Anul 2024, Numar, 3
Cabinete medicale scolare, Proprietate publica, Arad, 9574 ORAS LIPOVA, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Arad, 9627 ORAS NADLAC, Anul 2024, Numar, 1
Cabinete medicale scolare, Proprietate publica, Arad, 9654 ORAS PANCOTA, Anul 2024, Numar, 2
