Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 3
Spitale, Proprietate publica, Arges, 13490 MUNICIPIUL CAMPULUNG, Anul 2024, Numar, 2
Spitale, Proprietate publica, Arges, 13622 MUNICIPIUL CURTEA DE ARGES, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 13668 ORAS COSTESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 13301 ORAS MIOVENI, Anul 2024, Numar, 2
Spitale, Proprietate publica, Arges, 13392 ORAS STEFANESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 14753 BRADULET, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 15108 CALINESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 16757 LEORDENI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 19695 VALEA IASULUI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Arges, 19793 VEDEA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 2
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 5
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Arges, 13490 MUNICIPIUL CAMPULUNG, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate privata, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 3
Ambulatorii integrate spitalului, Proprietate publica, Arges, 13490 MUNICIPIUL CAMPULUNG, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Arges, 13622 MUNICIPIUL CURTEA DE ARGES, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 13668 ORAS COSTESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 13301 ORAS MIOVENI, Anul 2024, Numar, 2
Ambulatorii integrate spitalului, Proprietate publica, Arges, 13392 ORAS STEFANESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 14753 BRADULET, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 15108 CALINESTI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 16757 LEORDENI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 19695 VALEA IASULUI, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate publica, Arges, 19793 VEDEA, Anul 2024, Numar, 1
Ambulatorii integrate spitalului, Proprietate privata, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arges, 13490 MUNICIPIUL CAMPULUNG, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arges, 13668 ORAS COSTESTI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arges, 13757 ORAS TOPOLOVENI, Anul 2024, Numar, 1
Dispensare medicale, Proprietate publica, Arges, 19695 VALEA IASULUI, Anul 2024, Numar, 1
Centre de sanatate, Proprietate publica, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 1
Centre de sanatate mintala, Proprietate publica, Arges, 13169 MUNICIPIUL PITESTI, Anul 2024, Numar, 2
Unitati medico-sociale, Proprietate publica, Arges, 15108 CALINESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Arges, 16454 DOMNESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Arges, 17423 MORARESTI, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Arges, 18527 RUCAR, Anul 2024, Numar, 1
Unitati medico-sociale, Proprietate publica, Arges, 19141 SUICI, Anul 2024, Numar, 1
