Categorii de unitati sanitare, Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Spitale, Proprietate publica, Bacau, 20297 MUNICIPIUL BACAU, Anul 2024, Numar, 2
Spitale, Proprietate publica, Bacau, 20876 MUNICIPIUL MOINESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bacau, 20563 MUNICIPIUL ONESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bacau, 20778 ORAS BUHUSI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bacau, 20821 ORAS COMANESTI, Anul 2024, Numar, 1
Spitale, Proprietate publica, Bacau, 20965 ORAS TARGU OCNA, Anul 2024, Numar, 1
Spitale, Proprietate privata, Bacau, 20297 MUNICIPIUL BACAU, Anul 2024, Numar, 7
Spitale, Proprietate privata, Bacau, 20876 MUNICIPIUL MOINESTI, Anul 2024, Numar, 1
Spitale, Proprietate privata, Bacau, 21007 AGAS, Anul 2024, Numar, 1
Spitale, Proprietate privata, Bacau, 24524 PODU TURCULUI, Anul 2024, Numar, 1
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Bacau, 20297 MUNICIPIUL BACAU, Anul 2024, Numar, 12
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Bacau, 20821 ORAS COMANESTI, Anul 2024, Numar, 2
Unitati sanitare (inclusiv unitati asimilate spitalelor) numai cu internare de zi, Proprietate privata, Bacau, 20965 ORAS TARGU OCNA, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Bacau, 20297 MUNICIPIUL BACAU, Anul 2024, Numar, 1
Ambulatorii de specialitate, Proprietate publica, Bacau, 20876 MUNICIPIUL MOINESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 20563 MUNICIPIUL ONESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 20778 ORAS BUHUSI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 20821 ORAS COMANESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 22166 ORAS DARMANESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 20910 ORAS SLANIC-MOLDOVA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 20965 ORAS TARGU OCNA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21007 AGAS, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21098 ARDEOANI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21123 ASAU, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21196 BALCANI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21454 BARSANESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21249 BERESTI-BISTRITA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21338 BERESTI-TAZLAU, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21418 BERZUNTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21506 BLAGESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21560 BOGDANESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21597 BRUSTUROASA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 26338 BUCIUMI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21668 BUHOCI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21757 CAIUTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21720 CASIN, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21855 CLEJA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21891 COLONESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 21971 CORBASCA, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 22059 COTOFANESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 22111 DAMIENESTI, Anul 2024, Numar, 0
Ambulatorii de specialitate, Proprietate publica, Bacau, 22237 DEALU MORII, Anul 2024, Numar, 0
